,Title,Publication_type,Journal,Abstract
255,Sustaining biodiversity in ancient tropical countryside,Scientific article,Proceedings of the National Academy of Sciences,"With intensifying demands for food and biofuels, a critical threat
to biodiversity is agricultural expansion into native tropical ecosystems.
Tropical agriculture, particularly intensive agriculture,
often supports few native organisms, and consequently has been
largely overlooked in conservation planning; yet, recent work in
the Neotropics demonstrates that tropical agriculture with certain
features can support significant biodiversity, decades after conversion
to farmland. It remains unknown whether this conservation
value can be sustained for centuries to millennia. Here, we
quantify the bird diversity affiliated with agricultural systems in
southwest India, a region continuously cultivated for>2,000 years.
We show that arecanut palm (Areca catechu) production systems
retain 90% of the bird species associated with regional native
forest. Two factors promote this high conservation value. First, the
system involves intercropping with multiple, usually woody, understory
species and, thus, has high vertical structural complexity
that is positively correlated with bird species richness. Second, the
system encompasses nearby forests, where large quantities of leaf
litter are extracted for mulch. The preservation of these forests on
productive land traces back to their value in supplying inputs to
arecanut cultivation. The long-term biodiversity value of an agricultural
ecosystem has not been documented in South and Southeast
Asia. Our findings open a new conservation opportunity for
this imperiled region that may well extend to other crops. Some of
these working lands may be able to sustain native species over
long-time scales, indicating that conservation investments in agriculture
today could pay off for people and for nature."
256,"Diversity and composition of Amazonian moths in primary, secondary and plantation forests",Scientific article,Journal of Tropical Ecology,"The response of tropical fauna tol andscape-level habitat change is poorly understood. Increased conversion of native primary forest to alternative land-uses, including secondary forest and exotic tree plantations, highlights the importance of assessing diversity patterns within these forest types. We sampled 1848 moths from 335 species of Arctiidae, Saturniidae and Sphingidae, over a total of 30 trap-nights. Sampling was conducted during the wet season 2005, using three light-traps at 15 sites within areas of primary forest, secondary forest and Eucalyptus urograndis plantations in northern Brazilian Amazonia. The Jari study region provides one of the best opportunities to investigate the ecological consequences of land-use change, and this study is one of the first to examine patterns of diversity for a neotropical moth assemblage in a human-dominated landscape in lowland Amazonia. We found that the three moth families responded consistently to disturbance in terms of abundance and community structure but variably in terms of species richness, in a manner apparently supporting a life-history hypothesis. Our results suggest that secondary forests and Eucalyptus plantations can support a substantial level of moth diversity but also show that these forest types hold assemblages with significantly distinct community structures and composition from primary forest. In addition, the ability of these converted land-uses to support primary forest species may be enhanced by proximity to surrounding primary forest, an issue which requires consideration when assessing the diversity and composition of mobile taxa in human-dominated landscapes."
257,Invasion and retreat: Shifting assemblages of dung beetles amidst changing agricultural landscapes in central Peru,Scientific article,Biodiversity and Conservation,"This study examines the effects of deforestation, and the habitat value of coffee and regenerated forest for tropical dung beetles, a functionally significant insect group. Pitfall trapping was conducted at 22 sites in a montane region of central Peru during April and November/December of 2002. Sites included primary and secondary forest, shade- coffee, regenerated forest and open farms (mainly with banana, yuca, and corn). Ordination techniques indicated that beetle assemblages in forests, regenerated forest and coffee were relatively similar. However, assemblage compositions in forested areas differed even at similar altitudes under the influence of biogeographical factors, and the assemblages at disturbed sites (farms/coffee) were influenced by beetle dispersal from adjacent forests. During dry months, when beetle activity is low, communities at all habitat types tended to converge because fewer unique species were recorded in forests at that time and habitat/ season generalists were dominant. Preliminary results also indicate that beetles in shady crops such as bananas responded to plant growth: as the banana canopy closed-in, pro- ducing more shade, open-habitat specialists retreated and forest/shade specialists invaded the sites. Chronosequence data at two of the sites demonstrate the rapid and dramatic changes in species richness and assemblage composition caused by deforestation. As forests become increasingly fragmented, and open farms continue to expand, dung beetles will become more restricted to the remaining fragments and reserves. In the mosaic landscape studied here, shade crops, like coffee, act as habitat and corridors for many dung beetle species. Small farm size and the consequent magnitude of edge effects, likely contributed to beetle movement between habitat types and determined the apparent gen- eralist nature of many of the dung beetle species in this study."
258,Complementary roles of home gardens and exotic tree plantations as alternative habitats for plants of the Ethiopian montane rainforest,Scientific article,Conservation Biology,"Many tropical forests have been converted for agri- or silviculture or a combination of both (agro- forestry). Conservation at a landscape scale requires an understanding of the distribution and abundance of native biodiversity in these converted natural ecosystems, of which the knowledge is especially poor for African agroecosystems. We compared species density and species composition of four plant groups (trees and shrubs, epiphytic vascular plants, mosses, and liverworts) among three arboreal land-use types in southwest- ern Ethiopia (montane rainforest fragments, shade-tree coffee home gardens, and exotic tree plantations). Species density was significantly higher in forests than in coffee home gardens for all plant groups and in exotic tree plantations for all groups except mosses. Home gardens had more vascular epiphytic species than plantations, whereas the reverse was true for mosses and liverworts. The species composition of the forest plots was sometimes more similar to home-garden plots than plantation plots and sometimes vice versa. Fifteen forest plots had, however, cumulatively more species than a random selection of 15 nonforest (coffee home garden and plantation) plots, even if the 2 plot types complemented each other in terms of habitats for forest plants. Tree plantations dominated by Eucalyptus had many small trees and shrubs in common with forests, whereas plantations with Cupressus were important substrates for forests mosses and liverworts. Our results illustrate the importance of undisturbed forests habitats for conservation of species at a landscape scale and that different human-made land-use types may complement each other in their capacity as additional habitats for forest species."
259,Alpha and beta diversity of plants and animals along a tropical land-use gradient,Scientific article,Ecological Applications,"Assessing the overall biological diversity of tropical rain forests is a seemingly insurmountable task for ecologists. Therefore, researchers frequently sample selected taxa that they believe reflect general biodiversity patterns. Usually, these studies focus on the congruence of a diversity (the number of species found per sampling unit) between taxa rather than on b diversity (turnover of species assemblages between sampling units). Such approaches ignore the potential role of habitat heterogeneity that, depending on the taxonomic group considered, can greatly enhance b diversity at local and landscape scales. We compared a and b diversity of four plant groups (trees, lianas, terrestrial herbs, epiphytic liverworts) and eight animal groups (birds, butterflies, lower canopy ants, lower canopy beetles, dung beetles, bees, wasps, and the parasitoids of the latter two) at 15 sites in Sulawesi, Indonesia, that represented natural rain forest and three types of cacao agroforests differing in management intensity. In total, we recorded 863 species. Patterns of species richness per study site varied strongly between taxonomic groups. Only 1317% of the variance in species richness of one taxonomic group could be predicted from the species richness of another, and on average 1218% of the variance of b diversity of a given group was predicted by that in other groups, although some taxon pairs had higher values (up to 76% for wasps and their parasitoids). The degree of congruence of patterns of a diversity was not influenced by sampling completeness, whereas the indicator value for b diversity improved when using a similarity index that accounts for incomplete sampling. The indication potential of a diversity for b diversity and vice versa was limited within taxa (720%) and virtually nil between them (04%). We conclude that different taxa can have largely independent patterns of a diversity and that patterns of b diversity can be more congruent. Thus, conservation plans on a landscape scale need to put more emphasis on the high heterogeneity of agroforests and the overarching role of b diversity shaping overall diversity patterns."
260,"Traditional land use associated with swidden agriculture changes encouter rates of the top predator, the army ant, in Southeast Asian tropical rain forests",Scientific article,Biodiversity and Conservation,"We examined the effect of traditional swidden agriculture on biodiversity using
the litter arthropod top predator, the army ant Aenictus (Hymenoptera: Formicidae) as an
indicator species in and around an intact tropical rain forest in Sarawak, Borneo, Malaysia. We compared the encounter rates with Aenictus colonies among five forest types: continuous
primary forest, isolated primary forest, old secondary forest ([20 years elapsed
after abandonment of the fields), young secondary forest (5 years after abandonment), and
new fallow (2 years after abandonment) by intensive area searching in 2003 and 2005. In
total, seven Aenictus species (15 colonies) and six Aenictus species (11 colonies) were
encountered in 2003 and 2005, respectively. The encounter rates were the highest in
continuous and isolated primary forests, intermediate in old and young secondary forests,
and the lowest in new fallow. Year and the interaction between year and forest type were
not significant. That is, abundance of top predators, which is rare and likely to be vulnerable
to disturbance, has never fully recovered even 20 years after the termination of
cultivation. We discuss forest management strategies to sustain biological diversity."
261,Vertebrate population responses to reduced-impact logging in a neotropical forest,Scientific article,Forest Ecology & Management,"Vertebrate population densities were quantified in lowland central Guyana using line-transect censuses at three forest sites subjected to reduced-impact logging (RIL), and three adjacent unlogged sites. We censused a range of forest vertebrate species including large canopy-dwelling and terrestrial birds, three primates, one rodent and one tortoise. Two 4 km transects at each site were repeatedly surveyed during the wet season of 2008 to derive population density estimates on the basis of a cumulative survey effort of 416 km. RIL had ended within 16 months, and sites had been subjected to a mean extraction rate of 3.9 m3 ha1 , equivalent to only 1.1 trees ha1 . Three of the 15 vertebrate species examined here exhibited significantly different abundances at forest RIL sites, two of which were negative. Large frugivores such as primates were less abundant in sites subject to RIL, whereas smaller frugivores, granivores, folivores and insectivores were more common in logged sites. We are unable to reliably distinguish between responses of different taxonomic groups, since robust abundance metrics could only be estimated for four mammal species. Despite this, species traits including dietary guild, body mass, home range size and vertical stratification of forest use are used to explain varying responses. Our findings suggest that responsible reduced-impact logging practices in neotropical forests can be considered as a relatively benign form of forest management that can coexist with the requirements of both local economies and biodiversity conservation. However, our study sites experienced comparably low extraction rates, and detrimental effects such as hunting were low. Our results therefore provide an opportunity to scrutinise the effects of best practice logging systems, though do not necessarily represent typical circumstances across tropical forests."
262,Habitat fragmentation causes immediate and time-delayed biodiversity loss at different trophic levels,Scientific article,Ecology Letters,"Intensification or abandonment of agricultural land use has led to a severe decline of
semi-natural habitats across Europe. This can cause immediate loss of species but also
time-delayed extinctions, known as the extinction debt. In a pan-European study of 147
fragmented grassland remnants, we found differences in the extinction debt of species
from different trophic levels. Present-day species richness of long-lived vascular plant
specialists was better explained by past than current landscape patterns, indicating an
extinction debt. In contrast, short-lived butterfly specialists showed no evidence for an
extinction debt at a time scale of c. 40 years. Our results indicate that management
strategies maintaining the status quo of fragmented habitats are insufficient, as timedelayed
extinctions and associated co-extinctions will lead to further biodiversity loss in
the future."
263,Abundance of Panamanian dry-forest birds along gradients of forest cover at multiple scales,Scientific article,Journal of Tropical Ecology,"Community structure and species abundances may be strongly correlated to patterns of forest cover,
although such patterns are poorly known for tropical dry-forest birds, especially for those in Panamanian dry forests.
Birds were distance-sampled during point counts in five dry-forest fragments in Panama. Distance from point count
to forest edge and forest coverage at three spatial scales (500, 1000 and 2000-m radius) were compared as covariate
predictors of the abundance of avian species and guilds. Each covariate was selected in at least two models of species
or guild abundance. Abundance patterns were consistent with previously reported habitat associations for only two
of seven open-habitat or forest-preferring species that showed forest cover-abundance relationships. Null models best
described the abundance of all forest species and the subset of uncommon forest species. Thus many of these species
appear insensitive to the forest-cover gradients studied. Total abundance of open-habitat-preferring species increased
in dry forests with increasing forest coverage within 500 m, suggesting that the relationship between their abundance
and vegetation structure are spatial-scale and habitat dependent. Nectarivores had lower abundance as forest cover
within 1000 m increased, supporting previous claims that this group is tolerant of forest edges."
264,Wild coffee management and plant diversity in the montane rainforest of southwestern Ethiopia,Scientific article,African Journal of Ecology,"Coffea arabica occurs naturally in the montane rainforests
of Ethiopia, but large areas of these unique forests have
been converted to other land-uses. In the remaining forest,
wild coffee is managed and harvested with increasing
intensity because of rising coffee prices in the world market.
This study evaluated the impact of coffee management
on wild coffee populations and the forest vegetation as a
basis for conservation planning in southwestern Ethiopia.
Vegetation surveys and yield assessments were carried out
in unmanaged natural forest and in managed semi-forest
coffee (SFC) systems. Analyses show that wild coffee
density and coffee yields were low in natural forest (max.
15 kg ha)1 year)1). In SFC systems, 30% of the canopy
trees and most undergrowth vegetation were removed.
This stimulated wild coffee growth and strongly enhanced
yields (max. 54 kg ha)1 year)1), but severely disturbed
forest structure. Species richness increased by 26% because
of an increase in species of ruderal and secondary vegetation;
however, species richness and abundance of typical
forest species declined. Conservation of the natural forest
therefore requires the control of wild coffee management.
Wild coffee certification is discussed as one tool to reconcile
conservation measures and the interests of local farmers."
265,Deforestation and the population decline of the army ant Dorylus wilverthi in western Kenya over the last century,Scientific article,Journal of Applied Ecology,"1. It is important to document changes in the population sizes of species to justify and implement
conservation programmes. This is often hampered by the absence of historical population count
data, particularly for tropical animal species.
2. Here, we developed a predictive habitat distribution model (PHDM) for the army ant Dorylus
wilverthi, a keystone species of Central African rainforests. We applied the model to forest cover
data in western Kenya from 1913 to 2003 in order to estimate changes in the distribution and population
size over the last century. The model was based on a large data set including abundance data
of 51 repeatedly monitored 500 mtransects in forest and non-forest habitats.
3. Forest cover within 1400 m of the transect lines explained 58%of the variation in abundance of
D. wilverthi. The model predicts that the colony abundance of the army ant exponentially increases
with increasing forest cover and that colonies are absent from landscapes with less than 11%forest
cover.
4. Applying the PHDMto historical and recent forest cover data predicts a 52%decline in the population
size of D. wilverthi (from 2801 to 1346 colonies) between 1913 and 2003. Under a worst-case
scenario in which the forest area is reduced to the current national nature reserves, the population
size would decrease to fewer than 300 colonies, which is probably too low to ensure the long-term
survival of the species.
5. Synthesis and applications. Our study demonstrates that the application of a PHDM on landcover
change time series data may give valuable insights into changes in the population size of species
for which no historical population count data are available. Using this approach, we revealed a
significant decline in population size of the army ant D. wilverthi over the last century. High protection
status should be applied to all of the remaining forest area to prevent the population becoming
regionally threatened and to facilitate long-term conservation of this keystone species in Kenya."
266,Explaining the saproxylic beetle diversity of a protected Mediterranean area,Scientific article,Biodiversity and Conservation,"Saproxylic beetle diversity is high at the Cabaneros National Park (central
Spain), where woodland habitats exhibit remarkable heterogeneity. Our aim was to explain
the diversity of saproxylic beetles, focusing on species turnover among mature woodland
types. We surveyed five woodland types that represented the heterogeneity of the parks
woodland habitats. Beetles were collected using window traps over a period of 20 months.
The Jaccard Similarity Index was used as indirect value of beta diversity among woodlands
and to test the relation between species turnover and geographical distance. We also
identified the contribution of species turnover to landscape diversity by using a partitioning
model. Moreover, the presence of mixed woodlands (more than one tree species) allowed
us to attempt to valorise the effect of tree species (coupled with their historical management)
on species turnover among woodlands. Finally, we looked for different saproxylic
beetle preferences for habitat and tree species using an indicator value method. We found
that saproxylic beetle species composition varied significantly among the studied woodlands.
The variation in species turnover was independent from the distance among
woodlands, which suggested that beetle dispersal abilities could not explain this high
turnover. Tree species within woodlands were a key factor that increased diversity turnover
in woodlands and, consequently, the diversity of the park. Moreover, we found saproxylic
beetle species that had different habitat and tree species preferences. We conclude that
woodland heterogeneity (highly affected by woodland composition) seems to be the
driving force for saproxylic beetle diversity in this protected area."
267,Do riparian reserves support dung beetle biodiversity and ecosystem services in oil palm-dominated tropical landscapes?,Scientific article,Ecology and Evolution,"Agricultural expansion and intensification are major threats to global biodiversity,
ecological functions, and ecosystem services. The rapid expansion of oil
palm in forested tropical landscapes is of particular concern given their high
biodiversity. Identifying management approaches that maintain native species
and associated ecological processes within oil palm plantations is therefore a
priority. Riparian reserves are strips of forest retained alongside rivers in cultivated
areas, primarily for their positive hydrological impact. However, they can
also support a range of forest-dependent species or ecosystem services. We surveyed
communities of dung beetles and measured dung removal activity in an
oil palm-dominated landscape in Sabah, Malaysian Borneo. The species richness,
diversity, and functional group richness of dung beetles in riparian
reserves were significantly higher than in oil palm, but lower than in adjacent
logged forests. The community composition of the riparian reserves was more
similar to logged forest than oil palm. Despite the pronounced differences in
biodiversity, we did not find significant differences in dung removal rates
among land uses. We also found no evidence that riparian reserves enhance
dung removal rates within surrounding oil palm. These results contrast previous
studies showing positive relationships between dung beetle species richness
and dung removal in tropical forests. We found weak but significant positive
relationships between riparian reserve width and dung beetle diversity, and
between reserve vegetation complexity and dung beetle abundance, suggesting
that these features may increase the conservation value of riparian reserves. Synthesis
and applications: The similarity between riparian reserves and logged forest
demonstrates that retaining riparian reserves increases biodiversity within oil
palm landscapes. However, the lack of correlation between dung beetle community
characteristics and dung removal highlights the need for further research
into spatial variation in biodiversity–ecosystem function relationships and how
the results of such studies are affected by methodological choices."
268,Impacts of forestry on ant species richness and composition in warm-temperate forests of Japan,Scientific article,Forest Ecology & Management,"To understand the long-term impacts of forestry, i.e., the conversion of old-growth native forests to second-growth native
forests or conifer plantations, on ant species richness (i.e., the number of species) and species composition, ant assemblages from five old-growth forests (more than 120 years), four second-growth forests (3070 years) and three conifer plantations (3040 years) were compared in the Shimanto River Basin, Shikoku, southwest Japan. The number of ant species collected totaled 39. The number of ant species from the old-growth native forests, second-growth native forests and conifer plantations was 1020, 1520 and 1115, respectively. The overall ant species richness had not been affected by forest conversion. However, correspondence analysis (CA) showed that the ant species composition was markedly different between old-growth forests and converted forests (second-growth forests and conifer plantations). The species richness of woodland specialists was greater in the old-growth forests, and open-habitat specialists and habitat generalists dominated the converted forests. The impacts of forestry on ant assemblages were of a long duration. Ant assemblages of the second-growth forests under regeneration for 4070 years after logging were still distinct from those of old-growth forests. Careful management of second-growth forests bordering old-growth remnants would be essential to prevent the invasion of open-habitat species of ants into the interior of old-growth forests."
269,Effects of grazing intensity on bird assemblages and populations of Hungarian grasslands,Scientific article,"Agriculture, Ecosystems and Environment","Agricultural intensification is responsible for the dramatic decline of farmland bird populations in the European Union (EU).
The joining of eight Central and Eastern European (CEE) countries to the EU will re-structure agriculture there. One of the main threats is the intensification of farmland management. Can agri-environmental programs balance the expected decline in bird assemblages of the CEE countries if farming will be intensified?We studied this question by comparing bird assemblages of 42 extensively and intensively grazed paired fields in three regions of Hungary (alkali steppes and meadows in Central Hungary and alkali steppes in Eastern Hungary). Bird assemblages varied significantly across regions and grazing intensity. Intensively grazed sites showed a higher species number and diversity, but lower densities than the extensive sites. This is probably the consequence of higher landscape diversity of intensive sites, which included farm buildings, shelters, wells and other structures. Several bird species, mainly with European conservation concern, showed contrasting responses to grazing intensity in the three regions, including key grassland species (black-tailed godwit Limosa limosa, redshank Tringa totanus, skylark Alauda arvensis and corn bunting Emberiza calandra). Therefore, threat and sensitivity to grassland characteristics are correlating. Although many of the declining species ofWestern Europe are still abundant in Hungarian grasslands, our results project the threat of the expected intensification. This study showed that it is not possible to provide a general grassland management scheme that will favour all bird species in all regions of Hungary. In the process of integrating to the EU and re-structuring agriculture, the establishment of scientifically sound schemes is urgent."
270,Species traits as predictors of lepidopteran composition in restored and remnant tallgrass prairies,Scientific article,Ecological Applications,"Restoration ecologists are increasingly turning to the development of trait-filter
models, which predict how evolved traits limit species membership within assemblages depending on existing abiotic or biotic constraints, as a tool to explain how species move from a regional species pool into a restored community. Two often untested assumptions of these models, however, are that species traits can reliably predict species broadscale distribution and that the effects of traits on community membership do not vary between restored and remnant habitats. The goals of this study were to determine whether combinations of ecological traits predispose moth species toward recolonization of restored prairies and to assess the degree to which restored prairies contain moth assemblages comparable with prairie remnants. In 2004, we collected 259 moth species from 13 tallgrass prairie remnants and restorations in central Iowa. Principal components analysis (PCA) was used to identify significant combinations of ecological traits that were shared by groups of moth species. Logistic regression was then employed to test for significant effects of the trait combinations on the frequency of prairie sites occupied by moth species. PCA partitioned moth traits into four axes that explained a total of 81.6% of the variance. Logistic regression detected significant effects for all four PCA axes on the fraction of sites occupied by moths. Species frequently filtered from the regional species pool into prairies were those that had long flight periods and were multivoltine, displayed a feeding preference for legumes but not other forb families, and were regionally abundant but relatively small in body size. Ordination revealed significant differences in moth communities among prairies, suggesting that species traits and habitat characteristics likely interact to create observed patterns of species recolonization of restorations. Thus, the optimal approach to restoring the lepidopteran fauna of tallgrass prairies may involve locating prairie plantings adjacent to habitat remnants."
271,"Land use and habitat gradients determine bird community diversity and abundance in suburban, rural and reserve landscapes of Minnesota, USA",Scientific article,Biological Conservation,"Bird species’ community responses to land use in the suburbanizing Twin Cities, Minne- sota, USA, were contrasted among reserves, rural lands, and suburbs. For each land use
type, bird composition, diversity, and abundance were recorded for 2 years in 99 plots in three sampling units (each 4500 ha). A habitat gradient defined by canopy structure (grasslands to savannas to forests) was influenced by land use, so 300 plots were used to characterize simultaneous variation in bird communities along land use and habitat gra-
dients. At broad scales (aggregate of 33 plots covering 4500 ha) suburbs supported the lowest bird richness and diversity and rural landscapes the most, with reserves slightly
below rural. Although reserves were like rural lands in diversity of bird communities, they supported more species of conservation concern, particularly of grasslands and savannas. Differences among land use types varied with habitat structure. Suburbs, rural lands, and reserves had similar forest bird communities, but differed in grassland and savanna bird communities. The extensive rural forests are important for the region’s forest birds. Subur- ban grasslands and savannas had low shrub abundance, low native bird richness and high non-native bird richness and abundance. However, total bird richness and diversity were as high in suburban as in rural and reserve plots because high native richness in suburban for- ests and high non-native species richness in suburban grasslands and savannas compen- sated for lower native richness in suburban grasslands and savannas. Bird conservation here and in the Midwest USA should protect rural forests, expand grasslands and savannas in reserves, and improve habitat quality overall."
272,Snake species distributions and temperate grasslands: A case study from the American tallgrass prairie,Scientific article,Biological Conservation,"Many snake species are declining globally, yet data unavailability in temperate grasslands hinders snake conservation in one of the worlds most endangered biomes. To encourage and inform the conservation of snakes in these regions, I examined snake species diversity and abundance during 2 years of a mark-recapture study at 22 sites located in six American tallgrass prairie preserves in northern Illinois, USA. I emphasized landscape-scale relation- ships after accounting for covariance with environmental factors at both finer (microhab- itat) and broader (regional) scales. A total of 120 snakes representing seven species was captured using drift fence arrays associated with funnel traps and sheet metal cover. The low numbers and diversity of snakes captured, when compared to historic evidence, indicate that since the 1930s Midwestern snake populations have declined. Non-metric multidimensional scaling and Mantel tests demonstrate that differences in snake species composition in remnant and degraded prairies are discernable along gradients of urban and agricultural land cover. However, different patterns of abundance for individual snake species indicate that the relative importance of specific landscape factors differ among spe- cies, which has significant conservation implications. Here, I recommend that conserva- tionists use a species-specific approach to manage snake populations. I also stress the need for thorough inventory of snake populations and studies of snakehabitat relation- ships to advance our understanding of snake ecology and conservation within the little studied temperate grassland habitats of South America and eastern Eurasia."
273,Bird assemblages in pine plantations replacing native ecosystems in NW Patagonia,Scientific report (published),Biodiversity and Conservation,"Forest plantations of exotic conifers represent an important economic activity in NW Patagonia, Argentina. However, there is a remarkable lack of information on the impact of forestry on native biodiversity. We analyzed the effect of Pinus ponderosa plantations on bird communities, considering different stand management practices (dense and sparse tree covers), and different landscape contexts where they are planted (Austrocedrus chilensis forest and steppe). Ultimately we wished to assess in which way plantations may be designed and managed to improve biodiversity conservation. Bird richness and abundance did not change significantly in the steppe, although community composition did, and was partially replaced by a new community, similar to that of ecotonal forests. In contrast, in the A. chilensis forest areas, species richness decreased in dense plantations, but bird community composition remained relatively constant when replacing the native forest with pine plantations. Also, in A. chilensis forest, stand man- agement practices aiming at maintaining low tree densities permit the presence of many bird species from the original habitat. In the steppe area in turn, both dense and sparse plantations are unsuitable for most steppe species, thus it is necessary to manage them at higher scales, maintaining the connectivity of the native matrix to prevent the fragmen- tation of bird populations. We conclude that pine plantations can provide habitat for a substantial number of native bird species, and this feature varies both with management practices and with the landscape context of areas where afforestation occurs."
274,Habitat and landscape characteristics underlying anuran community structure along an urban-rural gradient,Scientific article,Ecological Applications,"Urbanization has been cited as an important factor in worldwide amphibian
declines, and although recent work has illustrated the important influence of broad-scale ecological patterns and processes on amphibian populations, little is known about the factors structuring amphibian communities in urban landscapes. We therefore examined amphibian community responses to wetland habitat availability and landscape characteristics along an urbanrural gradient in central Iowa, USA, a region experiencing rapid suburban growth. We conducted call surveys at 61 wetlands to estimate anuran calling activity, and quantified wetland habitat structure and landscape context. We used canonical correspondence analysis (CCA) to examine patterns in anuran community structure and identify the most important variables associated with those patterns. Urban density at the landscape scale had a significant negative influence on overall anuran abundance and diversity. While every species exhibited a decrease in abundance with increasing urban density, this pattern was especially pronounced for species requiring post-breeding upland habitats. Anurans most affected by urbanization were those associated with short hydroperiods, early breeding activity, and substantial upland habitat use. We suggest that broad-scale landscape fragmentation is an important factor underlying anuran community structure in this region, possibly due to limitations on the accessibility of otherwise suitable habitat in fragmented urban landscapes. This study underscores the importance of a regional approach to amphibian conservation in urban and urbanizing areas; in fragmented landscapes, a network of interconnected wetland and upland habitats may be more likely to support a successful, diverse anuran community than will isolated sites."
275,Butterfly distribution and abundance is affected by variation in the Swedish forest-farmland landscape,Scientific article,Biological Conservation,"Remaining patches of semi-natural grasslands are hot spots for biodiversity in modern agricultural landscapes.
In Sweden semi-natural pastures cover approximately 500,000 ha. However, power-line corridors,
road verges and clear-cuts cover larger areas (in total about 2,000,000 ha), and these open, less
intensively managed habitats are potentially important for species associated with taller vegetation
and flower resources (e.g. pollinating insects). The aim of the present study was to evaluate the relative
importance of semi-natural pastures and the other three open habitats for butterflies in 12 forest-farmland
mosaic landscapes in south central Sweden. Species composition differed significantly between habitats
in multivariate analyses. Power-line corridors and semi-natural pastures harbored several species
that were disproportionally abundant in these habitats (13 and 8 species, respectively), and power-line
corridors also harbored several species that were classified as typical in indicator species analyses. There
were more butterfly species, higher abundances and a tendency for more individuals of red-listed species
in power-line corridors than in the other three habitats. Effects of the surrounding landscape composition
seemed to be weaker than that of the local habitat. However, species composition was significantly associated
with landscape composition and species with intermediate and low mobility were more abundant
in forested landscapes than in landscapes dominated by arable fields. Analyses of flying time and host
plants for larvae suggest that early flying species and species associated with dwarf shrubs were more
common in power-line corridors than in the other habitats. A landscape perspective, which takes several
habitats into account, is needed for conservation of butterfly communities in forest-farmland landscapes.
Power-line corridors and road verges offer possibilities for creating habitats that are suitable for pollinating
insects through conservation-oriented management."
276,Understory succession in post-agricultural oak forests: Habitat fragmentation affects forest specialists and generalists differently,Scientific article,Forest Ecology & Management,"The herbaceous understory forms the richest stratum in temperate broadleaved forests in terms of plant diversity. Understanding the process of understory succession is thus of critical importance for the devel- opment of management guidelines for biodiversity restoration in post-agricultural plantation forests. We studied effects of stand age, forest fragmentation, and soil and canopy conditions on species rich-
ness and abundance of four species groups in the understory of post-arable oak plantations in southern Sweden: herbaceous forest specialists, habitat generalists and open-land species, and woody species. The group of forest specialists may approach the richness of continuously forested sites after 60
80 years in non-fragmented plantations, but many forest species were sensitive to habitat fragmentation. Open-land species richness decreased during succession, while the richness of woody species and of gen- eralists remained stable, and was not affected by fragmentation. Abundance of generalists gradually decreased in non-fragmented plantations, probably due to competition from colonizing forest specialists. Soil pH in post-arable stands remained consistently higher than in continuously forested stands, which maintained differences in species composition. The development of a shrub layer seemed to imply a com- petitive advantage for forest specialists compared to generalist species. For successful recovery of a rich understory, we suggest that post-arable plantations should be estab-
lished on loamy soils of intermediate to high pH proximate to older forest with source populations, and that a continuous overstory canopy cover of 7080% is maintained by regular light thinnings and promo- tion of a shrub layer."
277,Pasture area and landscape heterogeneity are key determinants of bird diversity in intensively managed farmland,Scientific article,Biodiversity and Conservation,"Agriculture intensification has drastically altered farmland mosaics, while semi- natural grasslands have been considerably reduced and fragmented. Bird declines in northern temperate latitudes are attributed to habitat loss and degradation in farmed landscapes. Conversely, landscape-modification effects on grassland/farmland bird communities are less studied in the South American temperate grasslands.Weinvestigated how bird communities were influenced by landscape characteristics in the Rolling Pampa (Argentina). We sampled bird communities in 356 landscapes of 1-km radius that varied in cover and configuration of pastureland, flooding grassland and cropland. Using generalized linear models, we explored the relationship between both bird species richness and abundance, and landscape structure. Analyses were carried out for all species, and open-habitat, grassland and aquatic species. Pasture area was far the most important factor, followed by landscape composition, in predicting species richness and abundance, irrespective of specific habitat preferences, followed by partially-flooded grassland cover and its mean shape index. Grassland frag- mentation did not affect species richness or abundance. When comparing the effects of landscape variables on bird richness and abundance (using mean model coefficients), pasture and grassland area effects were on average more than four times greater than those of compositional heterogeneity, and about ten times greater than shape effects. To conserve species-rich bird communities persisting in Rolling Pampa farmland, we recommend the preservation of pasture and grassland habitats, irrespective of their fragmentation level, in intensively managed farmland mosaics."
