,Author,Title,Abstract,Journal,,,,,,,
1389,"Van Houtan}, Kyle S and Bass, Oron L",Supplemental Data: Stormy oceans are associated with sea turtle hatching declines Author list: Kyle S. Van Houtan and Oron L. Bass Supplemental experimental procedures,,Conservation Biology,,,,,,,
1390,,"\{Hoyle, 1986 \#3308\}.pdf",,,,,,,,,
1391,"Huang, W.-B. and Lo, N.C.H. and Chiu, T.-S. and Chen, C.-S.",Northwestern Pacific in Relation to Sea Temperatures,"Geographical distribution and abundance of Pacific saury, Cololabis saira (Brevoort) (Scomberesocidae), fishing stocks in the northwestern Pacific in relation to sea temperatures. Zoological Studies 46(6): 705-716. We compared geographical distributions of Pacific saury, Cololabis saira (Brevoort) (Scomberesocidae), fishing stocks in the Northwest Pacific (NWP) for 3 yearly groups of high, average, and low abundances, using the Taiwanese fishery catch per unit effort (CPUE) data from 1994 to 2002. Two migratory groups, inshore and offshore, were found in averageand low-abundance years, while an additional oceanic migratory group, which spread eastward to around 178E in Oct., was found in the year of high abundance. Most of the saury groups were distributed in areas where the sea surface temperature (SST) ranged between 10 and 20C with a high aggregation around 15C, implying that 15C is the preferred temperature for saury to aggregate intensively for the commencement of the spawning migration, and to move southward to spawning grounds where SSTs of around 20C are favorable to their offspring. The timing, abundance, and geographical distributions of fish aggregations of migratory saury were associated with SSTs. In the early stages of the fishing season, apparent warming caused by the intrusion of Kuroshio Current waters in the southern NWP was closely related to delayed aggregation and low abundances of the saury stock; in contrast, cooling of the waters affected by Oyashio waters was related to eastward aggregation and high abundances of saury. High saury abundances occurred in low-temperature areas. Specifically, in years of low CPUE values, sea water temperatures (SWTs) of the fishing grounds were higher than 15C, while in years of average and high CPUE values, the SWTs of the fishing grounds were < 15C. Therefore, fishing ground SWTs higher than 15C (around 16C SST) is an indicator of low stock abundances of saury in the NWP.",Zoological Studies,,,,,,,
1392,"Hubbard, David M. and Dugan, Jenifer E.",Shorebird use of an exposed sandy beach in southern California,"Frequent morning surveys of birds were conducted on 1 km of beach in southern California to investigate shorebird use of an exposed sandy beach. The overall mean abundance (98.6individuals km-1), estimated biomass (9.6kgkm-1), and species richness (5.5 species km-1) of shorebirds observed were very high for a sandy beach in the temperate zone. Eight species, sanderling (Calidris alba), semipalmated plover (Charadrius semipalmatus), marbled godwit (Limosa fedoa), black-bellied plover (Pluvialis squatarola), western sandpiper (Calidris mauri), willet (Catoptrophorus semipalmatus), surfbird (Aphriza virgata), and whimbrel (Numenius phaeopus), occurred in overall mean abundances >1 bird km-1 and accounted for 97\% of the abundance and biomass of shorebirds. Sanderlings were the most abundant shorebird every year (64\% of individuals and 35\% of the biomass). Different species of abundant shorebirds exhibited distinct patterns of use of beach habitat, including fall, spring, and winter peaks in abundance. Temporal variation in shorebird use on seasonal and interannual scales was associated with migration patterns, and also with habitat availability and condition. Seasonal variation in monthly mean abundance and estimated biomass of shorebirds varied over more than an order of magnitude and followed a similar pattern in each year, reaching maxima in the fall or winter (161-280 individuals km-1 and 15.4-23.9 kg km-1) and minima in May or June (3-11 individuals km-1 and 0.8-2.2 kg km-1). A minor peak in shorebird abundance and biomass coinciding with spring migration was observed in April of most years. The number of species of shorebirds observed in individual surveys ranged from 0 to 11 species km-1 and was positively and significantly correlated with abundance. Monthly mean species richness and the total species observed monthly followed similar seasonal patterns, ranging from annual maxima of 7.4-9.1 and 12-17 species km-1 between August and October to minima of 0.8-2.1 and 2-8 species km-1, respectively, during June, In contrast, species turnover was lowest (1.1-1.7) in October and November, and generally highest (2-4) during early summer (June). The amount of sandy intertidal habitat available to shorebirds on the transect was estimated using sand elevations and predicted tide heights. In the fall and winter, the abundance of shorebirds was significantly and positively correlated with tide height, possibly reflecting feeding opportunities and high tide refuge effects during the highest tides. In the spring when sand levels were low, the abundance of shorebirds was negatively correlated with tide height. Prey availability, beach condition and the local availability, and condition of alternative foraging habitats may influence those relationships. Interannual variations in shorebird use and beach condition were observed in the course of the study. During an El Nino Southern Oscillation (ENSO) event (1997-1998), the extent of sandy habitat was greatly reduced and intertidal habitat was mostly converted to rocky substrate. The overall abundance of shorebirds and the mean abundance of some common species (e.g. sanderling) were depressed, and an uncommon species (surfbird, A. virgata) was unusually abundant during the ENSO event. In summary, the results suggest that sandy beaches are important habitat for many species of shorebirds, particularly in areas where alternative coastal foraging habitats, such as coastal wetlands, have become scarce. Understanding the dynamics of and threats to exposed sandy beaches may be increasingly important for shorebird conservation in many coastal regions. ?? 2003 Elsevier Ltd. All rights reserved.","Estuarine, Coastal and Shelf Science",,,,,,,
1393,"Meeting, Working and Commission, Species Survival and World, The and Union, Conservation","(Unedited and Unreviewed) IUCN – The World Conservation Union Rue Mauverney 28, CH-1196, Gland, Switzerland 2002",,,,,,,,,
1394,"Huin, Nic",Falkland Islands Penguin Census Falkland Islands Penguin Census,,,,,,,,,
1395,,Long-Toed Salamander,,,,,,,,,
1396,"Of, Ummary and By, Ssessment and Ianelli, James N and This, Daniel H Ito and Year, Assessment and Year, Projection and Recommendation, A B C",\& DWFK KLVWRU $\backslash$,,,,,,,,,
1397,"Barbeaux, Steven J and Ianelli, James and Nichols, Dan and Hoff, Jerry",Assessment of Greenland Turbot ( Reinhardtius hippoglossoides ) in the Bering Sea and Aleutian Islands,,,,,,,,,
1398,"Ianelli, James N and Honkalehto, T and Barbeaux, S J",Chapter 1b : Abbreviated assessment of pollock ( Theragra chalcogramma ) from the Bogoslof Island Region,,,,,,,,,
1399,"Barbeaux, Steven J and Ianelli, James and Nichols, Dan and Hoff, Jerry",Assessment of Greenland Turbot ( Reinhardtius hippoglossoides ) in the Bering Sea and Aleutian Islands,,,,,,,,,
1400,"Ianelli, James N and Barbeaux, Steven J and Mckelvey, D and Honkalehto, T",1 . B . Assessment of walleye pollock in the Bogoslof Island Region,,Assessment,,,,,,,
1401,"Santiago, J and Domingo, a",2012 Shortfin Mako Stock Assessment and Ecological Risk Assessment Meeting,,,,,,,,,
1402,"Rouge, Baton",Hyper-abundance of Native Wild Pigs,,Life Sciences,,,,,,,
1403,"Ilgaz, \c{C} and T\""{u}rkozan, O. and \""{O}zdemir, a. and Kaska, Y. and Stachowitsch, M.","Population decline of loggerhead turtles: Two potential scenarios for Fethiye Beach, Turkey","Based on nesting data over a 12-year period (1993-2004), this study points to a negative population trend of the loggerhead turtle population at Fethiye beach, Turkey. The number of nests fluctuated from a maximum of 186 in 1995 to a minimum of 58 in 2004. Successively smaller peaks at 3-year intervals were followed by successively smaller troughs. Two analyses-one representing a dampened oscillation, the other retaining the period and the amplitudes of the nesting cycles-predict that nest number will drop to about 40-50 by 2015, i.e. to about 22-27\% of its highest value. This drop at Fethiye does not correspond with a visible increase at neighboring beaches, leading to the interpretation that the number of nesting turtles here is declining. Moreover, the carapace size of emerging adult females is apparently decreasing, as are clutch sizes. Such a potential negative trend at a key Turkish nesting beach is cause for concern, an incentive for continued study, and a call for more coordinated and effective conservation programs in this region of the Mediterranean.",Biodiversity and Conservation,,,,,,,
1404,"Blue, E and Blue, Table and Blue, E",Status of the Indian Ocean blue marlin ( BUM : Makaira nigricans ) resource,,,,,,,,,
1405,"Striped, Table",Striped marlin [ E ] Status of the Indian Ocean striped marlin ( MLS : Tetrapturus audax ) resource Striped marlin [ E ],,,,,,,,,
1406,"Black, E and Black, Table and Black, E",E XECUTIVE S UMMARY : B LACK MARLIN Status of the Indian Ocean black marlin ( BLM : Makaira indica ) resource,,,,,,,,,
1407,"Stock, Cean",Longtail tuna [ E ] E XECUTIVE S UMMARY : L ONGTAIL T UNA Status of the Indian Ocean longtail tuna ( LOT : Thunnus tonggol ) resource Longtail tuna [ E ],,,,,,,,,
1408,"Stock, Cean",Narrow-barred Spanish mackerel [ E ] E XECUTIVE S UMMARY : N ARROW - BARRED S PANISH M ACKEREL Status of the Indian Ocean narrow-barred Spanish mackerel ( COM : Scomberomorus commerson ) resource Narrow-barred Spanish mackerel [ E ],,,,,,,,,
1409,"Kawakawa, E and Kawakawa, Table",E XECUTIVE S UMMARY : K AWAKAWA Status of the Indian Ocean kawakawa ( KAW : Euthynnus affinis ) resource Kawakawa [ E ],,,,,,,,,
1410,"Mortality, Fishing and Biomass, Spawning Stock",Advice July 2011 Bay of Biscay and Atlantic Iberian waters Sardine in Divisions VIIIc and IXa,,,,,,,,,
1411,"Whiting, Blue and Working, Fisheries",Capelin in the Iceland-East Greenland-Jan Mayen area ( Sub-areas V and XIV and Division IIa west of 5 ° W ),,,,,,,,,
1412,Ices,Advice May 2011 Baltic Sea Cod in Subdivisions 22 – 24,ICES advises on the basis of the EU management plan (EC 1098/2007) that the TAC for 2012 should be set at 21 300 t.,Management,,,,,,,
1413,"Mortality, Fishing and Biomass, Spawning Stock",Baltic Sea Cod in Subdivisions 25-32 Advice May 2010,,,,,,,,,
1414,Ices,Advice June 2011 Celtic Seas and West of Scotland Plaice in Division VIIa ( Irish Sea ),,North,,,,,,,
1415,Ices,Advice June 2011 North Sea Cod in Subarea IV ( North Sea ) and Divisions VIId ( Eastern Channel ) and IIIa West ( Skagerrak ),ICES advises on the basis of the EU–Norway management plan that landings in 2012 should be no more than 31 800 t.,Management,,,,,,,
1416,"Mortality, Fishing and Ssb, Unknown Unknown and Biomass, Spawning Stock and Reduced, Undefined and East, Division Iiia",Stock summaries Advice June 2012 North Sea Cod in Division IIIa East ( Kattegat ),,,,,,,,,
1417,"Mortality, Fishing and Biomass, Spawning Stock",Advice June 2011 North Sea Plaice in Subarea IV ( North Sea ),,Outlook,,,,,,,
1418,"Mortality, Fishing and Biomass, Spawning Stock",Advice June 2012 Celtic Sea and West of Scotland Whiting in Division VIa ( West of Scotland ),,,,,,,,,
1419,"Mortality, Fishing and Ssb, Undefined and Biomass, Spawning-stock and Viii, Subarea and Council, E U",Bay of Biscay and Atlantic Iberian waters Anchovy in Subarea VIII ( Bay of Biscay ) Advice July 2011,,Outlook,,,,,,,
1420,"Stock, Spawning",Celtic Sea and West of Scotland Whiting in Divisions VIIe k Advice June 2010 Recruitment ( age 0 ),,,,,,,,,
1421,"Mortality, Fishing and Biomass, Spawning Stock",Advice July 2011 Bay of Biscay and Atlantic Iberian waters Sardine in Divisions VIIIc and IXa,,,,,,,,,
1422,"Mortality, Fishing and Biomass, Spawning Stock",Advice July 2011 Bay of Biscay and Atlantic Iberian waters Sardine in Divisions VIIIc and IXa,,,,,,,,,
1423,"Mortality, Fishing and Ssb, Undefined and Biomass, Spawning-stock and Msy, Undefined and Viib, Divisions",Advice June 2013 Celtic Sea and West of Scotland Haddock in Divisions VIIb – k,,,,,,,,,
1424,"Mortality, Fishing and Ssb, Undefined and Biomass, Spawning-stock and Msy, Undefined and Viib, Divisions",Advice June 2013 Celtic Sea and West of Scotland Haddock in Divisions VIIb – k,,,,,,,,,
1425,Ices,Stock summaries Advice June 2012 Bay of Biscay and Atlantic Iberian waters Hake in Divisions VIIIc and IXa (Southern stock),,,,,,,,,
1426,"Commission, Joint Norwegian-russian Fisheries and Tac, The and Ices, Sources and Fisheries, Arctic and Group, Working and Cm, Ices and Norwegian, The and Survey, Cpue",Barents Sea and Norwegian Sea Greenland halibut in Subareas I and II Advice June 2010 Supporting Information June 2010 Barents Sea and Norwegian Sea Greenland halibut in Subareas I and II Further work is required on the implementation of the MSY framework for this stock .,,,,,,,,,
1427,Ices,Advice June 2011 Barents Sea and Norwegian Sea Cod in Subareas I and II ( Norwegian coastal waters cod ),"ICES advises on the basis of the Norwegian rebuilding plan: If the spawning stock index in the 2011 autumn survey (results available in early December) is lower than the index in 2010, the fisheries regulations should aim at a reduction of F in 2012 of at least 30\% relative to 2009. If the survey index is higher than in 2010, the measures taken in 2011 should continue in 2012.",Outlook,,,,,,,
1428,"Mortality, Fishing and Biomass, Spawning Stock",Celtic Sea and West of Scotland Cod in Division VIa ( West of Scotland ) Advice June 2012,,,,,,,,,
1429,Ices,Cod Stocks in the Greenland Area (NAFO Area 1 and ICES Subdivision XIVB),,,,,,,,,
1430,Ices,Advice June 2012 Celtic Sea and West of Scotland Haddock in Division VIb ( Rockall ),,,,,,,,,
1431,Ices,"Advice October 2013 Widely distributed and migratory stocks Blue whiting in Subareas I – IX , XII , and XIV",,,,,,,,,
1432,"Ale, Som B and Karky, Bhaskar S and Allen, Priscilla and Macray, Dennis",Contributed Papers to the Snow Leopard Survival Strategy Summit May 2002 Prepared by the International Snow Leopard Trust Table of Contents,,Area,,,,,,,
1433,Cosewic,COSEWIC Assessment and Status Report on the Coho Salmon Oncorhynchus kisutch Interior Fraser population in Canada,,,,,,,,,
1434,"Irvine, Robyn L. and Schmidt, Dana C. and Hildebrand, Larry R.",Population Status of White Sturgeon in the Lower Columbia River within Canada,"The subpopulation of white sturgeon Acipenser transmontanus in the Canadian portion of the Columbia River between Hugh L. Keenleyside Dam and the U.S.–Canada border has been identified as endangered, with nearly 30 consecutive years of consistent recruitment failure. The objectives of this study were to determine the status and population attributes of this subpopulation. We estimated survival rates and abundance using catch-curve analysis and mark–recapture models. An annual survival rate of 89\% (95\% confidence interval [CI], 88–90\%) was estimated for the subpopulation using catch-curve analysis for the time period 1993–2004. The survival rates estimated from the mark–recapture data were obtained using model averaged parameter estimates from a multistrata Cormack–Jolly–Seber model. The annual survival rate from the mark–recapture model was estimated at 97\% (95\% CI, 92–99\%) from 1993 to 2004. The mark–recapture methods estimated abundance for 2004 to be 1,157 individuals (95\% CI, 414–1,900). The mark–recapture data suggest that the white sturgeon have low migration rates, ranging from 3\% to 5\% among sections of the river. Despite high estimated survival, high uncertainty as to the future viability of the white sturgeon subpopulation in this portion of the river remains, as natural recruitment is poor. The fish continue to age, and size and age-frequency data suggest that recruitment failure continues in this subpopulation with minimal presence of wild juvenile or subadult white sturgeon detected.",Transactions of the American Fisheries Society,,,,,,,
1435,"Isaac, V.J. and Ruffino, M.L.","Population dynamics of tambaqui, Colossoma macropomum Cuvier, in the Lower Amazon, Brazil","Fishery statistics and length data series for Colossoma macropomum Cuvier obtained during 1992 and 1993 in the Lower Amazon, Brazil were used to describe the fishery and to estimate growth and mortality rates. Mean population parameters were L∞ = 119.85 cm (total length), W∞ = 33.4 kg, K = 0.228 year–1, C = 0.505, Winter Point = July, M = 0.445 year–1, F = 0.94 year–1 and Lc = 28.29 cm. Yield-per-recruit analysis showed that an excessive fishing effort and principally a very low length at first capture lead to an increase in overfishing in the region. Corrective measures are recommended.",Fisheries Management and Ecology,,,,,,,
1436,"Shackleton, David",Caprinae,,,,,,,,,
1437,"Turtle, Green",Green Turtle (Chelonia,,,,,,,,,
1438,"Servheen, C and Herrero, S and Peyton, B",Bears: Status Survey and Conservation Action Plan,,Management,,,,,,,
1439,"Attacks, Mountain Lion and Fatal, One and Predators, Conflict Between and Leopard, Snow and Jackson, Peter",CAT NEWS 27 Autumn 1997 Contents,,Group,,,,,,,
1440,"Sunquist, Me and Sanderson, J","Ecology and Behaviour of the Kodkod in a Highly-fragmented, Human- dominated Landscape",,Cat News,,,,,,,
1441,"World, Unep and Monitoring, Conservation and October, Centre",Humboldt Penguin,,Distribution,,,,,,,
1442,"Mallon, Dp and Kingswood, Sc",Global survey and regional action plans on antelope,,Gland and Cambridge: IUCN,,,,,,,
1443,"Services, Bibliographie",n This,,,,,,,,,
1444,,IUCN:SSC Cat Specialist Group Library,,,,,,,,,
1445,,IUCN:SSC Cat Specialist Group Library,,,,,,,,,
1446,,IUCN:SSC Cat Specialist Group Library,,,,,,,,,
1447,,IUCN:SSC Cat Specialist Group Library,,,,,,,,,
1448,,IUCN:SSC Cat Specialist Group Library,,,,,,,,,
1449,"Groves, Colin P.",Taxonomy of Living Equidae,"The new Equid Action Plan provides current knowledge on the biology, ecology and conservation status of wild zebras, asses, and horses. It specifies what information is lacking, and prioritizes needed conservation actions. The Action Plan also provides chapters on equid taxonomy, genetics, reproductive biology, and population dynamics. These chapters highlight unsolved issues of taxonomy and genetics. They also provide information and insight into the special demographic and genetic challenges of managing small populations. The chapter on disease provides a review of documented equine disease and epidemiology and focuses on priorities for equid conservation health. The final chapter deals with the importance of developing an assessment methodology that explicitly considers the role of equids in ecosystems and the ecological processes that are necessary for ecosystem viability. The approach of combining ecological field studies and ecosystem modeling should prove useful for the scientific management and conservation of wild equids worldwide. These chapters provide research and conservation practitioners with new information and paradigms.","Equids: Zebras, Asses, and Horses. Status Survey and Conservation Action Plan",,,,,,,
1450,"Conservation, Primate",The journal of the IUCN/SSC primate specialist group,,Primate conservation,,,,,,,
1451,"Recarte, A N A",The California Sea Otter Recovery Plan,,,,,,,,,
1452,"Ivanov, Bojidar",Population development of the White-tailed Eagle H aliaeetus albicilla in Bulgaria in the period from 1977 to 2005,,,,,,,,,
1453,"Jaeger, Robert G",No Title,,,,,,,,,
1454,"Jaehne, Stefan","Bestandserfassung des Schwarzstorches (Ciconia nigra) in Th\""{u}ringens W\""{a}ldern",Schwarzstorch.pdf,"Die gr\""{u}nen Seiten",,,,,,,
1455,"Jambiya, George, Milledge, Simon, Mtango}, Nangena","'Night time spinach' Conservation and livelihood implications of wild meat use in refugee situations in north-western Tanzania (PDF, 895KB)","This TRAFFIC report finds the lack of meat in refugee rations in East Africa is causing a flourishing illegal trade in wild meat, threatening wildlife populations and creating a food security issue for rural communities.",Traffic,,,,,,,
1456,"James, Nicola C. and Whitfield, Alan K. and Cowley, Paul D.",Long-term stability of the fish assemblages in a warm-temperate South African estuary,"Little is known about long-term changes in estuarine fish populations and related environmental variations. Fishes in the temporarily open/closed East Kleinemonde Estuary were sampled bi-annually, in summer and winter, using seine and gill nets between December 1994 and July 2005. A total of 18 families, represented by 33 species, were recorded. The 10 most abundant species caught were consistently recorded in catches each year, but CPUE of individual species varied on an annual basis and this can often be related to mouth state. Multivariate analyses of the annual marine fish community identified two distinct groups, with more species recorded during years that succeeded spring (September to November) mouth-opening events than in years following no mouth-opening events in spring. Interannual community stability (IMD) and seriation (IMS) also increased from the years following no opening events in spring to the years that succeeded spring opening events. These results highlight the importance of the timing of mouth opening to the marine fish community in a temporarily open/closed estuary. This study reinforces the importance of long-term studies to understanding community changes in estuaries caused by environmental variations over different time scales. © 2007 Elsevier Ltd. All rights reserved.","Estuarine, Coastal and Shelf Science",,,,,,,
1457,"Taylor, Publisher and James, N C and G\""{o}tz, a and Potts, W M and Cowley, P D",African Journal of Marine Science Temporal variability of a temperate fish assemblage in Africa ' s oldest marine protected area Temporal variability of a temperate fish assemblage in Africa ’ s oldest marine protected area,,,,,,,,,
1458,"Jankowiak, Łukasz and Polakowski, Michał and Kułakowski, Tomasz and \'{S}więtochowski, Piotr and Tumiel, Tomasz and Broniszewska, Monika",Zmiany liczebno\'{s}ci wybranych gatunk\'{o}w ptak\'{o}w w okresie pozalęgowym w centralnej czę\'{s}ci Niziny P\'{o}łnocnopodlaskiej w latach 2000 – 2011,,,,,,,,,
1459,"May, No","Kill Rates and Predation by Wolves on Ungulate Populations in Bia \# owie \# a Primeval Forest ( Poland ) W \# odzimierz J \# drzejewski ; Krzysztof Schmidt ; J\""{o}rn Theuerkauf ; Bogumi \# a J \# drzejewska ; Nuria Selva ; Karol Zub ; Lucyna Szymura",,,,,,,,,
1460,"Jemison, Lauri a. and Pendleton, Grey W. and Wilson, Carol a. and Small, Robert J.","Long-term trends in harbor seal numbers at Tugidak Island and Nanvak Bay, Alaska","We conducted land-based counts of harbor seals (Phoca vitulina richardii) and collected related environmental data at Tugidak Island (Gulf of Alaska, 1994–2000) and Nanvak Bay (Bristol Bay, 1990–2000) to estimate population trends and identify factors influencing counts. At Tugidak Island, the seal population declined substantially during molting from 1976 through the 1980s, stabilized in the early 1990s, and increased at a moderate rate (3.4\%/yr, CI: 1.0\%–5.8\%) from 1994 to 2000. Pups and all seals ashore during pupping increased at higher annual rates of 5.4\% (CI: 2.2\%–8.8\%) and 8.3\% (CI: 4.5\%–12.3\%) from 1994 to 2000 at Tugidak Island. At Nanvak Bay seals declined in abundance between 1975 and 1990 but increased during the 1990s at 9.2\%/yr (CI: 7.2\%–11.3\%) during pupping and 2.1\%/yr (CI: 0.6\%–3.6\%) during molting. Date and time-of-day were significant covariates in all analyses. Factors that led to declines at Tugidak Island and Nanvak Bay have seemingly abated sufficiently such that these populations are currently increasing, though still greatly reduced from the 1970s. Index sites are useful adjuncts to aerial surveys, providing survey-related information not always available from aerial counts, which is useful in survey design and data analysis.",Marine Mammal Science,,,,,,,
1461,"Jenouvrier, St\'{e}phanie and Caswell, Hal and Barbraud, Christophe and Weimerskirch, Henri","Mating behavior, population growth, and the operational sex ratio: a periodic two-sex model approach.","We present a new approach to modeling two-sex populations, using periodic, nonlinear two-sex matrix models. The models project the population growth rate, the population structure, and any ratio of interest (e.g., operational sex ratio). The periodic formulation permits inclusion of highly seasonal behavioral events. A periodic product of the seasonal matrices describes annual population dynamics. The model is nonlinear because mating probability depends on the structure of the population. To study how the vital rates influence population growth rate, population structure, and operational sex ratio, we used sensitivity analysis of frequency-dependent nonlinear models. In nonlinear two-sex models the vital rates affect growth rate directly and also indirectly through effects on the population structure. The indirect effects can sometimes overwhelm the direct effects and are revealed only by nonlinear analysis. We find that the sensitivity of the population growth rate to female survival is negative for the emperor penguin, a species with highly seasonal breeding behavior. This result could not occur in linear models because changes in population structure have no effect on per capita reproduction. Our approach is applicable to ecological and evolutionary studies of any species in which males and females interact in a seasonal environment.",The American naturalist,,,,,,,
1462,"Johnson, a. R.",Long-Term Studies and Conservation of Greater Flamingos in the Camargue and Mediterranean,"The Camargue delta of the Rh\^{o}ne River (southern France) is the only place in France where the Greater Flamingo Phoenicopterus ruber roseus breeds, and it is the most important breeding site in the western Mediterranean. The numbers of breeding pairs and chicks raised have been monitored for 50 years (1947-1996). Following intensive management of this colony, the number of birds breeding in the Camargue increased from 4,000-5,000 pairs in the 1950s to an average of 13,500 in 1986-1996. Since the size of the colony is limited by the size of its island, this led to the expansion of the number of breeding sites in the western Mediterranean as a whole. Banding studies begun in the 1940s have shown that flamingos of Camargue origin exploit wetlands throughout much of the Mediterranean region and west Africa. Some individuals are sedentary, while others are migratory or opportunistic. Studies of the flamingo indicate that 1) single colonies such as the Camargue can be managed successfully enough to serve as a source population that can fuel expansion into an entire region, 2) movements and reproductive success of birds in the Camargue colony extend to the entire western Mediterranean region, 3) feeding areas of individual colonies may be up to 180 km from colonies, and 4) long term studies (50 yr) have revealed that mortality is extremely episodic and unpredictable; only long-term studies therefore seem capable of accurate estimation of demographics for this long-lived species.",Colonial Waterbirds,,,,,,,
1463,"Johnson, Steig E. and Ingraldi, Christina and Ralainasolo, Fidimalala B. and Andriamaharoa, Hubert E. and Ludovic, Reza and Birkinshaw, Christopher R. and Wright, Patricia C. and Ratsimbazafy, Jonah H.","Gray-headed Lemur (Eulemur cinereiceps) abundance and forest structure dynamics at Manombo, Madagascar","Madagascar's ecosystems are subject to high levels of anthropogenic disturbance and stochastic events, including cyclones. We investigated the abundance of gray-headed lemurs (Eulemur cinereiceps) and vegetation structure in the fragmented forest of Manombo from 1995 to 2007, including 10 yr following Cyclone Gretelle in January 1997. We predicted that the density of this arboreal, frugivorous lemur would be similar in the pre- and post-cyclone intervals only if tree measures demonstrate trends toward recovery in the post-cyclone period. Initial impacts included severe damage to over 60 percent of trees. After 10 yr, all vegetation metrics except for stem density remained low relative to the pre-cyclone period, including dbh, height, and basal area. To investigate vegetation changes separately from cyclone effects, we compared forest structure in the pre-cyclone period alone. Basal area declined but dbh and stem density did not vary between 1995 and 1997; thus, anthropogenic activities or other factors did not consistently alter forest structure in this 2-yr period. Subsequent changes may be linked to cyclone response, presumably in synergy with human disturbance. Contrary to predictions, recent gray-headed lemur population densities were nearly identical to those recorded in 1995 (13.5 +/- 3.2 vs. 13.6 +/- 6.4 individuals/km2, respectively). Lemur populations may have remained stable or declined initially and then recovered in the last 10 yr. Life history and ecological adaptations may explain their resistance or resilience when faced with habitat change. Recent models suggest that lemurs have evolved in response to unpredictable environmental conditions. Such environmental variability may increase with projected climate change.",Biotropica,,,,,,,
1464,"Park, Hluhluwe-imfolozi and Africa, South and Jolles, Anna E",Population biology of African buffalo ( Syncerus caffer ) at,,,,,,,,,
1465,"Jones, Trevor and Smith, Claire and Williams, Elizabeth and Ramsay, Andrew","The Arctic Skua colony on Handa Island is in decline, probably due to pressure from Great Skuas.","Capsule The Arctic Skua colony on Handa Island is in decline, probably due to pressure from Great Skuas. Aims To assess the factors affecting Great Skua productivity, and the effects of Great Skuas on breeding Arctic Skuas. Methods From 2003 to 2006 population and breeding performance of Great Skuas and Arctic Skuas on Handa Island were intensively monitored, using all-island surveys and regular visits to focal territories from laying through to the post-fledging period. All study chicks were ringed for long-term study. Interspecific interactions were observed and 5116 regurgitated pellets of breeding and non-breeding Great Skuas were collected systematically for dietary analysis. Results Over the study period, numbers of breeding Great Skuas remained steady but there was an overall decline in productivity, with chick loss the most significant proximate factor. However the four-year average of 0.49 chicks fledged per pair was relatively high, with Handa being the most productive monitored colony in Britain in 2004. Great Skuas on Honda have a diverse diet of at least 30 species, including discarded fish and other seabirds. Among the Arctic Skuas, mean productivity was high but so was predation pressure on fledglings from Great Skuas, and population size has halved in four years. Conclusions Honda is a productive Great Skua colony in the context of recent breeding failures in the Northern Isles. A substantial part of their diet is other seabirds and their impact on globally important populations requires further monitoring and analysis.",Bird Study,,,,,,,
1466,,Bcfishes1998.Pdf,,,,,,,,,
1467,"Jorge, Malu S P and Peres, Carlos a.",Population density and home range size of red-rumped agoutis (Dasyprocta leporina) within and outside a natural Brazil Nut Stand in southeastern Amazonia,"This study examined whether the population density and home range size of red-rumped agoutis were affected by the spatial distribution of Brazil nut trees, at the Pinkaiti Research Station, in eastern Amazonia. Agouti densities in a Brazil nut grove were two-fold higher and home ranges were half the size than those outside it. This indicates that the large supply of Brazil nuts results in higher densities and smaller home ranges of agoutis in this seasonally dry Amazonian forest.",Biotropica,,,,,,,
1468,"Jorgensen, Joel G and Mccarty, John P and Wolfenbarger, L Lareesa","Landscape and habitat variables affecting Buff-breasted Sandpiper Tryngites subruficollis distribution during migratory stopover in the Rainwater Basin , Nebraska , USA",,Wader Study Group Bulletin,,,,,,,
1469,,"YUKON RIVER SALMON 2006 SEASON SUMMARY AND 2007 SEASON OUTLOOK Prepared by THE UNITED STATES AND CANADA May 2007 Regional Information Report No . 3A07-01 Alaska Department of Fish and Game 333 Raspberry Road Anchorage , AK 99518 , USA Symbols and Abbreviations The following symbols and abbreviations , and others approved for the Syst\`{e}me International d ' Unit\'{e}s ( SI ), are used without definition in the following reports by the Divisions of Sport Fish and of Commercial Fisheries : Fishery Manuscripts , Fishery Data Series Reports , Fishery Management Reports , Special Publications and the Division of Commercial Fisheries Regional Reports . All others , including deviations from definitions listed below , are noted in the text at first mention , as well as in the titles or footnotes of tables , and in figure or figure captions .",,,,,,,,,
1470,,"YUKON RIVER SALMON 2008 SEASON SUMMARY AND 2009 SEASON OUTLOOK Prepared by THE UNITED STATES AND CANADA March 2009 Regional Information Report No . 3A09-01 Alaska Department of Fish and Game 333 Raspberry Road Anchorage , AK 99518 , USA Symbols and Abbreviations The following symbols and abbreviations , and others approved for the Syst\`{e}me International d ' Unit\'{e}s ( SI ), are used without definition in the following reports by the Divisions of Sport Fish and of Commercial Fisheries : Fishery Manuscripts , Fishery Data Series Reports , Fishery Management Reports , Special Publications and the Division of Commercial Fisheries Regional Reports . All others , including deviations from definitions listed below , are noted in the text at first mention , as well as in the titles or footnotes of tables , and in figure or figure captions .",,,,,,,,,
