,Abstract,Journal,Title
269,remaining patches of semi natural grasslands are hot spots for biodiversity in modern agricultural landscapes in sweden semi natural pastures cover approximately ha however power line corridors road verges and clear cuts cover larger areas in total about ha and these open less intensively managed habitats are potentially important for species associated with taller vegetation and flower resources e g pollinating insects the aim of the present study was to evaluate the relative importance of semi natural pastures and the other three open habitats for butterflies in forest farmland mosaic landscapes in south central sweden species composition differed significantly between habitats in multivariate analyses power line corridors and semi natural pastures harbored several species that were disproportionally abundant in these habitats and species respectively and power line corridors also harbored several species that were classified as typical in indicator species analyses there were more butterfly species higher abundances and a tendency for more individuals of red listed species in power line corridors than in the other three habitats effects of the surrounding landscape composition seemed to be weaker than that of the local habitat however species composition was significantly associated with landscape composition and species with intermediate and low mobility were more abundant in forested landscapes than in landscapes dominated by arable fields analyses of flying time and host plants for larvae suggest that early flying species and species associated with dwarf shrubs were more common in power line corridors than in the other habitats a landscape perspective which takes several habitats into account is needed for conservation of butterfly communities in forest farmland landscapes power line corridors and road verges offer possibilities for creating habitats that are suitable for pollinating insects through conservation oriented management,Biological Conservation,butterfly distribution and abundance is affected by variation in the swedish forest farmland landscape
270,the herbaceous understory forms the richest stratum in temperate broadleaved forests in terms of plant diversity understanding the process of understory succession is thus of critical importance for the devel opment of management guidelines for biodiversity restoration in post agricultural plantation forests we studied effects of stand age forest fragmentation and soil and canopy conditions on species rich ness and abundance of four species groups in the understory of post arable oak plantations in southern sweden herbaceous forest specialists habitat generalists and open land species and woody species the group of forest specialists may approach the richness of continuously forested sites after  years in non fragmented plantations but many forest species were sensitive to habitat fragmentation open land species richness decreased during succession while the richness of woody species and of gen eralists remained stable and was not affected by fragmentation abundance of generalists gradually decreased in non fragmented plantations probably due to competition from colonizing forest specialists soil ph in post arable stands remained consistently higher than in continuously forested stands which maintained differences in species composition the development of a shrub layer seemed to imply a com petitive advantage for forest specialists compared to generalist species for successful recovery of a rich understory we suggest that post arable plantations should be estab lished on loamy soils of intermediate to high ph proximate to older forest with source populations and that a continuous overstory canopy cover of  is maintained by regular light thinnings and promo tion of a shrub layer,Forest Ecology & Management,understory succession in post agricultural oak forests habitat fragmentation affects forest specialists and generalists differently
271,agriculture intensification has drastically altered farmland mosaics while semi natural grasslands have been considerably reduced and fragmented bird declines in northern temperate latitudes are attributed to habitat loss and degradation in farmed landscapes conversely landscape modification effects on grassland farmland bird communities are less studied in the south american temperate grasslands weinvestigated how bird communities were influenced by landscape characteristics in the rolling pampa argentina we sampled bird communities in landscapes of km radius that varied in cover and configuration of pastureland flooding grassland and cropland using generalized linear models we explored the relationship between both bird species richness and abundance and landscape structure analyses were carried out for all species and open habitat grassland and aquatic species pasture area was far the most important factor followed by landscape composition in predicting species richness and abundance irrespective of specific habitat preferences followed by partially flooded grassland cover and its mean shape index grassland frag mentation did not affect species richness or abundance when comparing the effects of landscape variables on bird richness and abundance using mean model coefficients pasture and grassland area effects were on average more than four times greater than those of compositional heterogeneity and about ten times greater than shape effects to conserve species rich bird communities persisting in rolling pampa farmland we recommend the preservation of pasture and grassland habitats irrespective of their fragmentation level in intensively managed farmland mosaics,Biodiversity and Conservation,pasture area and landscape heterogeneity are key determinants of bird diversity in intensively managed farmland
272,species richness abundance and composition of epigeous macro fungi were monitored at grids across four jarrah eucalyptus marginata forest ecosystems in south west western australia as part of an integrated monitoring project to examine responses to different timber harvesting and regeneration treatments forest that had never been harvested or had not been harvested for over years was used as a reference and compared to forest that had undergone shelterwood selective cutting and gap release treatment after silvicultural treatment also included post harvest burning all epigeous species of macrofungi and their abundance were recorded from autumn surveys at each grid a total of species were recorded overall mean species richness and abundance was similar but the composition of species assemblages contributing to macrofungal communities differed significantly between silvicultural treatments and reference forest sixty nine species were restricted to reference forest while were restricted to shelterwood selective cut and to gap release treatment in all treatments the overall mean number of species per grid recorded fruiting on soil was  times higher than that recorded on litter or wood species richness of sporophores recorded on both soil and litter was similar for all treatments but was significantly lower on wood in reference forest compared to the gap release treatment mean sporophore abundance was significantly higher on litter and lower on wood in reference forest compared with silviculturally treated forest because fire is an integral part of jarrah forest silviculture it was not possible to separate the singular effect that either tree removal or fire had on macrofungal communities however in different time since treatment classes the overall composition of species assemblages was different but species richness and abundance for each silvicultural treatment were similar each forest ecosystem supported its own unique fungal community which supports the concept of ecosystems in jarrah forest based on forest structure and understory vegetation resulting from variation in climate soils and landforms current conservation policy and silviculture practice in jarrah forest produces a landscape mosaic containing early succession stands through to mature forest across the landscape which is important for the maintenance of fungal biodiversity much of the fungal population in jarrah forest however remains unknown and only a long term commitment to survey and monitoring will improve knowledge on the diversity and ecology of these important organisms and ensure their consideration in future management decisions,Australian Forestry,forestcheck the response of epigeous macrofungi to silviculture in jarrah eucalyptus marginata forest
273,higher diptera schizophora are taxonomically and ecologically diverse and include bog specialist and bog associated species known to respond to peatland disturbance we examined the effects of three factors habitat size vegetation cover and surrounding land use measured in concentric circles of and m radii from the sampling location on schizophora species richness diversity and composition in six temper ate eastern nearctic bogs a total of species of schizophora were collected with observed species richness among sites ranging from to assemblages in apparently similar peatlands were highly variable but characterized by a few highly dominant species most of which are not peatland specialists bog size had no influence on species richness or diversity vegetation cover at the sampling sites and surrounding land use at the largest scales measured and m both influenced species assemblages,Wetlands,effects of habitat size vegetation cover and surrounding land use on diptera diversity in temperate nearctic bogs
274,studies of the effects of timber harvest on forest insect communities have rarely considered how disturbance from a range of harvest levels interacts with temporal variation in species diversity to affect community resistance to change here i report the results of a landscape scale before and after treatmentcontrol experiment designed to test how communities of forest lepidoptera experience changes in species richness and composition and shifts in species dominance one year after logging i sampled lepidoptera from forest stands allocated to three harvest treatments control even aged shelterwood or clearcuts and uneven aged group selection cuts within three watersheds at morgan monroe state forest indiana usa moths were sampled from all forest stands one year prior to harvest in and immediately post harvest in species composition was most significantly affected by temporal variation between years although uneven aged management also caused significant changes in lepidopteran community structure furthermore species richness of lepidoptera was higher in compared to across all watersheds and forest stands the decrease in species richness between years however was much larger in even aged and uneven aged management units compared to the control furthermore matrix stands within the even aged management unit demonstrated the highest resistance to species loss within any management unit species dominance was highly resistant to effects of timber harvest with pre and post harvest values for simpson diversity nearly invariant counter to prediction however the suite of dominant taxa differed dramatically among the three management units post harvest my results suggest that temporal variation may have strong interactions with timber harvest precipitating loss of nearly species richness from managed stands regardless of harvest level even aged management however appeared to leave the smallest footprint on moth communities timber harvest also created greater heterogeneity in species dominance among management units suggesting that forest watersheds may diverge in post harvest recovery transients relative to unlogged watersheds in morgan monroe state forest because moth communities appear to be highly sensitive to group selection cuts shelterwood cuts and clearcuts it will be important to retain unlogged concessions within management units to resist landscape level loss of lepidoptera,Ecological Applications,managing the forest for more than the trees effects of experimental timber harvest on forest lepidoptera
275,to determine the influence of the forest type on bats in terms of roosting sites and foraging habitats we compared species richness and abundance total and by species of forest dwelling bats in old growth forests and conifer larch plantations in central japan we also compared species richness and abundance of the bats in riparian and non riparian habitats and compared the old growth forest stands with the larch plantation stands to examine differences in the forest stand structures species richness total bat abundance and the abundances of two tree roosting specialists the ikonnikovis myotis myotis ikonnikovi and the ussurian tube nosed bat murina ussuriensis were significantly higher in the old growth forests than in the conifer plantations the old growth forests contained larger trees and more snag trees which provided roosting sites for tree roosting species species richness total bat abundance and abundances of the two tree roosting specialists and the japanese large footed bat my macrodactylus were also significantly higher in the riparian habitats than in the non riparian habitats the riparian old growth forest appears to be an important habitat for forest dwelling bats our results suggest that a shift from old growth forests to conifer plantations has negative effects on forest dwelling bats particularly tree roosting specialists,Mammal Study,comparative study of forest dwelling bats abundances and species richness between old growth forests and conifer plantations in nikko national park central japan
276,despite high deforestation rates in dry forests there are few assessments of the impacts of this transformation on biodiversity this study addresses the impact of clearing on plant species composition and diversity in mulga acacia aneura forests of queensland australia using data collected from either side of clearing boundaries incorporating data on site and management conditions the physical and climatic conditions of the study sites were narrowly constrained but had greater influence on plant composition and richness than clearing per se in general the abundance of perennial forbs and shrubs was higher in cleared forest compared with adjacent intact forest and there was no significant difference in abundance of other plant life forms perennial forb richness diminished with the age of clearings particularly where acid sub soils had been exposed and shrubs proliferated where deforestation in the mulga dry forests is not accompanied by the establishment of exotic pasture it has a relatively benign effect on plant diversity mulga itself remains in high density as small trees and the integrity of the forest could be maintained with restoration,Austral Ecology,the effect of clearing on plant composition in mulga acacia aneura dry forest australia
277,very old trees harbour a diverse fauna of saproxylic insects many of which are classified as threatened due to the scarcity of this kind of habitat parks which often contain many old trees are therefore considered to be important sites for this fauna however parks are intensively managed and dead wood is often removed therefore this study compares if the saproxylic beetle fauna in parks is as diverse as it is in more natural stands eight park sites at manor houses around lake ma¨laren sweden were compared with trees in wooded meadows eight grazed sites here termed open and sites regrown with younger trees termed re grown the comparison was made on lime trees tilia spp one of the most frequent tree species in old parks which host a diverse beetle fauna beetles were sampled with window traps which in total caught saproxylic beetles belonging to species of which were red listed when comparing all saproxylic species park sites had significantly fewer species than open sites however for beetles in hollow trees and for red listed species there was no significant difference the number in park being intermediate between open and re grown species composition differed between sites but only marginally so therefore the conclusion is that old park trees on average are as valuable for faunal diversity as trees in more natural sites large conservation benefits can be obtained by combining cultural and conservational values in the management of park habitats,Biodiversity and Conservation,old park trees as habitat for saproxylic beetle species
278, agricultural intensification is a major cause of biodiversity loss in european farmlands grasslands are particularly important habitats for the conservation of rich insect assemblages of central and eastern europe although regular grazing or mowing of these grasslands is required to maintain diversity there is no information about how such management and other factors influence hemiptera assemblages  we studied leafhopper and true bug assemblages in semi natural grasslands in three regions of the great hungarian plain we investigated how local vegetation factors and landscape complexity influence assemblages and whether they interact with management effects  seven pairs of intensively cow ha versus extensively ∼ cow ha grazed pastures were sampled in each region by sweep netting  sward height was the most important explanatory factor for leafhoppers species individuals as it increased both species number and abundance and influenced assemblage composition the extent of grassland surrounding the sample sites negatively affected leafhoppers whereas extensive grazing decreased abundance and influenced composition true bug assemblages species individuals were positively affected only by mean sward height whereas regional differences determined the community composition of both taxa  we conclude that vegetation structure is the primary factor shaping hemiptera communities and that the various types of grasslands studied are all important habitats for the taxon therefore cattle grazing in its current form is beneficial for the rich hemiptera fauna in lowland pastures of hungary however in some cases local and landscape factors and great regional differences may confound the effects of grazing and this must be considered in conservation planning in the future,Insect Conservation and Diversity,effects of grazing vegetation structure and landscape complexity on grassland leafhoppers hemiptera auchenorrhyncha and true bugs hemiptera heteroptera in hungary
279,forest plantations are an increasingly important source of industrial wood around the world and the design and management of plantations can greatly influence the relationship with wildlife the aim of this study was to examine the effects of conversion of native open vegetation to conifer plantations on mammalian carnivore assemblages in nw patagonia argentina we conducted camera trap surveys at sites and assessed composition of carnivore assemblages and habitat use in conifer plantations and native vegetation we also evaluated habitat characteristics at stand and landscape scales related to presence of carnivores four species of carnivores were detected lycalopex culpaeus conepatus chinga puma concolor and leopardus geoffroyi l culpaeus and c chinga used continuous native vegetation most frequently but also used dense conifer plantations and tended to be more abundant in firebreaks and sparse plantations than in dense plantations l geoffroyi was almost fully restricted to continuous native vegetation but was also detected in firebreaks and native vegetation remnants between plantations this species was never detected in plantations p concolor was detected in all habitat types and did not exhibit any preference the presence of carnivores was associated with understory diversity tree density and prey availability at the stand scale and with amount of area with native vegetation at the landscape scale our results suggest that management decisions at the stand and landscape scales can influence habitat quality for wildlife in the region,Forest Ecology & Management,habitat use by carnivores at different spatial scales in a plantation forest landscape in patagonia argentina
280,conversion of natural forests to other land use results not only in a decrease of forest area but also in the degradation of remnant forests as a habitat for forest ani mals although such degradation due to an increase of forest edges has been studied most intensively other fac tors such as forest shape may also contribute to the deg radation in this study we compared bird abundance and species richness between irregular shaped and relatively continuous forests in the breeding and migratory seasons since the forests were surrounded by tree plantations rather than open lands the edge effect may have been weak at the study site our results suggested that the irregular forest shape negatively affected forest bird abundance and spe cies richness in the breeding season but not in the migratory season the response of birds varied with bird traits migrants avoided the irregular shaped forest but residents did not among the residents small ones pre ferred or tolerate the irregular shaped forest whereas large ones avoided it this study indicates that careful consid eration of various factors such as seasonality and bird traits is needed to understand the consequences of land use changes on forest birds,Journal of Forest Research,effect of forest shape on habitat selection of birds in a plantation dominant landscape across seasons comparison between continuous and strip forests
281,habitat degradation in the chaco has been intense and widespread since european settlement detailed knowledge about its effects on the chaco fauna is scarce despite the critical importance of such infor mation for biodiversity conservation the effects of habitat degradation on the arid chaco lizard assemblage were evaluated by comparing species richness and abundance in four sites along a gradient of increasing vegetation degradation two undisturbed sites primary forest and grassland and two sites with different degrees of forest degradation moderate and severe were selected ten lizard species were recorded nine were trapped and one was sighted totaling captures abundance of homonota fasciata leiosaurus paronae liolaemus chacoensis and stenocercus doellojuradoi was highest in the primary forest with significantly lower values in the remaining three sites teius teyou and tropidurus etheridgei were more abundant in the moderately and severely degraded forests than in the primary forest management implications of our results in terms of lizard biodiversity in the chaco are analyzed,Journal of Arid Environments,effects of habitat degradation on the lizard assemblage in the arid chaco central argentina
282,effective conservation planning requires an understanding of specieshabitat relationships across a diverse array of taxa yet many studies typically focus on conspicuous fauna using systematic acoustic surveys we examine the response of insectivorous bat species to urbanization and quantify specieshab itat relationships to classify species in terms of their tolerance or sensitivity surveys were conducted in sydney australia during springsummer of in defined km landscapes across various land uses we quantified bathabitat relationships using local and landscape scale variables we recorded taxa across the urban gradient with substantial variation in the tolerance and sensitivity of each spe cies the density of houses landscape geology the amount of bushland ha exclusively on fertile geolo gies and moth biomass were the most frequent predictors of individual activity explaining more than of variation in activity for some species importantly the area of bushland on poorer soils was not a good predictor highlighting the need for caution when interpreting results of large scale studies which do not account for variations in habitat productivity species specific differences existed although the majority of the assemblage was considered to be urban sensitive many of these sensitive species were most active in fertile suburban habitats with an average of  bushland cover within km our study demonstrates the necessity to elucidate species specific habitat relationships and suggests bats would benefit from the conservation of productive suburban bushland remnants and riparian habitats while improving connectivity to these areas via the maintenance of tree cover across the matrix,Biological Conservation,sensitivity of insectivorous bats to urbanization implications for suburban conservation planning
283,indigenous forest reserves represent approximately one fifth of brazilian amazonia and pose enormous challenges for sustainable natural resource management by native amazonians in collaboration with the kayapo´ indians of aukre of southeastern amazonia we obtained a game harvest profile of over forest vertebrates consumed at this village over a month period including mammals forest tortoises and birds from a minimum of game species this amounted to a total of kg of game animals harvested over the entire study mean kg d we also obtained some km of line transect census data of midsized to large bodied vertebrates within the core hunting catchment of this village and in an unhunted but otherwise comparable site upriver of aukre population density estimates of of the species censused were significantly depressed by hunting by central place foragers within the village catchment and a number of harvest sensitive prey species showed clear evidence of local depletion for the time being however we can conclude that hunting was sustainable at the landscape scale largely because source sink dynamics in the context of low village catchment density is made possible by large surrounding tracts of primary forest that remain unharvested or underharvested,Biodiversity and Conservation,impact of game hunting by the kayapo of south eastern amazonia implications for wildlife conservation in tropical forest indigenous reserves
284,bushmeat hunting constitutes the most immediate threat to wildlife populations in the udzungwa mountains of the eastern afromontane biodiversity hotspot this study assesses the impact of hunting by comparing densities of mammalian species between the little hunted west kilombero scarp forest reserve wksfr the medium hunted udzungwa scarp forest reserve usfr and the intensively hunted new dabaga ulongambi forest reserve ndufr of the species recorded were present in wksfr in usfr and in ndufr most large species kg were absent from hunted areas while medium sized species were reduced more than smaller species few traces of abbotts duiker were observed in hunted areas and bush pig were reduced by more than in hunted areas hunting appears to have had little effect on relative abundance of primates blue duiker harveys duiker aardvark eastern tree hyrax and giant pouched rat in usfr at least for those areas surveyed in ndufr relative abundance of most mammals are reduced compared to the less hunted reserves the exception is the red colobus which were no less abundant than usfr however in ndufr transects were placed in the best quality habitat for these habitat sensitive monkeys thus emphasising the additional role of habitat degradation the effect of hunting appears to be proportional to the size of the species and the intensity of hunting although effects of life history strategy forest fragment size isolation and previous logging cannot be excluded reduction of hunting levels are paramount to the survival of large bodied species in usfr and for the continued presence of most species in ndufr this study furthermore constitutes an important baseline for monitoring the effect of current efforts to implement joint forest management in the udzungwa mountains,Tropical Conservation Science,relative densities of mammals in response to different levels of bushmeat hunting in the udzungwa mountains tanzania
285,with the rapid conversion of tropical forests in asia to plantation forests for timber or biofuel production there is a need to determine if these forests serve any viable role in wildlife conservation we used infrared trip cameras to survey for large terrestrial mammals within an acacia secondary forest matrix being created for pulpwood production in sarawak malaysia we detected at least species of mammals within the matrix and species were detected in both acacia and secondary forest using occupancy modeling to determine important covariates for seven mammal species within the project area six of these species were sensitive to forest type and most were sensitive to the amount of secondary forest within km of the sample point for four species sun bear helarctos melayanus common porcupine hystrix brachyura mousedeer tragulus spp and pig tailed macaque macaca nemestrina the mean distance of detection from large secondary forest blocks was significantly closer than expected from the distribution of sample points most species used acacia forest less frequently than secondary forest possibly for transit or foraging with the exception of bearded pigs sus barbatus sambar rucervus unicolor and civets which were more common in acacia stands the amount of secondary forest preserved within forest plantations seems to be the best measure of conservation potential for these industrial forests forest plantations can provide a conservation value if managed properly and those retaining significant amounts of secondary forest should be eligible for a base level of certification as they comprise a significant portion of the landscape in this region,Biological Conservation,the importance of secondary forest blocks for terrestrial mammals within an acacia secondary forest matrix in sarawak malaysia
286,the alarming rate of deforestation in madagascar is driving some endemic primates to extinction surprisingly anthropogenic habitat disturbance is not always deleterious the effect of disturbance on lemur abundance may be related to diet with frugivorous species more prone to population declines than folivores or insectivores to test the effects of disturbance on lemur abundance and group size we surveyed sites within contiguous forest at ranomafana national park lightly disturbed primary forest vato and heavily logged forest tala we quantified forest structure variables along survey routes and conducted diurnal and nocturnal lemur surveys canopy closure canopy height and understory visibility were greater in vato than in tala we encountered frugivorous lemurs eulemur rufifrons varecia variegata and folivore avahi peyrierasi significantly more frequently in vato than in tala whereas the opposite was true for the insectivorous microcebus rufus rates did not differ statistically for frugivore eulemur rubriventer and folivores propithecus edwardsi hapalemur griseus comparisons across the survey routes suggest that the abundance was heterogeneous within as well as between sites neither group size nor composition differed between sites encounter rates for varecia variegata were positively related to canopy closure and encounter rates for avahi peyrierasi were positively related to canopy height encounter rates for microcebus rufus were negatively related to canopy closure height and understory visibility similar to other studies the results suggest that some lemurs including folivores may cope with anthropogenic disturbance better than others including some frugivores lemur abundance is heterogeneous though even on small spatial scales,International Journal of Primatology,the effects of habitat disturbance on lemurs at ranomafana national park madagascar
287,the sri lankan leopard panthera pardus kotiya is an endangered sub species and data on its status distribution and abundance in the island s central hills is lacking a main objective of this long term study is to determine these fundamental aspects of leopard ecology in this highly fragmented wet zone region here we report results from presence absence surveys camera trap surveys initiated to estimate leopard abundance and trail index surveys comparing relative abundance between two contrasting highland sites the first a mid elevation secondary wet zone forest adjacent to a large town pop and the other a mix of regeneratingsecondary and primary montane forest adjacent to a large  km protected area results indicate that leopards inhabit a wide variety of landscapes in the region ranging from large intact forest swaths to small km isolated patches of heavily impacted secondaryforest long term minimum years use of small patches by individually identified leopards and repeated cub rearing confirms residency highlighting the importance of these seemingly marginal lands leopard abundance differs markedly between hill country sites with a higher relative abundance in areas adjacent to large intact forests than more isolated forest patches leopards are using a range of landscapes within the region including established and regenerating forests  plantation lands e g pinus eucalyptus tea and areas in close proximity to human settlement,Cat News,status and distribution of the leopard in the central hills of sri lanka
288,grazing by domestic livestock is one of the most widespread uses of the rangelands of australia there is limited information on the effects of grazing by domestic livestock on the vertebrate fauna of australia and the establishment of a long term grazing experiment in north eastern queensland at wambiana provided an opportunity to attempt an examination of the changes in vertebrate fauna as a consequence of themanipulation of stocking rates the aim was to identify what the relative effects of vegetation type stocking rate and other landscape scale environmental factors were on the patterns recorded sixteen ha siteswere establishedwithin three replicated treatments moderate heavy and variable stocking rates the sites were sampled in the wet and dry seasons in  t and again in  t all paddocks of the treatments were burnt in average annual rainfall declined markedly between the two sampling periods which made interpretation of the data difficult a total of species of vertebrate fauna comprising five amphibian bird reptile and mammal species were recorded there was strong separation in faunal composition from t to t although changes in mean compositional dissimilarity between the grazing stocking rate treatments were less well defined therewas a relative change in abundance of bird fourmammal and five reptile species from t to t the generalised linear modelling identified that in the t data there was significant variation in the abundance of species explained by the grazing and vegetation factors this study demonstrated that vertebrate fauna assemblage did change and that these changes were attributable to the interplay between the stocking rates the vegetation types on the sites surveyed the burning of the experimental paddocks and the decrease in rainfall over the course of the two surveys it is recommended that the experiment is sampled again but that the focus should be on a rapid survey of abundant taxa i e birds and reptiles to allow an increase in the frequency of sampling and replication of the data this would help to articulate more clearly the trajectory of vertebrate change due to the relative effects of stocking rates compared with wider landscape environmental changes given the increasing focus on pastoral development in northern australia any opportunity to incorporate the collection of data on biodiversity into grazing manipulation experiments should be taken for the assessment of the effects of land management on faunal species,The Rangeland Journal,spatial and temporal effects of grazing management and rainfall on the vertebrate fauna of a tropical savanna
289,understanding the response of biodiversity to land use changes is an important challenge for ecologists we assessed the effects of five landscape metrics forest cover number of patches edge density mean inter patch isolation distance and matrix quality and three patch metrics patch size shape and isolation on the number of species and patch occupancy of medium and large sized terrestrial mammals in the fragmented lacandona rain forest mexico we sampled mammal assemblages in forest patches and four control areas within a continuous forest the landscape metrics were measured within a ha buffer and within a ha buffer from the centre of each sampling site a total of species from families was recorded the number of species increased with shape complexity and patch size at the patch scale and with matrix quality within ha landscapes when considering ha landscapes only the number of patches i e forest fragmentation level tended to have a negative influence at the community level different landscape and patch metrics predicted the occurrence of each species within the sites our results indicate that there is a gradient of tolerance to forest cover change from highly sensitive species to those tolerant of or even benefited by forest cover change,Tropical Ecology,landscape and patch attributes impacting medium and large sized terrestrial mammals in a fragmented rain forest
290,the main objective of this study was to analyze the relationship between population densities of the white tailed deer odocoileus virginianus and certain habitat and human characteristics in the tropical dry forest of the tehuacan cuicatlan biosphere reserve tcbr mexico to estimate population density and characterize the habitat we established strip transects x m at four different locations in the tcbr from may to june during the dry season of principal component analyses were used to order the transects using habitat human impact variables and tree species composition estimated average density was deer km ranging from to deer km the variables associated with white tailed deer density were basal area distance to roads distance to the area with largest human population slope aspect and presence of cattle the principal plant species were zapotillo lantana camara chintoborrego vallesia glabra nanche bunchosia biocellata cuachalalate amphipterigyum adstringens and cuajiote amarillo bursera aptera compared to other tropical dry forests estimated white tailed deer densities in the tcbr were lower we discuss the possible effect of these variables on deer density and suggest management actions,Tropical Conservation Science,habitat and human factors associated with white tailed deer density in the tropical dry forest of tehuacan cuicatlan biosphere reserve mexico
291,changes in biodiversity and ecosystem services in terrestrial systems are being driven by the synergistic interactions between the loss of native vegetation and land use intensification disentangling the influence of these two processes on species persistence is an important step towards reconciling conservation and agriculture production we investigated how forest cover and management intensification affect the conservation value of cacao agroforests for mammals in an atlantic forest landscape in southern bahia the most extensive area of diverse shaded cacao plantations in brazil although both factors affected the distribution of mammal species management intensification had a stronger effect negatively affecting a larger number of species frequency of domestic dogs an indirect aspect of management intensification negatively affected four species and lower connectivity of shading trees decreased the use of cacao agroforests by three species of conservation concern in comparison the reduced forest cover negatively affected two species of conservation concern our results suggest that controlling domestic dog populations is particularly valuable for large mammal conservation in agroforestry mosaics since it does not affect crop productivity improving shade cover within agroforests on the other hand should be implemented carefully maintaining acceptable yield while promoting canopy connectivity and the recruitment of tree species used by forest dependent mammals however the importance of both local management intensification and local forest cover are likely to be context dependent and changes in their relative importance are likely to occur with different levels of deforestation at the landscape scale,Biological Conservation,forest loss or management intensification identifying causes of mammal decline in cacao agroforests
292,both local and regional habitat characteristics influence species richness and community structure the scale at which communities are studied however affects the detection of relationships between habitat characteristics and patterns of habitat selection species diversity and species composition and may obscure observation of differences in how species perceive the scale of environmental variation to determine how environmental variation at different scales is related to species occurrence and richness i analyze mist net sampling data on several guilds of forest understory birds bird capture vegetation and physical environment data come from ha study sites in primary and secondary forest in amazonian ecuador the percentages of primary forest within concentric circles around each site form forest imbeddedness measures fims which are evaluated using satellite imagery variation in fim size represents different measurement scales for determining forest cover primary forest cover is also analyzed in successively larger tori surrounding sites and is used after variable reduction with principal components analysis to summarize variation in forest cover around sites linear regression surface trend analysis and ordination help to quantify how variation in guild composition and species richness is explained by forest cover vegetation structure and physical environment species composition is related to variation in primary forest cover primarily within  m of study sites canonical correspondence analysis cca indicates that nectarivores shrub layer frugivores and ant following birds are captured in areas with relatively low primary forest cover in contrast shrub layer insectivores shrub layer omnivores and birds probing dead foliage for large insects tend to be captured in areas of relatively high primary forest cover the species richness of insect gleaners ant followers and omnivores is statistically related to the percent cover of primary forest within hundreds of meters from the study sites this suggests that some mechanisms that influence guild composition act over substantial distances nonetheless the small radii of fims related to the species richness of dead leaf probers suggests that local conditions and variation in forest cover over short m distances directly or indirectly influence species richness of some primary forest birds the significant relationship between temperature variation among capture sites and species richness of ant following birds suggests that these species choose among habitats in a temperature range at which physiological constraints operate either directly on the birds themselves or on the ants they follow species richness within the nectarivores in contrast shows no relationship with large scale variation in primary forest cover the radius of the fim most closely associated with species richness differs among guilds which suggests variation in the scale at which forest cover is associated with guild structure as well as variation in the strength of the association differences in the scale of relationships between environment and species richness among guilds suggest that the mechanisms that influence both species habitat use and community structure differ among guilds a single mechanism operating at a single scale is inconsistent with these patterns independent data from eight additional sites suggest that prediction of species richness from surrounding forest structure could be useful for managing human impacts on tropical avian communities,Ecological Monographs,the scale of community structure habitat variation and avian guilds in tropical forest understory
293,to elucidate effects of fragmentation and degradation of tropical rainforest on negros island philippines on tropical herpetofauna nine tropical rainforest fragments eight limestone and one non limestone ranging in area from five to ha total area ha in south western negros were surveyed using cruising and quadrat sampling methods between december and october a ha limestone plantation forest served as a reference site ten to fifteen of the total species expected in the nine forest fragments taken as a whole had been lost in the previous years these species are known to occur in the tropical rainforest on cuernos de negros and environs in south eastern negros island at altitudes m above sea level the factors responsible for the loss of these species appear to be removal of large trees which decreases canopy cover causing physical changes and forest fragmentation which increases the edge areas however it is not possible to separate the effects of each of these two factors the main factor that was correlated with the number of species in the limestone forest fragments appeared to be area two species of frogs appeared to be represented by relatively moderate population densities the negros cave frog platymantis spelaeus and the common forest frog platymantis dorsalis the burrowing skink brachymeles boulengeri taylori also exhibited a relatively higher density than the other burrowing species of skinks the other herpetofaunal species exhibited low population densities,Environmental Conservation,amphibians and reptiles in tropical rainforest fragments on negros island the philippines
