Abstract,Journal,PMID,Title
the first at sea estimates of density and abundance of the olive ridley turtle lepi dochelys olivacea in the eastern tropical pacific etp were produced from shipboard line transect data multi ship surveys were conducted in and in the area defined by n w and n and the coastline of mexico and central america sighting data of olive ridleys were stratified by survey effort and sighting conditions thereby reducing potential biases from heterogeneous observation conditions dive data from satellite telemetry studies were used to correct for the proportion of turtles that were submerged and unavailable for detection dur ing the surveys a weighted average of the by year estimates to was million coef ficient of variation cv approximate ci to million our findings are consis tent with the dramatic increases of olive ridley nesting populations that have been reported over the past decade for beaches in the etp,Endangered Species Research,,at sea density and abundance estimates of the olive ridley turtle lepidochelys olivacea in the eastern tropical pacific
data are collected annually for selected species of marine birds at breeding colonies on the far flung alaska maritime national wildlife refuge nwr and at other areas in alaska to monitor the condition of the marine ecosystem and to evaluate the conservation status of species under the trust of the u s fish and wildlife service the strategy for colony monitoring includes estimating timing of nesting events rates of reproductive success and population trends of representative species of various foraging guilds e g offshore diving fish feeders diving plankton feeders at geographically dispersed breeding sites this information enables managers to better understand ecosystem processes and respond appropriately to resource issues it also provides a basis for researchers to test hypotheses about ecosystem change the value of the marine bird monitoring program is enhanced by having sufficiently long time series to describe patterns for these long lived species in summer data were gathered on northern fulmars storm petrels cormorants kittiwakes glaucous winged gulls murres pigeon guillemots ancient murrelets auklets and or puffins at eight annual monitoring sites on the alaska maritime nwr in addition data were gathered at other locations which are visited intermittently or were part of a research or monitoring program off refuges,AMNWR report,,breeding status and population trends of seabirds in alaska
recordings from a time lapse video monitoring station on a shallow rocky reef in the strait of georgia british columbia revealed a steep and continuous decline in the occurrence of hexanchus griseus bluntnose sixgill shark between and with relative abundance in and less than of that in the relative abundance of another chondrichthyan hydrolagus colliei spotted ratfish decreased to of levels in and and remained below in there is no compelling explanation for these decrease over the past years water temperatures have increased in the strait of georgia and there have been a number of el nino warm water events but diver observations of h griseus at this site over the same time period give no indication of prior changes in abundance neither species is targeted by it fishery but injuries possibly related to hooking and entanglement observed in of individually identified h griseus suggests this species may be taken locally as bycatch,Canadian Field-Naturalist,,abundance trends for hexanchus griseus bluntnose sixgill shark and hydrolagus colliei spotted ratfish counted at an automated underwater
the tropical rainforest in the south western ghats of kerala state was surveyed in may with the help of trained volunteers and forest department staff to assess the status and distribution of the endangered lion tailed macaque macaca silenus a total of macaques in troops were sighted during the survey it is estimated that the number of lion tailed macaques in kerala is a minimum of but only three areas are identified as having viable populations with long term conservation prospects most sightings of troops were in protected areas the present survey indicates its absence in the ranges reported earlier such as cardamom hills and south wayanad maintenance of existing contiguous patches of evergreen forest and inclusion of suitable management strategies in working plans for non protected areas are suggested,Forest Research,,status and distribution of the endangered lion tailed macaque
an aerial count in february which is the latter part of the dry season noted elephant in kidepo valley counts from the dry season in and were and respectively no elephant carcasses were seen during this last survey but there is no reason to consider that poaching has not been going on here as is it has in other areas however it is likely that a large number of elephant have migrated during the dry season to morongole nyangea and zulia forest reserves and will return to the park during the wet season,Oryx,,wildlife count in a uganda national park
during and we examined status of populations of the american crocodile crocodylus acutus in three rivers at el cajon reservoir in central honduras number of crocodiles per kilometer of survery varied by river and time of study most observations were of hatchlings and yearlings but juveniles subadults and adults also were observed sex ratio in the reservoir was male female assuming that sex ratio and size class structure were representative of the overall population our study suggests that the population in el cajon reservoir is stable,The Southwestern Naturalist,,population status of the american crocodile crocodylus acutus in el cajon reservoir honduras
the concentration of over ungulates inside ngorongoro crater on a km patch of the african plains was a major reason for designating the ngorongoro conservation area as a world heritage site in as one of east africa s premier tourist attractions it is also a major source of foreign exchange for tanzania this paper reports the decline of populations of wildebeest thomson s and grant s gazelles since the mid s and the rise to dominance of the buffalo the results of research carried out from to on the crater ungulates and discusses natural and anthropogenic factors that may be linked to the population changes samples comparing young adult female ratios in ngorongoro and serengeti populations indicated higher survival rates of crater wildebeest and zebra young and lower survival rates of thomson s gazelle the possibility that predation by lions and spotted hyenas was responsible for reductions in the ungulate populations is belied by corresponding declines in the number of predators further research in the ngorongoro conservation area is urgently needed to increase understanding of this complex ecosystem and promote effective stewardship not only of ngorongoro crater but of the serengeti ecosystem of which the nca is an integral part comprising an international biosphere reserve our recommendations include establishment of a scientific advisory board and a research center that would attract and accommodate tanzanian and foreign scientists,Biological Conservation,,downward trends in ngorongoro crater ungulate populations conservation concerns and the need for ecological research
samples of plectropomus leopardus collected at two reefs glow and yankee that have been closed to fishing since were compared with samples collected at two reefs grub and hopkinson that were open to fishing to investigate the effects of a year closure on the size age and sex structure of leopard coralgrouper also known as coral trout populations there were no significant differences in mean size and age between protected reefs and unprotected reefs however mean size and age varied significantly between the two protected and the two unprotected reefs in the two reefs closed to fishing the population structure was dominated by the presence of a strong year class which settled in early indicating the occurrence of strong interannual fluctuations in recruitment a similar pattern was not observed on the reefs open to fishing suggesting that fishing mortality may have caused the decrease in abundance of this strong year class on the open reefs sex change occurred over a wide range of sizes and ages on the four reefs a comparison of the frequency of developmental stages between reefs indicated significant variation the two unprotected reefs had a smaller proportion of males but that seemed to be compensated for by a larger proportion of transitional stage fish and young males although the distribution of developmental stages in the populations was different the same final female male balance was achieved this suggests that for the leopard coralgrouper sex change results from a combination of developmental and behavioral processes differences in age structure were more obvious than differences in the size structure between closed and open reefs suggesting that age structure may be far more useful than size structure for comparisons of fishing effects on long lived fishes such as epinephelinae serranids comparisons of open and closed reefs based solely on mean sizes may fail to detect important differences,Fishery Bulletin,,population structure of the leopard coral grouper plectropomus leopardus on fished and unfished reefs off townsville central great barrier reef australia
the reproductive period of cheirodon interruptus was determined by analyzing individuals collected monthly in the stream el portugues argentina from may to april two prolonged spawning seasons one in spring and another in autumn were observed based on the maturity stages and gonadosomatic index gsi of female specimens the mean monthly gsi of males was significantly correlated with depth in females the gsi exhibited a significant correlation with photoperiod and depth the remaining environmental variables including temperature ph conductivity and monthly rainfall did not show a correlation with the mean monthly gsi the first sexual maturity in females and males was reached within the mm standard length class the mean absolute fecundity was oocytes sd and the mean relative fecundity was sd oocytes per milligram of body weight this species is a multiple spawner the oocyte diameter ranged from to mm with a mean of mm sd,Latin American Journal of Aquatic Research,,reproduction and population dynamics of cheirodon interruptus ostariophysi characidae in el portugués a stream in the upper watershed of the samborombon river argentina
the largest aggregation of the highly endangered mediterranean monk seals monachus monachus is located on the cap blanc peninsula on the coast of the western sahara photographic identification of individuals was used in a capture recapture analysis to estimate the abundance and composition of the colony during to results of the application of these techniques to mediterranean monk seals were satisfactory and allowed independent annual population estimates no significant trends in abundance over the period to were detected and the mean estimate for the period was seals cv ci to environmental changes affecting suitability of habitat particularly food availability are suggested as major factors for limited population recovery during this period in spring a mass mortality event reduced the population size to individuals cv ci to mortality was age specific and resulted in a severe change in the stage composition of the population adults were the most affected and therefore the proportion of juveniles increased from an initial before the event to about after as a result of both the decrease in seal numbers and the change in population composition the number of individuals potentially contributing to reproduction fell to about or fewer this number may not be enough to maintain genetic variability and overcome the effect of demographic stochasticity the demographic changes caused by the die off are expected to have both positive and negative effects on the reproductive success of the colony however they are undoubtedly factors which potentially threaten the stability and survival of the colony in the near future,Marine Ecology Progress Series,,status of the mediterranean monk seal monachus monachus in the western sahara and the implications of a mass mortality event
penguins are adapted to live in extreme environments but they can be highly sensitive to climate change which disrupts penguin life history strategies when it alters the weather oceanography and critical habitats for example in the southwest atlantic the distributional range of the ice obligate emperor and ad lie penguins has shifted poleward and contracted while the ice intolerant gentoo and chinstrap penguins have expanded their range southward in the southern ocean the el ni o southern oscillation and the southern annular mode are the main modes of climate variability that drive changes in the marine ecosystem ultimately affecting penguins the interaction between these modes is complex and changes over time so that penguin responses to climate change are expected to vary accordingly complicating our understanding of their future population processes penguins have long life spans which slow microevolution and which is unlikely to increase their tolerance to rapid warming therefore in order that penguins may continue to exploit their transformed ecological niche and maintain their current distributional ranges they must possess adequate phenotypic plasticity however past species specific adaptations also constrain potential changes in phenology and are unlikely to be adaptive for altered climatic conditions thus the paleoecological record suggests that penguins are more likely to respond by dispersal rather than adaptation ecosystem changes are potentially most important at the borders of current geographic distributions where penguins operate at the limits of their tolerance species with low adaptability particularly the ice obligates may therefore be more affected by their need to disperse in response to climate and may struggle to colonize new habitats while future sea ice contraction around antarctica is likely to continue affecting the ice obligate penguins understanding the responses of the ice intolerant penguins also depends on changes in climate mode periodicities and interactions which to date remain difficult to reproduce in general circulation models,Global Change Biology,,penguin responses to climate change in the southern ocean
pochard aythya ferina wintering in britain originate in the baltic countries and the ussr at least as far east as e numbers of british wintering pochard doubled between and analysis of national wildfowl counts since shows that this dramatic increase continued into the early s the british population peaked as it did in the rest of western europe during the mid s with a stabilisation or a slight decline in numbers since that time the mid winter population increased from in the early s to an estimated peak of within britain there have been considerable increases in numbers wintering on gravel pits and sympathetic management of floodlands has also attracted greater numbers of pochard the most important wintering flock at duddingston loch edinburgh which exceeded in the s has disappeared due to closure of sewage outfalls in the nearby firth of forth such changes in habitat use have resulted in the geographical redistribution of pochard within britain during the last two decades,Biological Conservation,,changes in non breeding distribution and habitat of pochard aythya ferina in britain
a year field study of one group of spotted hyaenas crocuta crocuta in kenya s masai mara national reserve has revealed a form of social system undescribed among carnivores but common among primates male juveniles disperse from the natal group around puberty and join a population of nomadic males wandering widely before settling in a new clan adult males frequently leave their adopted clan after a variable period of residence females remain in their natal group for life thus the clan comprises several matrilines of related females while resident adult males originate outside the group clans in the mara tend to be separated by wide buffer zones where prey is scarce and boundary maintenance behaviours are relatively uncommon transients are subordinate to residents but are tolerated by them in contrast to the more territorial clan system that has been described in ngorongoro crater,Animal Behaviour,,social organization of the spotted hyaena crocuta crocuta i demography
desert tortoises have been a subject of controversy since their listing as threatened in with a wide geographic range and more living individuals than any other listed land animal biologists have needed to detect population trends against a noisy background of strong annual changes we obtained annual population estimates of desert tortoises over consecutive years at a km plot in joshua tree national park california our estimates based on weekly spring surveys varied substantially particularly between wet and dry years concurrently we followed radiotagged animals for years to corroborate the surveys population density was determined separately for each year and for all years combined our best population estimate was an average of adult tortoises three times more than the density reported in a survey of the same site annual mortality was low and the animals showed extreme site fidelity apparent changes in population size were most strongly related to the animals varying susceptibility to capture in dry years home ranges decreased captures decreased and effort required to find each tortoise nearly doubled our data confirm that tortoises are likely to be undercounted during dry years and call into question earlier studies conducted during droughts,Conservation Biology,,factors affecting population assessments of desert tortoises
this study was carried out to fill the gaps that remain under hippocampus reidi biology analysis of variations of sex ratio density breeding season distribution and home range of a population of the endangered brazilian seahorse h reidi from a rocky shore on aracatiba beach ilha grande brazil were carried out aracatiba beach is a tourist environmental protected area suffering antropic pressure a fixed population of h reidi was studied where al lthe individuals were visually tagged and sex reproductive state and location on site were identified from december to november a total of individuals were visually tagged with a mean density of m sex ratios were skewed with more females than males all the males brooded during months and presented smaller home range than the females during the breeding season the highest densities were found on shallowest areas,Brazilian Archives of Biology and Technology,,field studies of a brazilian seahorse population hippocampus reidi ginsburg
in in collaboration with local bedouin fishermen five no take fisheries reserves were established within the nabq natural resource protected area south sinai egyptian red sea the abundance size structure and catch of commercially targeted groupers serranidae emperors lethrinidae and snappers lutjanidae were investigated before the establishment of these reserves then in and again in by these fish had shown a significant increase in mean abundance within two of the no take reserves by each family and three individual species lethrinus obsoletus cephalopholis argus and variola louti had increased in abundance in the reserves there were significant increases in mean individual length of the serranids epinephelus fasciatus and c argus and of the lethrinids l nebulosus and monotaxis grandoculis meanwhile mean recorded catch per unit effort cpue within the adjacent fished areas increased by about two thirds p during the years the establishment of the no take reserves appears to have played a key role in maintaining the sustainability of the fishery the involvement of local bedouin and fishermen in the co management of fisheries resources was critical to the success of this initiative,Marine and Freshwater Research,,effect of a network of no take reserves in increasing catch per unit effort and stocks of exploited reef fish at nabq south sinai egypt
this study documents the detrimental effects of human recreation on the north american wood turtle clemmys insculpta in connecticut we chronicled the dynamics of two allopatric wood turtle populations in a protected southern new england wildlife reserve for yr both wood turtle populations were reproductively isolated from one another physically separated approximate to yr ago when a km long human made pond was constructed we conducted a mark and recapture study on a ha section of a protected watershed in south central connecticut new haven county during this study we monitored different wood turtles observing them a total of times human and wood turtle demographics were recorded throughout this period the data support the following conclusions following a period of apparent stability two populations of wood turtles declined the declines were more or less synchronous in both populations the beginning of each decline corresponded to the opening of the habitat for recreation an increase in mean turtle age suggests a failure of recruitment however a simultaneous reduction in numbers of adult females suggests that the failure of recruitment alone is not sufficient to explain the declines throughout our study the size of the forest remained the same road building was restricted and the quality of the air and water were constant the wood turtle populations remained stable when people were denied access to the property when this area was opened to human recreation hiking fishing the two discrete wood turtle populations declined steadily the total number of turtles in both populations declined by in yr as wilderness areas become mixed use recreation areas wood turtle populations may suffer we conclude that without proper management the increasing recreational use of parks reservoirs and wildlife reserves will adversely affect the long term survival of the north american wood turtle,Ecological Applications,,a yr study documenting the relationship between turtle decline and human recreation
high rainfall associated with el ni o events significantly increases runoff and stream discharge in southern brazil high freshwater discharge changes salinity temperature and water circulation patterns that can affect the fish estuarine assemblage using long term data obtained from standardized surveys we analyzed fish assemblage structure and dynamics in shallow waters of the patos lagoon estuary in southern brazil before during and after the el ni o event overall the relative abundance of all the fish groups in the estuary was about five times lower during the el ni o than before and after freshwater vagrants were the only group with greater abundance during el ni o fish species richness was higher in the estuary during the el ni o event when many freshwater species expanded their ranges into the patos lagoon estuary than before or after the el ni o el ni o induced assemblage changes were not highly persistent and the estuarine fish assemblage returned to its pre el ni o state within months after the el ni o period densities of many marine and estuarine fishes increased to pre el ni o levels within months of the end of the el ni o period we suggested that the rapid recovery of fish estuarine populations after the el ni o may have been caused by one or some combination of a enhanced productivity stimulated by nutrients contained in newly deposited alluvial sediments and b enhanced larvae transport in the large saltwater intrusion that followed the el ni o event clearly fish population dynamics and assemblage structure of the patos lagoon estuary can neither be interpreted nor predicted on a long term basis without explicit consideration of el ni o southern oscillation patterns,"Estuarine, Coastal and Shelf Science",,effects of el ni o on the dynamics of the shallow water fish assemblage of the patos lagoon estuary brazil
canadas eastern arctic nunavut and arctic quebecnunavik n of supports large numbers of seabirds in summer seabird breeding habitat in this region includes steep rocky coasts and low lying coasts backed by lowland sedge meadow tundra the former areas sup port colonial cliff and scree nesting seabirds such as murres and fulmars the latter inland or coastal seabirds such as terns gulls and jaegers the region supports some million breeding seabirds of which the most numerous are thick billed murres uria lomvia black guillemots cepphus grylle northern fulmars fulmarus gla cialis and black legged kittiwakes rissa tridactyla the majority of arctic seabirds breed in a small number of very large colonies birds but there are also substantial numbers of non colonial or small col ony breeding populations that are scattered more widely e g terns guillemots population trends among canadian arctic seabirds over the past few decades have been vari able with no strongly negative trends except for the rare ivory gull pagophila eburnea this contrasts with nearby greenland where several species have shown steep declines although current seabird trends raise only small cause forconcern climateameliorationmay enable increased development activities in the north potentially posing threats to some seabirds on their breeding grounds,Polar Biology,,populations and trends of canadian arctic seabirds
the required freshwater habitats of juvenile atlantic salmon salmo salar are in general well known but vary in quality related to interacting effects of several variables which may depend on different parts of a river system examples are given of ranges of densities and growth that can be found at various sites in eastern canada illustrating the biological and physico chemical factors affecting production of juvenile salmon relative growth rates can indicate habitat quality and population densities salmon parr have negative effects on brook trout in riffle habitats the effects of migrations within the river and of changes with stream succession on juvenile salmon production are illustrated with examples from a newfoundland river migration of age classes can be quantified from self thinning curves lakes have enhancing effects on downstream fluvial habitats and at least in newfoundland and probably in many boreal areas the lacustrine proportion of the basin can be used as an index for deriving estimates of required spawning escapement the factors described should be taken into account for more refined estimates of river production and management of the salmon resource,Ecology of Freshwater Fish,,the effects of fluvial processes and habitat heterogeneity on distribution growth and densities of juvenile atlantic salmon salmo salar with consequences on abundance of the adult fish
the ivory gull pagophila eburnea is a seabird that inhabits arctic oceans throughout the year often in association with polar pack ice it is rare breeding pairs globally and remains one of the most poorly known seabird species in the world canada supports breeding populations of international significance and residents of communities in the canadian high arctic currently observe fewer ivory gulls than they did in the s however no population trend data existed for this species in canada prior to this study we initiated aerial surveys in july and of most known ivory gull colonies in canada to assess current population levels forty two colonies were visited of which were new discoveries we recorded an decline in numbers of nesting ivory gulls several of the largest known colonies were completely extirpated and those that remained supported significantly fewer nesting birds than previously observed results were similar in both years despite some differences in local sea ice conditions suggesting a numerical decline in the population and not simply annual fluctuations in colony occupation declines have occurred in all habitat types and across the known canadian breeding range suggesting that causes of the decline may be related to factors occurring during migration or on wintering grounds we recommend that international efforts now be directed at assessing population status and trends of this species in other circumpolar countries,Biological Conservation,,declines in abundance and distribution of the ivory gull pagophila eburnea in arctic canada
native animals exploit resources in cities and inhabit anthropogenic structures worldwide one example of this is the little penguin eudyptula minor population nesting between boulders on the st kilda breakwater in melbourne this population is attracted by safe hiding places a lack of predators and the presence of prey however living close to urbanisation poses many threats to the colony including boating lighting noise and human visitation we investigated the effects of human disturbance by comparing the number of penguins and breeding sites in the publicly accessible region with those in the restricted region of the breakwater penguins and nest sites were not equally distributed along the breakwater with the mean number of birds and nest sites present per m section in the restricted region significantly greater typically double than the number in the publicly accessible region although the penguins show a clear preference to nest in the restricted region of the breakwater their continued presence in the publicly accessible region when nest sites are not limiting indicates that human disturbance is not incompatible with some nesting activity in a global context these results illustrate some of the benefits and costs to animals that use anthropogenically altered habitats and urban environments,Marine and Freshwater Research,,anthropogenic influence on an urban colony of the little penguin eudyptula minor
in spite of several studies showing that roe deer typically achieve higher population densities in openings or younger forest stands there do not appear to be any reporting the response of a single population to forest habitat change in this paper the results of a year study of a roe deer population which was not subject to significant levels of culling predation or ungulate competition are presented following planting with conifers which was mostly in the canopy cover increased most rapidly between and years after planting ground vegetation cover was negatively correlated with canopy cover the deer population increased from km to km between and years after planting after which it declined sharply to km a significant negative cross correlation was found between conifer canopy cover and deer density with a lag of years indicating that the decline in deer numbers lagged behind the decline in browse supply the rate of recruitment was correlated with the conifer canopy cover without any indication of a significant lag the decline in cover of the main food plant species bramble rubus fruticosus was much greater than the decline in deer density implying that the deer were forced to change their diet and perhaps also their patterns of habitat selection in response to the change in habitat structure,Forest Ecology and Management,,changes in roe deer capreolus capreolus l population density in response to forest habitat succession
this study describes the historical evolution of the biomass fishing mortality per age group annual recruitment and catchability of the campeche bank red grouper population this fishery is based on three fleets the mexican minor the mexican major or industrial and the cuban with different capacities areas of operation and targeting of different age groups during the last years the minor fleet expanded resulting in some overlapping with the other fleets areas the biomass of the population of the red grouper in the campeche bank has decreased between and this decrease is evident from the commercial landings from to t and in cpue from independent research surveys from to kg hooks the size of the spawning stock has decreased since the beginning of the period as well as the recruitment from to million years old while the catchability coefficient has increased from to elsevier b v all rights reserved,Fisheries Research,,historical biomass fishing mortality and recruitment trends of the campeche bank red grouper epinephelus morio
factors associated with the spatial and temporal variation of the lower guadiana basin southern iberia fish community were determined using data from sites sampled during the summer of dry year following a period of low discharge total discharge from to x m and again during the summer of wet year following a period of higher discharge total discharge from january to august x m from the explanatory variables initially considered six were retained for analysis by a forward selection procedure maximum depth altitude channel width substrate coarseness salt a dummy variable identifying sampling locations belonging to tributaries that discharge to the brackish guadiana and year a dummy variable identifying the sampling year further we partitioned the total variability in the guadiana fish community into that accounted uniquely by selected environmental variables uniquely by sampling year by both sampling year and environmental variables and unexplained,Ecology of Freshwater Fish,,variation in fish community composition along an iberian river basin from low to high discharge relative contributions of environmental and temporal variables
in palau ngerumekaol and ebiil channels are spawning aggregation sites that have been protected from fishing since and respectively groupers and other targeted fisheries species were monitored monthly over a year period at these two spawning aggregations and two nearby exploited reference sites where grouper formerly aggregated to spawn at the protected aggregation sites three grouper species plectropomus areolatus epinephelus polyphekadion and epinephelus fuscoguttatus accounted for of the abundance and of the biomass of all resource species surveyed but comprised of the total abundance and biomass at reference sites not protected from fishing that formally harbored spawning aggregations abundance and biomass of grouper species pooled were and higher respectively at ngerumekaol compared to ebiil comparisons with data from the same locations in showed order of magnitude declines in abundance of e polyphekadion at both locations the lower numbers of e fuscoguttatus and the near absence of e polyphekadion at ebiil may reflect the effects of previous and current overexploitation,"Estuarine, Coastal and Shelf Science",,spatial and temporal characteristics of grouper spawning aggregations in marine protected areas in palau western micronesia
in this work we model the population dynamics of genypterus blacodes of the demersal fishery on chilean southern austral region using stage structured matrices from a year time series of annual age specific female abundances for the parameterized matrices obtained we calculated population growth rates with confidence intervals net reproductive rate reproductive value stable stage structure and we performed a sensitivity analysis we also generated and analyzed an analogous stage structured matrix model for the same population assuming no harvesting the main results are a negative growth rate for the observed population data a positive growth rate for the population without the capture effect which is significantly different from the growth rate of the harvested population the sensitivity analysis revealed that lambda is more sensitive to variations in adult survival in the age class years the observed population exhibits a stable stage structure,Fisheries Research,,demographical analysis of the pink ling genypterus blacodes schneider in the austral demersal fishery a matrix approach evaluating harvest and non harvest states
we satellite tracked the foraging trips of males and females of the sibling species of giant petrels macronectes halli and m giganteus breeding sympatrically at bird island south georgia antarctica during the incubation period november december size of the activity range in addition to speed and distance covered on foraging trips were similar between the species but were lower for males than for females in both species sex specific differences agree with previous observations on diets and on attendance at seal carcasses suggesting that females mainly forage at sea whereas males mainly scavenge on the coast overall however the foraging ecology of both species seems very similar interspecific and intersexual competition may be reduced by the limited overlap in the at sea range with southern giant petrels foraging further south than did northern giant petrels and females further west than males suggesting some spatial partitioning in foraging areas male northern giant petrels foraged almost exclusively on the south georgia coast their strong dependence during the brooding and chick rearing period on antarctic fur seals whose population has increased exponentially in recent years may be reflected in the recent population increase of northern giant petrels at south georgia foraging areas of giant petrels overlapped extensively with longline fishery distribution highlighting their susceptibility to being caught on longline hooks females were at higher risk during the study period since they made longer trips and foraged further west than males into areas where local longline fisheries are more active,Marine Ecology Progress Series,,foraging partitioning between giant petrels macronectes spp and its relationship with breeding population changes at bird island south georgia
two fleets currently operate in the common hake fishery of san matias gulf argentina artisanal longliners and industrial bottom trawlers annual landings reach more than metric tones and the annual gross rent exceeds us million this fishery has been included recently in a certification program of sustainable fishing taking into consideration some principles a sustainability analysis we performed focused on assessing the impacts of fishing on marine resources and the ecosystem interactions between fleets and between operational units of the artisanal fleet are assessed in addition we evaluated the way this fishery is been managed in the area a description of the problems detected in the artisanal sector and corrective actions for their solutions are presented information about by catch and discards loss of fishing gear and interactions with marine birds and mammals is also presented these topics are critically discussed in the context of the sustainable fishery management,Fisheries Research,,an assessment of the sustainability of the hake merluccius hubbsi artisanal fishery in san matias gulf patagonia argentina
we evaluated the status of tigers panthera tigris and their prey in panna tiger reserve using occupancy surveys camera trap mark recapture population estimation and distance sampling along foot transects in forest range tiger occupancy in the panna landscape km estimated by surveys of km each was se within occupied ranges of the reserve a mean of se of forest beats had tiger signs a total of camera trap nights yielded captures of seven individual adult tigers within an effective trap area of se km the best model incorporating individual heterogeneity m h estimated the tiger population to be se tiger density was se per km and was lower than that reported in tigers per km both occupancy and density indicated a decline of the tiger population in the reserve mean ungulate density was se km and comparable to other tiger reserves since our survey in tiger status in panna has deteriorated further because of poaching panna was occupied by dacoits in late and anti insurgent activities caused further disturbances in late there was a single male tiger left in panna but he has not been seen since january the madhya pradesh forest department has reintroduced three tigers to panna from neighbouring tiger reserves panna along with sariska tiger reserve exemplifies the vulnerability of small isolated tiger populations to local extinctions caused by poaching even in areas with suitable habitat and sufficient prey,Oryx,,evaluating the status of the endangered tiger panthera tigris and its prey in panna tiger reserve madhya pradesh india
catch and effort data for the period demonstrate a dramatic decline of lungfish in the tanzanian waters of lake victoria bottom trawl catches in the mwanza gulf showed a decline in catch rates from kg h in to kg h in trawling of commercial vessels in the speke gulf revealed a decline in lungfish catches from kg h in to kg h in the development of anoxia in the deeper waters of lake victoria the algal blooms and the decline of water transparency all associated with eutrophication are not likely to have contributed to the decreased catch rate however the lungfish decline may reflect the interaction of overexploitation by the fishery and a low level of nile perch predation that restricts lungfish to wetland refugia we suggest that this may have been reinforced over the past few decades by large scale conversion of wetlands to agricultural land and harvesting of nest guarding male lungfish leading to decreased recruitment of young,African Journal of Ecology,,decline of the african lungfish protopterus aethiopicus in lake victoria east africa
upper continental slope trawling grounds m depth off new south wales were surveyed with the same vessel and trawl gear and similar sampling protocols in during the early years of commercial exploitation and in the mean catch rate of sharks and rays pooled for the main species or species groups was of the mean individual catch rates were substantially lower in for of the species or species groups the greatest decline was observed for dogsharks of the genus centrophorus which were most abundant in but rarely caught years later in contrast catch rates of spiky dogshark squalus megalops and to a lesser extent whitefin swell shark cephaloscyllium sp a were similar to those in trawling during provided data for nine species albeit not corrected for larger gear size and the pooled mean catch rate for sharks and rays in the depth range m was of the mean for the results suggest that the biomass of most species of sharks and rays declined rapidly as the fishery developed and is now at very low levels,Marine and Freshwater Research,,changes in relative abundance of sharks and rays on australian south east fishery trawl grounds after twenty years of fishing
since the s artisanal fishers from southern belize have harvested mutton snapper lutjanus analis from the gladden spit fish spawning aggregation site in the government of belize partnered with stakeholders to conserve the area and co manage the fishery the objective of this study was to present the history of the artisanal mutton snapper fishery in its environmental and socioeconomic context and qualitatively evaluate its present status we identified long term trends in the fishing activity through historical catch reconstructions and estimation of fishing fleet size since the late s statistically compared inter annual trends in catch per unit effort cpue and in mutton snapper sizes between and and delineated possible factors that might have caused the observed patterns our data show a sharp reduction in total landings and fishing effort that started in the late s parallel to a rapid growth in the tourism industry and to a shift in the livelihoods of many fishers annual cpue individual sizes and sex ratios have been relatively stable between and indicating persistence of the fishery during this recent period key to successful long term adaptive co management of the fishery is a continued involvement of fishers and other stakeholders in resource monitoring and evaluation as well as in policy and decision making,Fisheries Research,,history and co management of the artisanal mutton snapper lutjanus analis spawning aggregation fishery at gladden spit belize
the strongest oceanographic warming trend in the eastern pacific this century was accompanied by exceptionally heavy and prolonged rains genovesa normally receives mm of rain in the first two four months of a calendar year in the recent event rain began falling in november and continued until july the total was greater than or equal to mm plants responded with prodigious growth and produced enormous crops of seeds finches bred up to eight times although not with uniformly outstanding success environmental constraints were relaxed on three reproductive traits duration of breeding where birds bred and the number of young birds that bred clutch sizes and rate of clutch production were not affected by the end of the breeding season population densities were exceptionally high and age structures were dominated by young birds the profound ecological effects of this climatic extreme in the terrestrial environment were remarkably short lived however in the following two years the rains were weak or non existent much of the vegetation died and both seed supply and finch numbers declined drastically to the low levels recorded in and these observations have interesting theoretical implications for demography and life history evolution,Oikos,,the extraordinary el nino event of effects on darwin s finches on isla genovesa galapagos ecuador
