Abstract,Authors,Date_downloaded,Journal,PMID,Title,Year
"Conservation investment, particularly for charismatic and wide-ranging large mammal species, needs to be evidence-based. Despite the prevalence of this theme within the literature, examples of robust data being generated to guide conservation policy and funding decisions are rare. We present the first published case-study of tiger conservation in Indochina, from a site where an evidence-based approach has been implemented for this iconic predator and its prey. Despite the persistence of extensive areas of habitat, Indochina's tiger and ungulate prey populations are widely supposed to have precipitously declined in recent decades. The Seima Protection Forest (SPF), and broader Eastern Plains Landscape, was identified in 2000 as representing Cambodia's best hope for tiger recovery; reflected in its designation as a Global Priority Tiger Conservation Landscape. Since 2005 distance sampling, camera-trapping and detection-dog surveys have been employed to assess the recovery potential of ungulate and tiger populations in SPF. Our results show that while conservation efforts have ensured that small but regionally significant populations of larger ungulates persist, and density trends in smaller ungulates are stable, overall ungulate populations remain well below theoretical carrying capacity. Extensive field surveys failed to yield any evidence of tiger, and we contend that there is no longer a resident population within the SPF. This local extirpation is believed to be primarily attributable to two decades of intensive hunting; but importantly, prey densities are also currently below the level necessary to support a viable tiger population. Based on these results and similar findings from neighbouring sites, Eastern Cambodia does not currently constitute a Tiger Source Site nor meet the criteria of a Global Priority Tiger Landscape. However, SPF retains global importance for many other elements of biodiversity. It retains high regional importance for ungulate populations and potentially in the future for Indochinese tigers, given adequate prey and protection.","HJ O'Kelly, TD Evans, EJ Stokes, TJ Clements, A Dara, M Gately, N Menghor, EH Pollard, M Soriyun, J Walston",2018-09-03,PloS one,23077647,"Identifying conservation successes, failures and future opportunities; assessing recovery potential of wild ungulates and tigers in Eastern Cambodia.",2012
"With the socioeconomic and urban development of Chongming Island (the largest alluvial island in the world), water demand is rapidly growing. To make adjustments to the water utilization structure of each industry, allocate limited water resources, and increase local water use efficiency, this study performed a scenario analysis for the water sustainability of Chongming Island. Four different scenarios were performed to assess the water resource availability by 2020. The growth rate for water demand will be much higher than that of water supply under a serious situation prediction. The water supply growth volume will be 2.22 × 10(8)m(3) from 2010 to 2020 under Scenario I and Scenario II while the corresponding water demand growth volume will be 2.74 × 10(8)m(3) and 2.64 × 10(8)m(3), respectively. There will be a rapid growth in water use benefit under both high and low development modes. The water use benefit will be about 50 CNY/m(3) under Scenarios I and II in 2020. The production structure will need to be adjusted for sustainable utilization of water resources. Sewage drainage but not the forest and grass coverage rate will be a major obstacle to future development and environmental quality. According to a multi-level fuzzy comprehensive evaluation, Scenario II is finally deemed to be the most desirable plan, suggesting that the policy of rapid socioeconomic development and better environmental protection may achieve the most sustainable development of Chongming Island in the future.","X Ni, Y Wu, J Wu, J Lu, PC Wilson",2018-09-03,The Science of the total environment,23077476,Scenario analysis for sustainable development of Chongming Island: water resources sustainability.,2012
"Widening of the electrocardiographic (ECG) spatial QRS-T angle has been predictive of cardiovascular disease (CVD) events in the general population. However, its prognostic significance in human immunodeficiency virus (HIV)-infected patients remains unknown. The spatial QRS-T angle was derived from the baseline resting 12-lead electrocardiogram of 4,453 HIV-infected patients aged 43.5 ± 9.3 years from the Strategies for Management of Antiretroviral Therapy (SMART) trial. CVD events were identified during a median follow-up of 28.7 months. Quartiles of the spatial QRS-T angle was calculated for men and women separately, and values in the upper quartile were considered as a widened angle (values >74° for women and >93° for men). A multivariate Cox proportional hazards analysis was used to examine the association between a widened baseline spatial QRS-T angle and incident CVD events. During 11,965 person-years of follow-up, 152 CVD events occurred at a rate of 1.27 events/100 person-years. The rate of CVD events in those with a widened spatial QRS-T angle was almost double the rate in those with a normal spatial QRS-T angle (rate ratio 1.94, 95% confidence interval 1.40 to 2.69; p <0.001). In a model adjusted for study treatment arm, demographics, CVD risk factors, HIV characteristics, inflammatory markers, and other ECG abnormalities, a widened spatial QRS-T angle was associated with a >50% increased risk of CVD events compared to a normal spatial QRS-T angle (hazard ratio 1.53, 95% confidence interval 1.07 to 2.17; p = 0.02). No interaction was seen by SMART trial arm (p value for interaction = 0.37) or gender (p value for interaction = 0.84). In conclusion, a widened spatial QRS-T angle was independently predictive of CVD events in HIV-infected patients receiving antiretroviral therapy. This highlights the potential role of routine electrocardiography as a simple noninvasive CVD risk-screening tool in HIV-infected patients.","FZ Dawood, F Khan, MP Roediger, ZM Zhang, S Swaminathan, H Klinker, J Hoy, JD Lundgren, JD Neaton, EZ Soliman",2018-09-03,The American journal of cardiology,23063918,Electrocardiographic spatial QRS-T angle and incident cardiovascular disease in HIV-infected patients (from the Strategies for the Management of Antiretroviral Therapy [SMART] study).,2013
"The genetic variation across a species' range is an important factor in speciation and conservation, yet searching for general patterns and underlying causes remains challenging. While the majority of comparisons between central and marginal populations have revealed a general central-marginal (C-M) decline in genetic diversity, others show no clear pattern. Similarly, most latitudinal studies (although much fewer, especially those conducted rangewide) also showed latitudinal trends in genetic variation. To date, the C-M and latitudinal patterns have often been examined independently and have rarely been considered together when accounting for the observed genetic variation across species ranges. Here, in the light of the most recent findings, I show how latitude might be responsible for some of the deviations from the general C-M trends in genetic diversity, and vice versa. In the future, integrating latitude and range geometry with climate-induced species migration would offer important insights into conservation prioritization across species ranges.",Q Guo,2018-09-03,Molecular ecology,23062314,Incorporating latitudinal and central-marginal trends in assessing genetic variation across species ranges.,2012
"Recent assessments by the International Union for Conservation of Nature (IUCN) indicate the existence of about 612 recognized primate species and subspecies (IUCN RedList, 2012), but close to 50% of these taxa are at risk of extinction as a result of human action. In this article, I call attention to underlying regional and global socioeconomic contexts of primate conservation. Using information from FAO and UN databases and other sources, I examine, for the Neotropics, sub-Saharan Africa, and Southeast Asia, trends in forest loss and human demographics and social condition, discuss the impact of global market pressures upon primate habitats, and examine land-use patterns that may favor primate conservation. Between 1990 and 2010, an estimated 149 million ha of forest were lost in the three regions and additional losses are expected in the future. Global human population will increase from 7 billion in 2012 to 9 billion in 2050. Currently, 2 billion people live in the three primate range regions under high levels of poverty. Large-scale deforestation is related to global market demands, especially from developed and developing nations, for food (e.g., cattle), domestic animal feed (e.g., soybeans), biofuel-based crops (e.g., oil palm), and industrial round wood. The growth of protected areas in the three regions has been steady for several decades, but it is not enough to ensure long-term conservation of many primate taxa. Other conservations tools involving sustainable land use and biodiversity conservation corridors are required at the landscape level. The above assessment can easily be applied at the local level by primatologists, giving more precision to conservation initiatives.",A Estrada,2018-09-03,American journal of primatology,23051180,"Socioeconomic contexts of primate conservation: population, poverty, global economic demands, and sustainable land use.",2013
"The population densities of many organisms have changed dramatically in recent history. Increases in the population density of medically relevant organisms are of particular importance to public health as they are often correlated with the emergence of infectious diseases in human populations. Our aim is to delineate increases in density of a common disease vector in North America, the blacklegged tick, and to identify the environmental factors correlated with these population dynamics. Empirical data that capture the growth of a population are often necessary to identify environmental factors associated with these dynamics. We analyzed temporally- and spatially-structured field collected data in a geographical information systems framework to describe the population growth of blacklegged ticks (Ixodes scapularis) and to identify environmental and climatic factors correlated with these dynamics. The density of the ticks increased throughout the study's temporal and spatial ranges. Tick density increases were positively correlated with mild temperatures, low precipitation, low forest cover, and high urbanization. Importantly, models that accounted for these environmental factors accurately forecast future tick densities across the region. Tick density increased annually along the south-to-north gradient. These trends parallel the increases in human incidences of diseases commonly vectored by I. scapularis. For example, I. scapularis densities are correlated with human Lyme disease incidence, albeit in a non-linear manner that disappears at low tick densities, potentially indicating that a threshold tick density is needed to support epidemiologically-relevant levels of the Lyme disease bacterium. Our results demonstrate a connection between the biogeography of this species and public health.","CE Khatchikian, M Prusinski, M Stone, PB Backenson, IN Wang, MZ Levy, D Brisson",2018-09-03,"Ecosphere (Washington, D.C)",23047543,Geographical and environmental factors driving the increase in the Lyme disease vector Ixodes scapularis.,2012
"The national-scale forest recovery of Vietnam started in the early 1990s and is associated with a shift from net deforestation to net reforestation. Large disparities in forest cover dynamics are, however, observed at the local scale. This study aims to unravel the mechanisms driving forest cover change for a mountainous region located in northwest Vietnam. Statistical analyses were used to explore the association between forest cover change and household characteristics. In Sa Pa district, deforestation rates are decreasing, but forest degradation continues at similar rates. Deforestation is not necessarily associated with impoverished ethnic communities or high levels of subsistence farming, and the largest forest cover dynamics are found in villages with the best socio-economic conditions. Our empirical study does not provide strong evidence of a dominant role of agriculture in forest cover dynamics. It shows that empirical studies on local-scale forest dynamics remain important to unravel the complexity of human-environment interactions.","I Jadin, V Vanacker, HT Hoang",2018-09-03,Ambio,24371541,Drivers of forest cover dynamics in smallholder farming systems: the case of northwestern Vietnam.,2013
"Deforestation and fragmentation are important concerns in managing and conserving tropical forests and have global significance. In the Indian context, in the last one century, the forests have undergone significant changes due to several policies undertaken by government as well as increased population pressure. The present study has brought out spatiotemporal changes in forest cover and variation in forest type in the state of Odisha (Orissa), India, during the last 75 years period. The mapping for the period of 1924-1935, 1975, 1985, 1995 and 2010 indicates that the forest cover accounts for 81,785.6 km(2) (52.5 %), 56,661.1 km(2) (36.4 %), 51,642.3 km(2) (33.2 %), 49,773 km(2) (32 %) and 48,669.4 km(2) (31.3 %) of the study area, respectively. The study found the net forest cover decline as 40.5 % of the total forest and mean annual rate of deforestation as 0.69 % year(-1) during 1935 to 2010. There is a decline in annual rate of deforestation during 1995 to 2010 which was estimated as 0.15 %. Forest type-wise quantitative loss of forest cover reveals large scale deforestation of dry deciduous forests. The landscape analysis shows that the number of forest patches (per 1,000) are 2.463 in 1935, 10.390 in 1975, 11.899 in 1985, 12.193 in 1995 and 15.102 in 2010, which indicates high anthropogenic pressure on the forests. The mean patch size (km(2)) of forest decreased from 33.2 in 1935 to 5.5 in 1975 and reached to 3.2 by 2010. The study demonstrated that monitoring of long term forest changes, quantitative loss of forest types and landscape metrics provides critical inputs for management of forest resources.","CS Reddy, CS Jha, VK Dadhwal",2018-09-03,Environmental monitoring and assessment,23001944,"Assessment and monitoring of long-term forest cover changes in Odisha, India using remote sensing and GIS.",2013
"Urban land-cover change threatens biodiversity and affects ecosystem productivity through loss of habitat, biomass, and carbon storage. However, despite projections that world urban populations will increase to nearly 5 billion by 2030, little is known about future locations, magnitudes, and rates of urban expansion. Here we develop spatially explicit probabilistic forecasts of global urban land-cover change and explore the direct impacts on biodiversity hotspots and tropical carbon biomass. If current trends in population density continue and all areas with high probabilities of urban expansion undergo change, then by 2030, urban land cover will increase by 1.2 million km(2), nearly tripling the global urban land area circa 2000. This increase would result in considerable loss of habitats in key biodiversity hotspots, with the highest rates of forecasted urban growth to take place in regions that were relatively undisturbed by urban development in 2000: the Eastern Afromontane, the Guinean Forests of West Africa, and the Western Ghats and Sri Lanka hotspots. Within the pan-tropics, loss in vegetation biomass from areas with high probability of urban expansion is estimated to be 1.38 PgC (0.05 PgC yr(-1)), equal to ∼5% of emissions from tropical deforestation and land-use change. Although urbanization is often considered a local issue, the aggregate global impacts of projected urban expansion will require significant policy changes to affect future growth trajectories to minimize global biodiversity and vegetation carbon losses.","KC Seto, B Güneralp, LR Hutyra",2018-09-03,Proceedings of the National Academy of Sciences of the United States of America,22996824,Global forecasts of urban expansion to 2030 and direct impacts on biodiversity and carbon pools.,2012
"This study evaluated whether processing non-timber forest products (NTFPs) and establishing trade partnerships between forest communities and companies enhance the outcomes of NTFP commercialization. In particular, we evaluated whether product processing, partnerships, or their combination was associated with a number of outcomes related to the well-being of forest inhabitants and forest conservation. We based our analyses on ethnographic and quantitative data (i.e., survey and systematic observations) gathered at seven communities from five societies of the Brazilian and Bolivian Amazon. Our results indicated that product processing and partnerships do not represent a silver bullet able to improve the results of NTFP commercialization in terms of well-being and conservation indicators. Compared with cases without interventions, households adopting partnerships but not product processing were most often associated with improved economic proxies of well-being (total income, NTFP income, food consumption and gender equality in income). In comparison, the combination of product processing and partnerships was associated with similar outcomes. Unexpectedly, product processing alone was associated with negative outcomes in the economic indicators of well-being. All of the investigated strategies were associated with less time spent in social and cultural activities. With respect to forest conservation, the strategies that included a partnership with or without processing produced similar results: while household deforestation tended to decrease, the hunting impact increased. Processing alone was also associated with higher levels of hunting, though it did not reduce deforestation. Our results indicate that establishing partnerships may enhance the outcomes of NTFP trade in terms of the financial outcomes of local communities, but practitioners need to use caution when adopting the processing strategy and they need to evaluate potential negative results for indicators of social and cultural activities. With respect to conservation, the three strategies are promising for reducing deforestation, but more pervasive impacts, such as hunting, might increase.","C Morsello, I Ruiz-Mallén, MD Diaz, V Reyes-García",2018-09-03,PloS one,22988086,The effects of processing non-timber forest products and trade partnerships on people's well-being and forest conservation in Amazonian societies.,2012
"Case studies of land use change have suggested that deforestation across Southern Mexico is accelerating. However, forest transition theory predicts that trajectories of change can be modified by economic factors, leading to spatial and temporal heterogeneity in rates of change that may take the form of the Environmental Kuznets Curve (EKC). This study aimed to assess the evidence regarding potential forest transition in Southern Mexico by classifying regional forest cover change using Landsat imagery from 1990 through to 2006. Patterns of forest cover change were found to be complex and non-linear. When rates of forest loss were averaged over 342 municipalities using mixed-effects modelling the results showed a significant (p<0.001) overall reduction of the mean rate of forest loss from 0.85% per year in the 1990-2000 period to 0.67% in the 2000-2006 period. The overall regional annual rate of deforestation has fallen from 0.33% to 0.28% from the 1990s to 2000s. A high proportion of the spatial variability in forest cover change cannot be explained statistically. However analysis using spline based general additive models detected underlying relationships between forest cover and income or population density of a form consistent with the EKC. The incipient forest transition has not, as yet, resulted in widespread reforestation. Forest recovery remains below 0.20% per year. Reforestation is mostly the result of passive processes associated with reductions in the intensity of land use. Deforestation continues to occur at high rates in some focal areas. A transition could be accelerated if there were a broader recognition among policy makers that the regional rate of forest loss has now begun to fall. The changing trajectory provides an opportunity to actively restore forest cover through stimulating afforestation and stimulating more sustainable land use practices. The results have clear implications for policy aimed at carbon sequestration through reducing deforestation and enhancing forest growth.","RA Vaca, DJ Golicher, L Cayuela, J Hewson, M Steininger",2018-09-03,PloS one,22912787,Evidence of incipient forest transition in Southern Mexico.,2012
"Insect disturbance is often thought to increase fire risk through enhanced fuel loadings, particularly in coniferous forest ecosystems. Yet insect disturbances also affect successional pathways and landscape structure that interact with fire disturbances (and vice-versa) over longer time scales. We applied a landscape succession and disturbance model (LANDIS-II) to evaluate the relative strength of interactions between spruce budworm (Choristoneura fumiferana) outbreaks and fire disturbances in the Boundary Waters Canoe Area (BWCA) in northern Minnesota (USA). Disturbance interactions were evaluated for two different scenarios: presettlement forests and fire regimes vs. contemporary forests and fire regimes. Forest composition under the contemporary scenario trended toward mixtures of deciduous species (primarily Betula papyrifera and Populus spp.) and shade-tolerant conifers (Picea mariana, Abies balsamea, Thuja occidentalis), with disturbances dominated by a combination of budworm defoliation and high-severity fires. The presettlement scenario retained comparatively more ""big pines"" (i.e., Pinus strobus, P. resinosa) and tamarack (L. laricina), and experienced less budworm disturbance and a comparatively less-severe fire regime. Spruce budworm disturbance decreased area burned and fire severity under both scenarios when averaged across the entire 300-year simulations. Contrary to past research, area burned and fire severity during outbreak decades were each similar to that observed in non-outbreak decades. Our analyses suggest budworm disturbances within forests of the BWCA have a comparatively weak effect on long-term forest composition due to a combination of characteristics. These include strict host specificity, fine-scaled patchiness created by defoliation damage, and advance regeneration of its primary host, balsam fir (A. balsamea) that allows its host to persist despite repeated disturbances. Understanding the nature of the three-way interaction between budworm, fire, and composition has important ramifications for both fire mitigation strategies and ecosystem restoration initiatives. We conclude that budworm disturbance can partially mitigate long-term future fire risk by periodically reducing live ladder fuel within the mixed forest types of the BWCA but will do little to reverse the compositional trends caused in part by reduced fire rotations.","BR Sturtevant, BR Miranda, DJ Shinneman, EJ Gustafson, PT Wolter",2018-09-03,Ecological applications : a publication of the Ecological Society of America,22905123,Comparing modern and presettlement forest dynamics of a subboreal wilderness: does spruce budworm enhance fire risk?,2012
"Habitat loss and degradation are thought to be the primary drivers of species extirpations, but for many species we have little information regarding specific habitats that influence occupancy. Snakes are of conservation concern throughout North America, but effective management and conservation are hindered by a lack of basic natural history information and the small number of large-scale studies designed to assess general population trends. To address this information gap, we compiled detection/nondetection data for 13 large terrestrial species from 449 traps located across the southeastern United States, and we characterized the land cover surrounding each trap at multiple spatial scales (250-, 500-, and 1000-m buffers). We used occupancy modeling, while accounting for heterogeneity in detection probability, to identify habitat variables that were influential in determining the presence of a particular species. We evaluated 12 competing models for each species, representing various hypotheses pertaining to important habitat features for terrestrial snakes. Overall, considerable interspecific variation existed in important habitat variables and relevant spatial scales. For example, kingsnakes (Lampropeltis getula) were negatively associated with evergreen forests, whereas Louisiana pinesnake (Pituophis ruthveni) occupancy increased with increasing coverage of this forest type. Some species were positively associated with grassland and scrub/shrub (e.g., Slowinski's cornsnake, Elaphe slowinskii) whereas others, (e.g., copperhead, Agkistrodon contortrix, and eastern diamond-backed rattlesnake, Crotalus adamanteus) were positively associated with forested habitats. Although the species that we studied may persist in varied landscapes other than those we identified as important, our data were collected in relatively undeveloped areas. Thus, our findings may be relevant when generating conservation plans or restoration goals. Maintaining or restoring landscapes that are most consistent with the ancestral habitat preferences of terrestrial snake assemblages will require a diverse habitat matrix over large spatial scales.","DA Steen, CJ McClure, JC Brock, DC Rudolph, JB Pierce, JR Lee, WJ Humphries, BB Gregory, WB Sutton, LL Smith, DL Baxley, DJ Stevenson, C Guyer",2018-09-03,Ecological applications : a publication of the Ecological Society of America,22827135,Landscape-level influences of terrestrial snake occupancy within the southeastern United States.,2012
Juniperus excelsa M.-Bieb. is a major forest element in the mountains of the eastern part of Mediterranean and sub-Mediterranean regions. This study comprises the first morphological investigation covering a large part of the geographical range of J. excelsa and aims to verify the congruency between the morphological results and molecular results of a previous study.,"B Douaihy, K Sobierajska, AK Jasińska, K Boratyńska, T Ok, A Romo, N Machon, Y Didukh, M Bou Dagher-Kharrat, A Boratyński",2018-09-03,AoB PLANTS,22827120,Morphological versus molecular markers to describe variability in Juniperus excelsa subsp. excelsa (Cupressaceae).,2012
"INTRODUCTION: The NAFKAM International CAM Questionnaire (I-CAM-Q) was designed to facilitate cross-study comparisons of CAM usage. This research presents the first empirical study of the I-CAM-Q's performance.  MATERIALS AND METHODS: Data were collected in two studies in a multi-ethnic (African American, American Indian, and white) population of older adults in the US. In 2010, 564 adults 60+ years were recruited. The I-CAM-Q was interviewer-administered. Data were compared to those collected in 2002 from a random sample of 701 Medicare recipients 65+ years. The 2002 survey included an extensive inventory of specific CAM therapies derived from local ethnographic research. Comparisons of the responses for 14 CAM modalities common to the two studies used logistic regression adjusted for demographics.  RESULTS: There were no significant differences between the 2002 and 2010 surveys in the proportions reporting 10 modalities, including use of chiropractors, homeopaths, acupuncturists, herbalists, spiritual healers, vitamins, minerals, homeopathic remedies, Qigong, visualization, and prayer for health. Significantly less use of physicians and more use of relaxation techniques were reported in 2010. Herb use and garlic, as a specific herb, were reported significantly less in 2010.  CONCLUSIONS: Overall, the I-CAM-Q obtained results similar to those produced by a population-specific questionnaire. Those differences observed appear to reflect differences in the studies' inclusion criteria or secular trends in CAM. This study supports the intention of the I-CAM-Q to substitute for local and regional surveys in order to allow cross-study comparisons of CAM use. Further tests, preferably through contemporaneous data collection are needed in other populations.","SA Quandt, EH Ip, S Saldana, TA Arcury",2018-09-03,European journal of integrative medicine,22822421,Comparing Two Questionnaires for Eliciting CAM Use in a Multi-Ethnic US Population of Older Adults.,2012
"In East Africa, human population growth and demands for natural resources cause forest loss contributing to increased carbon emissions and reduced biodiversity. Protected Areas (PAs) are intended to conserve habitats and species. Variability in PA effectiveness and 'leakage' (here defined as displacement of deforestation) may lead to different trends in forest loss within, and adjacent to, existing PAs. Here, we quantify spatial variation in trends of evergreen forest coverage in East Africa between 2001 and 2009, and test for correlations with forest accessibility and environmental drivers. We investigate PA effectiveness at local, landscape and national scales, comparing rates of deforestation within park boundaries with those detected in park buffer zones and in unprotected land more generally. Background forest loss (BFL) was estimated at -9.3% (17,167 km(2)), but varied between countries (range: -0.9% to -85.7%; note: no BFL in South Sudan). We document high variability in PA effectiveness within and between PA categories. The most successful PAs were National Parks, although only 26 out of 48 parks increased or maintained their forest area (i.e. Effective parks). Forest Reserves (Ineffective parks, i.e. parks that lose forest from within boundaries: 204 out of 337), Nature Reserves (six out of 12) and Game Parks (24 out of 26) were more likely to lose forest cover. Forest loss in buffer zones around PAs exceeded background forest loss, in some areas indicating leakage driven by Effective National Parks. Human pressure, forest accessibility, protection status, distance to fires and long-term annual rainfall were highly significant drivers of forest loss in East Africa. Some of these factors can be addressed by adjusting park management. However, addressing close links between livelihoods, natural capital and poverty remains a fundamental challenge in East Africa's forest conservation efforts.","M Pfeifer, ND Burgess, RD Swetnam, PJ Platts, S Willcock, R Marchant",2018-09-03,PloS one,22792131,Protected areas: mixed success in conserving East Africa's evergreen forests.,2012
"Interspecific aggression amongst nonhuman primates is rarely observed and has been mostly related to scenarios of resource competition. Interspecific infanticide is even rarer, and both the ultimate and proximate socio-ecological factors explaining this behavior are still unclear. We report two cases of interspecific infanticide and five cases of interspecific infant-directed aggression occurring in a well-habituated primate community living in a fragmented landscape in Colombia. All cases were initiated by male brown spider monkeys (Ateles hybridus) and were directed toward infants of either red howler monkeys (Alouatta seniculus: n = 6 cases) or white-fronted capuchins (Cebus albifrons: n = 1 case). One individual, a subadult spider monkey male, was involved in all but one case of interspecific infanticide or aggression. Other adult spider monkeys participated in interspecific aggression that did not escalate into potentially lethal encounters. We suggest that competition for food resources and space in a primate community living in high population densities and restricted to a forest fragment of ca. 65 ha might partly be driving the observed patterns of interspecific aggression. On the other hand, the fact that all but one case of interspecific infanticide and aggression involved the only subadult male spider monkey suggests this behavior might either be pathological or constitute a particular case of redirected aggression. Even if the underlying principles behind interspecific aggression and infanticide are poorly understood, they represent an important factor influencing the demographic trends of the primate community at this study site.","R Rimbach, A Pardo-Martinez, A Montes-Rojas, A Di Fiore, A Link",2018-09-03,American journal of primatology,22768074,Interspecific infanticide and infant-directed aggression by spider monkeys (Ateles hybridus) in a fragmented forest in Colombia.,2012
"We compared the richness and abundance of free-feeding herbivore insects (sap-sucking and leaf-chewing), leaf herbivory damage, leaf toughness and total phenolic content between two ontogenetic stages (juvenile and reproductive) of Handroanthus spongiosus (Rizzini) S. O. Grose (Bignoniaceae)  throughout the rainy season in a Brazilian seasonally dry tropical forest. Twenty marked individuals of H. spongiosus were sampled per ontogenetic stage in each period of the rainy season (beginning, middle, and end). Herbivore richness and abundance did not differ between ontogenetic stages,  but higher percentage of leaf damage, higher concentration of phenolic compounds, and lower leaf toughness were observed for juvenile individuals. The greatest morphospecies abundance was found at the beginning of the rainy season, but folivory increment was higher at the end, despite the  fact that leaf toughness and total phenolic content increased in the same period. No significant relationships between leaf damage and both total phenolic content and leaf toughness were observed. These results suggest that insect richness and abundance do not track changes in foliage quality  throughout plant ontogeny, but their decrease along rainy season confirms what was predicted for tropical dry forests. The general trends described in the current study corroborate those described in the literature about herbivores and plant ontogeny. However, the lack of relationship between  herbivore damage and the two plant attributes considered here indicates that the analyses of multiple defensive traits (the defense syndrome) must be more enlightening to determine the mechanisms driving temporal and spatial patterns of herbivore attack.","KN Oliveira, MM Espírito-Santo, JO Silva, GA Melo",2018-09-03,Environmental entomology,22767357,Ontogenetic and temporal variations in herbivory and defense of Handroanthus spongiosus (Bignoniaceae) in a Brazilian tropical dry forest.,2012
"On-going climate change is shifting the timing of bud burst (TBB) of broad leaf and conifer trees in temperate areas, raising concerns about the abilities of natural populations to respond to these shifts. The level of expected evolutionary change depends on the level and distribution of genetic variation of TBB. While numerous experimental studies have highlighted the role of divergent selection in promoting clinal TBB differentiation, we explored whether the observed patterns of variation could be generated by the joint effects of assortative mating for TBB and gene flow among natural populations. We tested this hypothesis using an in silico approach based on quantitative genetic models.","JP Soularue, A Kremer",2018-09-03,BMC evolutionary biology,22732612,Assortative mating and gene flow generate clinal phenological variation in trees.,2012
"Infectious diseases are increasingly recognized as an important force driving population dynamics, conservation biology, and natural selection in wildlife populations. Infectious agents have been implicated in the decline of small or endangered populations and may act to constrain population size, distribution, growth rates, or migration patterns. Further, diseases may provide selective pressures that shape the genetic diversity of populations or species. Thus, understanding disease dynamics and selective pressures from pathogens is crucial to understanding population processes, managing wildlife diseases, and conserving biological diversity. There is ample evidence that variation in the prion protein gene (PRNP) impacts host susceptibility to prion diseases. Still, little is known about how genetic differences might influence natural selection within wildlife populations. Here we link genetic variation with differential susceptibility of white-tailed deer to chronic wasting disease (CWD), with implications for fitness and disease-driven genetic selection. We developed a single nucleotide polymorphism (SNP) assay to efficiently genotype deer at the locus of interest (in the 96th codon of the PRNP gene). Then, using a Bayesian modeling approach, we found that the more susceptible genotype had over four times greater risk of CWD infection; and, once infected, deer with the resistant genotype survived 49% longer (8.25 more months). We used these epidemiological parameters in a multi-stage population matrix model to evaluate relative fitness based on genotype-specific population growth rates. The differences in disease infection and mortality rates allowed genetically resistant deer to achieve higher population growth and obtain a long-term fitness advantage, which translated into a selection coefficient of over 1% favoring the CWD-resistant genotype. This selective pressure suggests that the resistant allele could become dominant in the population within an evolutionarily short time frame. Our work provides a rare example of a quantifiable disease-driven selection process in a wildlife population, demonstrating the potential for infectious diseases to alter host populations. This will have direct bearing on the epidemiology, dynamics, and future trends in CWD transmission and spread. Understanding genotype-specific epidemiology will improve predictive models and inform management strategies for CWD-affected cervid populations.","SJ Robinson, MD Samuel, CJ Johnson, M Adams, DI McKenzie",2018-09-03,Ecological applications : a publication of the Ecological Society of America,22681626,Emerging prion disease drives host selection in a wildlife population.,2012
"Forest decline has been attributed to the interaction of several stressors including biotic factors such as mistletoes and climate-induced drought stress. However, few data exist on how mistletoes are spatially arranged within trees and how this spatial pattern is related to changes in radial growth, responses to drought stress and carbon use. We used dendrochronology to quantify how mistletoe (Viscum album L.) infestation and drought stress affected long-term growth patterns in Pinus sylvestris L. at different heights. Basal area increment (BAI) trends and comparisons between trees of three different infestation degrees (without mistletoe, ID1; moderately infested trees, ID2; and severely infested trees, ID3) were performed using linear mixed-effects models. To identify the main climatic drivers of tree growth tree-ring widths were converted into indexed chronologies and related to climate data using correlation functions. We performed spatial analyses of the 3D distribution of mistletoe individuals and their ages within the crowns of three severely infested pines to describe their patterns. Lastly, we quantified carbohydrate and nitrogen concentrations in needles and sapwood of branches from severely infested trees and from trees without mistletoe. Mistletoe individuals formed strongly clustered groups of similar age within tree crowns and their age increased towards the crown apex. Mistletoe infestation negatively impacted growth but this effect was stronger near the tree apex than in the rest of sampled heights, causing an average loss of 64% in BAI (loss of BAI was ∼51% at 1.3 m or near the tree base). We found that BAI of severely infested trees and moderately or non-infested trees diverged since 2001 and such divergence was magnified by drought. Infested trees had lower concentrations of soluble sugars in their needles than non-infested ones. We conclude that mistletoe infestation causes growth decline and increases the sensitivity of trees to drought stress.","G Sangüesa-Barreda, JC Linares, JJ Camarero",2018-09-03,Tree physiology,22645831,"Mistletoe effects on Scots pine decline following drought events: insights from within-tree spatial patterns, growth and carbohydrates.",2012
