Journal,Title,Abstract,Date Added,Date Trained,PMID,Questionable_inclusion,Reason
Polar Bioscience,"Rapid increase of Ad\\\\'{e}lie penguin populations in the L\\\\""{u}tzow-Holm Bay area since mid 1990s","The Adelie penguin, Pygoscelis adeliae, an important component of the Antarctic marine ecosystem, is closely associated with sea ice. Ten breeding populations along the S\\\\^{o}ya Coast of Lutzow-Holm Bay have been monitored since the 1960s by the Japanese Antarctic Research Expedition and shown to be increasing. In most colonies, small peaks of population increase were observed in the late 1980s with a rapid increase from the mid 1990s. Frequent sea ice break-ups in Lutzow-Holm Bay in the mid 1980s and since the late 1990s are thought to have induced the population increase through increased subadult survival and preferred prey availability. Population monitoring therefore needs to be continued carefully in relation to the environmental changes.",18/07/2017 11:12,,,,
Ornis Hungarica,Recent increases in numbers and the future of Corncrake Crex crex in Latvia,"Night counts of calling Corncrakes were carried out on 34 survey routes in Latvia during the breeding seasons of 1989-2000. The average breeding density increased in the study period from 0.84 to 1.36 calling males per km'. Using the data from the Snepele route (western Latvia), where counts have been done since the 1960s, and the decrease in proportion of meadows in Latvia, as well as the estimate of Corncrake numbers in Latvia in 1996, I calculated Corncrake numbers in Latvia in the past. The estimate from this model is consistent with previous estimates, e.g. for 1995, 20 118 v 22 735 and for 1989-1994, 3726-10 432 v 3 000-10 000. The results suggest that previous warnings that 3 000-10 000 was an underestimate, are incorrect. I now assume that the Corncrake population reached its minimum during the late 1980s and early 1990s and is currently increasing, but is still lower than it was at the beginning of the 20th century. Statistically significant negative correlation (r=-0.48; P=0.045) was found between total pesticide use in Latvia in year t and Corncrake numbers in the Snepele route in the following year (t+1). Lower pesticide use indicates reduced income from crop production and thus a lower-intensity (ie nature-friendly) agriculture. Abandonment and low-intensity use of agricultural lands in the1990s are the main reasons for the increase of Corncrake population, but favourable habitat will be lost in the near future by afforestation and intensification of agriculture. My final conclusion is that the Corncrake population is increasing not because of conservation actions (there are none) or legal protection, but because of the crisis in agriculture after the end of the soviet occupation of Latvia. Thus the increase in Corncrake numbers may not persist.",18/07/2017 11:12,,,,
Marine Mammal Science,Seasonal changes in the local distribution of Yangtze finless porpoises related to fish presence,"The Yangtze finless porpoise (Neophocaena asiaeorientalis asiaeorientalis) is an endangered freshwater porpoise subspecies unique to the Yangtze River basin. Seasonal variations in local distribution of the animal, as well as fish presence, sand dredging, ship navigation, and bridges were examined as potential factors affecting the occurrence of the animals. Passive acoustic surveys were performed regularly from May 2007 to August 2010, near the conjunction of the Yangtze River and Poyang Lake. The distribution of the porpoises was seasonally site-specific. In May and August, the animals were detected more often at river junctions than in the lake, but vice versa from November to February. The rate of the porpoise detection was significantly higher in areas of fish presence than in areas of absence. The number of porpoises detected did not differ significantly between the sand dredging operation and the prohibition period (in 2008), although the number of vessels obviously declined in 2008. Ship traffic and bridges also did not appear to affect the presence of porpoises. These results showed the relative importance of the various environmental factors, which is important for conservation of not only Yangtze finless porpoise but also endangered isolated cetaceans.",18/07/2017 11:12,,,,
Marine Mammal Science,"Population Index Estimates for the St. Lawrence Belugas, 1973\\u20131995","The belugas (Delpbinapterus leucas) inhabiting the St. Lawrence estuary were freely hunted until 1979 and thereby much reduced in numbers. In the late 1970s concerns for their future, and for the effect of contaminants, habitat modification, and marine traffic, became acute, and they were declared \\u201cEndangered\\u201d in 1983.The numerical progress of the population has been monitored since 1973 by continued sample surveys. Nine of 10 surveys were aerial, and of those 9, 7 used high-altitude aerial photography. Published indices of population size showed an average increase of about 17 belugas per year (SE = 4) and a 1995 smoothed value of about 650 (SE = 40) belugas. This apparent temporal trend might be open to question owing to slight variation in survey methods and in the area covered by different surveys, so factors were developed to correct for differences in survey coverage and in treatment of data and for the effect of hunting on population trajectory. Revised assessments of the population trajectory and of the present smoothed index value changed little as a result. A series of total-count surveys in 1987-1992 estimated a decline of about 6 belugas per year, and when they were combined with sample surveys flown in 1984-1995, an increase of 10 belugas per year was estimated and a 1995 standardized index of about 640 (SE = 43). It appeared that hunting in the 1970s could have consumed all of, perhaps even slightly more than, the potential for natural increase of this population.",18/07/2017 11:12,,,,
Forest Ecology and Management,Partial and clearcut harvesting of dry Douglas-fir forests: Implications for small mammal communities,"Dry Douglas-fir (Pseudotsuga menziesii) forests offer a wide range of timber and non-timber values, which may benefit from a balanced timber harvest by variable retention systems with conservation of biodiversity. A major component of biodiversity are forest floor small mammal communities whose abundance and diversity serve as ecological indicators of significant change in forest structure and function from harvesting activities. This study was designed to test the hypotheses that abundance, reproduction, and survival of (i) the southern red-backed vole (Myodes gapperi, formerly Clethrionomys gapperi), will decline; (ii) the deer mouse (Peromyscus maniculatus), will be similar; and (iii) the meadow vole (Microtus pennsylvanicus) and northwestern chipmunk (Tamias amoenus), will increase, with decreasing levels of tree retention. Small mammal populations were live-trapped from 1994 to 1997 in replicated sites of uncut forest, 20\\\\% and 50\\\\% volume removal by single tree selection, 20\\\\%, 35\\\\%, and 50\\\\% patch cuts based on openings of 0.1-1.6 ha, and small 1.6 ha clearcuts in Douglas-fir forest near Kamloops, British Columbia, Canada. M. gapperi dominated the small mammal community, starting with an abundance of 74-98 animals/ha with mean values ranging from 33 to 51 animals/ha. In the two post-harvest years, abundance, reproduction, and survival of M. gapperi populations were consistently similar among uncut forest and the various levels of tree retention. Thereafter, M. gapperi was seldom found on the small clearcuts. M. pennsylvanicus, T. amoenus, and P. maniculatus occurred predominantly in clearcut sites. As with other types of forest disturbance, responses to our treatments were species-specific. The most striking result was the high abundance and productivity of M. gapperi populations in a dry forest ecosystem, a novel result for this bio-indicator species of closed-canopy forest conditions. At least with respect to small mammals, the retention systems studied seem to enable timber extraction and maintenance of mature forest habitat in these dry fir ecosystems.",18/07/2017 11:12,,,,
Gulf of Mexico Science,"Relative abundance and distribution of sand seatrout ( Cynoscion arenarius) in relation to environmental conditions, habitat, and river discharge in two florida estuaries","The sand seatrout,  Cynoscion arenarius (Ginburg,  1930),  is an abundant recreational and commercial species that resides primarily in the nearshore and estuarine waters of the Gulf of Mexico. We examined relative abundance and distribution of sand seatrout [individuals > 100 mm standard length (SL)] in relation to environmental conditions and river discharge in the Tampa Bay (1997-2004) and Charlotte Harbor (1999-2004) estuaries on the west coast of Florida. Fish were collected during a long-term fisheries-independent monitoring program with a 183-m purse seine. Sand seatrout were more abundant over deep,  muddy substrates devoid of seagrass. Smaller sand seatrout between 145 mm SL and 175 mm SL were found in low-alinity ares near river mouths and larger sand seatrout > 175 mm SL were found in high-salinity areas in the lower portion of the estuaries. We found a negative relationship between relative abundance and mean river discharge in both estuaries and a positive relationship between abundance and 2-yr lagged river discharge in Tampa Bay. Annual relative abundance of sand seatrout captured via purse seine in Tampa Bay and Charlotte Harbor was significantly correlated to annual changes in recreational and commercial harvest on the west coast of Florida. Differences and changes in environmental conditions, habitat,  and river discharges clearly affected the relative abundance and distribution of sand seatrout, making habitat alterations and water-allocation decisions important to sand seatrout and the fishery they support.",18/07/2017 11:12,,,,
"Govt Reports Announcements \\\\& Index (GRA\\\\&I), Issue 15, 2005",Yellowstone Grizzly Bear Investigations 1999.,"It was recognized as early as 1973, that in order to understand the dynamics of grizzly bears (Ursus arctos horribilis) throughout the Greater Yellowstone Area, there was a need for a centralized research group responsible for collecting, managing, analyzing, and distributing all data. To meet this need, agencies formed the Interagency Grizzly Bear Study Team (IGBST), a cooperative effort among the U.S. Geological Survey, National Park Service, U.S. Forest Service, U.S. Fish and Wildlife Service (USFWS), and the States of Idaho, Montana, and Wyoming. The responsibilities of the IGBST are to: (1) conduct both short and long-term research projects addressing information needs for bear management, (2) monitor the bear population, including status and trend, numbers, reproduction, and mortality, (3) monitor grizzly bear habitats, foods, and impacts of humans, and (4) provide technical support to agencies and other groups responsible for the immediate and long-term management of grizzly bears in the Greater Yellowstone Area.",18/07/2017 11:12,,,,
Fisheries Management and Ecology,Night sampling improves indices used for management of yellow perch in Lake Erie,"Catch rate (catch per hour) was examined for age-0 and age-1 yellow perch, Perca flavescens (Mitchill), captured in bottom trawls from 1991 to 2005 in western Lake Erie: (1) to examine variation of catch rate among years, seasons, diel periods and their interactions; and (2) to determine whether sampling during particular diel periods improved the management value of CPH data used in models to project abundance of age-2 yellow perch. Catch rate varied with year, season and the diel period during which sampling was conducted as well as by the interaction between year and season. Indices of abundance of age-0 and age-1 yellow perch estimated from night samples typically produced better fitting models and lower estimates of age-2 abundance than those using morning or afternoon samples, whereas indices using afternoon samples typically produced less precise and higher estimates of abundance. The diel period during which sampling is conducted will not affect observed population trends but may affect estimates of abundance of age-0 and age-1 yellow perch, which in turn affect recommended allowable harvest. A field experiment throughout western Lake Erie is recommended to examine potential benefits of night sampling to management of yellow perch.",18/07/2017 11:12,,,,
Bird Conservation International,Conserving the Seychelles Warbler Acrocephalus sechellensis by translocation: a transfer from Cousin Island to Aride Island,"The Seychelles warbler Acrocephalus sechellensis was once a highly threatened single-island endemic species with a population of 26 individuals confined to Cousin Island in the inner Seychelles. Following long-term management of Cousin, the population steadily recovered to around 300-360 birds. Given the vulnerability of one small island in the Indian Ocean, the possibility of establishing the species on additional islands had been proposed as a priority conservation measure, in order to give the species the security of additional breeding populations, lest some ecological disaster should befall the parent population. Successful translocation of warblers to the islands of Aride and Cousine took place in September 1988 and June 1990 respectively. Given the presence now of three healthy breeding populations, it is considered that the Seychelles warbler will soon no longer be a globally threatened species. It is not often that people are allowed to pull a species so dramatically back from the brink of extinction.",18/07/2017 11:12,,,,
Ibis,Breeding of the Seychelles Magpie Robin Copsychus sechellarum and implications for its conservation,"The total population of the Seychelles Magpie Robin Copsychus sechellarum declined from 38-41 birds in 12-13 territories in 1977- 1978 to 17-21 birds in eight to nine territories in 1988-1990 and was entirely confined to Fregate Island (210 ha) in the Seychelles. After a successful cat eradication program in 1981-1982, recruitment improved, although the abandonment of agriculture had caused a reduction in the amount of feeding habitat and hence in the carrying capacity of the island. The population declined because of the failure of recruitment to compensate for the annual adult mortality. Foraging activity of the Magpie Robin was greater in high- quality territories (measured by soil invertebrates available), leading to increased reproductive success. Through supplementary feeding, five times as many recruits were produced. Of the 11.5 potential annual breeding recruits. 5.3 are required to compensate for adult mortality, and the other 6.2 recruits can be regarded as 'surplus' contributing to an increase. Magpie Robins prefer to breed in rotten trees, which are a scarce resource. The greater the distance between the nest site and feeding areas, the less time was spent in incubation and nest guarding, resulting in greater egg loss. Because of lack of suitable areas for establishing territories, many young Magpie Robins became 'floaters'. Nest disturbance, both by these floaters and by the introduced Indian Mynah Acridotheres tristis, had adverse effects on the breeding success of robins. A recovery plan has been designed to save the Magpie Robin. Territories have been improved for feeding (by tree planting) and for breeding (by providing nestboxes and reducing nest disturbances). Given the vulnerability of one small island, the presence of surplus birds (supported mainly by supplementary food) and the suitability of neighbouring Aride Island (68 ha), successful translocations to this island took place in 1992 and 1994. Given the presence now of 47 individuals on two islands, it is hoped that the species will pull back from the brink of extinction.",18/07/2017 11:12,,,,
Oecologia,"Dietary shifts, niche relationships and reproductive output of coexisting Kestrels and Long-eared Owls","Food samples of breeding Kestrels (Falco tinnunculus) and Long-eared Owls (Asio otus) were collected in the peak and low phase of their preferred prey (Microtus voles) in western Finland. Diets of pairs that bred as neighbours (1 km) with interspecifics were compared with those of non-neighbours. In both species, neighbouring pairs fed less on Microtus voles and more on alternative prey than did non-neighbours. Competition theory predicts that diet overlap should be lower during prey shortage and that diet similarity should be especially reduced in neighbouring pairs. Observations were consistent with expectations: diet similarity was lower in the low vole years and neighbouring pairs showed less diet overlap that non-neighbours. Differences in habitat composition and prey availability at the sample sites should not confuse the results. In addition to the high diet similarity, hunting habitats and nest sites of the species overlapped almost completely; they only showed clear temporal segregation in hunting. Probably because of food competition, the neighbouring pairs of both species produced significantly fewer young than the non-neighbours. These results contrast with the view that the diet composition and dietary shift of rodent-feeding predatory birds can be interpreted in terms of simple opportunistic foraging. In the breeding season, interspecific competition for food seems to be an important factor that affects the niches of these species, especially in northern areas, where the seasonal low phase of voles in spring and the number of alternative prey are lower than in more southern areas.",18/07/2017 11:12,,,,
Ecoscience,"Interactions between cougars (Puma concolor) and gray wolves (Canis lupus) in Banff National Park, Alberta","Large carnivore populations are recovering in many protected areas in North America, but the effect of increasing carnivore numbers on existing predator\\u2013prey and predator\\u2013predator interactions is poorly understood. We studied diet and spatial overlap among cougars (Puma concolor) and gray wolves (Canis lupus) in Banff National Park, Alberta (1993\\u20132004) to evaluate how wolf recovery in the park influenced diet choice and space use patterns of resident cougars. Cougars (n = 13) and wolves (n = 8 in 2 packs) were monitored intensively over 3 winters (2000\\u20132001 to 2002\\u20132003) via radio telemetry and snowtracking. We documented a 65\\\\% decline in the local elk population following the arrival of wolves, with cougars concurrently switching from a winter diet primarily constituted of elk to one consisting mainly of deer and other alternative prey. Elk also became less important in wolf diet, but this latter diet switch lagged 1 y behind that of cougars. Wolves were responsible for cougar mortality and usurping prey carcasses from cougars, but cougars failed to exhibit reciprocal behaviour. Cougar and wolf home ranges overlapped, but cougars showed temporal avoidance of areas recently occupied by wolves. We conclude that wolves can alter the diet and space use patterns of sympatric large carnivores through interference and exploitative interactions. Understanding these relationships is important for the effective conservation and management of large mammals in protected areas where carnivore populations are recovering.",18/07/2017 11:12,,,,
African Journal of Ecology,"Rodent assemblage in a habitat mosaic within the Valley Thicket vegetation of the Eastern Cape Province, South Africa","We sampled small mammal assemblage in a mosaic of Valley Thicket vegetation in the Great Fish River Reserve during the summers of 2001 and 2002. Assemblage was dominated by seven rodent species with a single nonrodent species (Elephantulus edwardii) in the 357 trapped specimens. Rhabdomys dilectus was the most abundant in both years, followed by Mus minutoides (ranking 2nd in 2001) and Mastomys coucha (2nd in 2002). These three species, which are widespread generalists, made up 85.0\\\\% of the total rodent catch in 2001 and 74.3\\\\% in 2002. Individual species were captured on 2-14 sites of a total of 17 and M. minutoides was the most widespread. The majority of samples consisted of two (ten sites in a pooled sample for 2 years) or three species (ten sites). Significant morphological structuring was found only in two-species samples. Species turnover was high both among sites and between the 2 years. We found no evidence of significant nested structure which would suggest hierarchical sets of ecological relationships among the species. Vegetation structure explained better than species interactions, the population variables in the rodent assemblage.",18/07/2017 11:12,,,,
Estonian Journal of Ecology,Population trends of common birds in Estonia in 1983\\\\^{a}\\u20ac\\u201c2010,"The paper presents the set-up and development of a common bird monitoring scheme in Estonia in 1983\\2262010. The point-count survey of widespread terrestrial bird species was undertaken to measure long-term population changes and to produce indicators of the condition of habitat types and the wider environment. The scheme has been mostly run by skilled volunteers of the Estonian Ornithological Society. The method applied is point counting on freechoice routes and without limiting recording distance. In the Estonian scheme, each count route consists of 20 points, with 5-minute stops at least 200 m apart. In total, 143 point count routes have been in use by 89 active birdwatchers and professional ornithologists in the course of 28 years. Yearly abundance indices for 87 bird species were calculated using TRIM software. The most evident changes in bird numbers were the declines detected in 1992\\2261996 among farmland species, and in 2007\\2262010 among farmland and woodland species. The long-term population trends (1975\\2262010) in four countries around the Baltic Sea depend on the migratory strategy of bird species. Among trans-Saharan migrants the proportion of declining species was much higher in comparison with short-distance migrants and sedentary species. A marked difference between these countries was found among sedentary bird species \\226 with up to 2/3 of species with increasing trends in Finland and less than 1/3 in Denmark, Sweden, and Estonia. There is a growing interest in using the results of the scheme both at the national and the international scale (PECBMS).",18/07/2017 11:12,,,,
Biotropica,Catastrophic population declines and extinctions in neotropical harlequin frogs (Bufonidae: Atelopus),"We surveyed the population status of the Neotropical toad genus Atelopus, and document recent catastrophic declines that are more severe than previously reported for any amphibian genus. Of 113 species that have been described or are candidates for description, data indicate that in 42 species, population sizes have been reduced by at least half and only ten species have stable populations. The status of the remaining taxa is unknown. At least 30 species have been missing from all known localities for at least 8 yr and are feared extinct. Most of these species were last seen between 1984 and 1996. All species restricted to elevations of above 1000 m have declined and 75 percent have disappeared, while 58 percent of lowland species have declined and 38 percent have disappeared. Habitat loss was not related to declines once we controlled for the effects of elevation. In fact, 22 species that occur in protected areas have disappeared. The fungal disease Batrachochytrium dendrobatidis has been documented from nine species that have declined, and may explain declines in higher elevation species that occur in undisturbed habitats. Climate change may also play a role, but other potential factors such as environmental contamination, trade, and introduced species are unlikely to have affected more than a handful of species. Widespread declines and extinctions in Atelopus may reflect population changes in other Neotropical amphibians that are more difficult to survey, and the loss of this trophic group may have cascading effects on other species in tropical ecosystems.",18/07/2017 11:12,,,,
"Estuarine, Coastal and Shelf Science",The effects of altered freshwater inflows on catch rates of non-estuarine-dependent fish in a multispecies nearshore linefishery,"In KwaZulu-Natal on the east coast of South Africa, the commercial and recreational boat-based linefishery is the largest fishery accounting for 1235 t (40\\\\%) of the total landed mass there. In particular, the Thukela Banks are where most fishing takes place. Numerous developments ranging from dams to inter-basin transfer schemes either exist or have been proposed for the Thukela River, which is the largest of 17 catchments entering the sea in the region and provides over 40\\\\% of the mean annual runoff. Exploratory analyses of the relationships between monthly flows and catch-per-unit-effort were performed using spectral analysis and general linear models on a data set comprising 17 years of monthly commercial catch-and-effort data for 140 species and monthly flow data from 17 catchments. Catchments having a significant influence on catches were those providing the bulk of the runoff volume (75\\\\%) reaching the sea. Significant relationships existed between flow and the catches of 14 species, which provided over 90\\\\% of the total linefish catch on the Thukela Banks. Time lags between flow events (wet and drought periods) and changes in catch-per-unit-effort corresponded in many cases to age at 50\\\\% maturity and/or age-at-first-capture of the species concerned. Under a future maximum-development scenario, corresponding to a 44\\\\% reduction in flow from the Thukela River, catches of slinger Chrysoblephus puniceus and squaretail kob Argyrosomus thorpei are forecast to decline by 36\\\\% and 28\\\\% respectively. These two species currently provide over 50\\\\% of the landed mass on the Thukela Banks. Some species should respond positively to a reduction in flow, but any increases in their catches will be negligible, falling within natural variability, and will be insufficient to offset losses of other species because their abundance is naturally low or has been fished down to low levels. National legislation requires that sufficient freshwater flows be set aside to protect ecosystems, so these findings have important management implications, as marine needs for freshwater flows have not previously been addressed.",18/07/2017 11:12,,,,
Wildfowl,Status and distribution of Pacific Brent Geese Branta bernicla nigricans wintering in Japan,"Seasonal abundance and distribution of Pacific Brent Geese wintering in Japan were assessed by examining data collected on a monthly basis by the Japanese Association for Wild Geese Protection over six winters (1989-90 to 1994-95). Peak numbers of up to 4,000 Brent Geese occurred at two sites in eastern Hokkaido each October. By January none remained in this area and only 300-500 stayed in Japan at wintering sites in southern Hokkaido and northern Honshu. An examination of data collected during an annual January census by the Environment Agency of Japan suggested that these numbers have changed little over the last 25 years and there is no evidence of a decline. In January and February 1995 we surveyed 717 km of coastline in northern Japan to try and locate the remaining population, but found only another 162 individuals. We speculate that the majority of Brent Geese wintering in northeast Asia migrate in late autumn from eastern Hokkaido to sites in the Korean Peninsula and in China, although during a seven day survey of the southern coastline of Korea in January 1996 we found only 19 Brent Geese.",18/07/2017 11:12,,,,
Biological Conservation,Status and conservation of the gray wolf (Canis lupus) in wildlife reserves of Qu\\\\'{e}bec,"Wolf populations have been relatively stable during the last 15 years in seven of nine wildlife reserves located in southern Qu\\\\'{e}bec, despite harvest by legal trapping. Wolf densities, estimated via hunter surveys and an equation linking questionnaire data and radio-tracking data, varied between 0.7 and 2.2 animals/100 km2. In some reserves, wolf populations persisted at ca. 1 individual/100 km2 with low prey densities (i.e. \\\\&lt;2 moose/10 km2). Long-term density and trapping data indicated that wolf populations frequently sustained annual harvest rates exceeding 35\\\\% without experiencing population declines. However, such systems appeared unstable, especially for reserves \\\\&lt;1500 km2 in size. Immigration from adjacent areas likely contributed to the persistence of wolf populations in reserves that experienced harvest rates \\\\&gt;35\\\\%. Although the viability of wolf populations in southern Qu\\\\'{e}bec seems not to be threatened by trapping, some wildlife reserves act as population sinks, instead of sources, for wolves. The long-term conservation of wolves requires reduction of harvests in some reserves, and simultaneous monitoring of wolf populations outside wildlife reserves.",18/07/2017 11:12,,,,
Alces,Status of Moose Populations and Challenges to Moose Management in Fennoscandia,"In the Fennoscandian countries, Norway, Sweden, and Finland, moose (Alces alces) populations began to increase rapidly in the 1960s and have since then been among the most productive and heavily harvested moose populations in the world. At the start of the 20th century, the total annual harvest was < 10,000 moose, whereas in 2000, the annual kill reached about 200,000. The winter population was estimated to be about 500,000. In Sweden and Finland, the highest harvest numbers (and presumably population density) were recorded in the first half of the 1980s and in Finland again in the late 1990s and during the beginning of the 2000s. In Norway, the 1990s was the decade of the highest harvest numbers. The current regional moose density during winter varies from < 0.2 to about 2 moose/km2 this level in typical wintering areas (e.g., 5-6 moose/km2 within Fennoscandia. Locally, the density may far exceed ). In general, the current densities are lower in the north than in the south and higher in Norway and Sweden than in Finland. The strong increase in harvest and the present high densities are explained by several factors. First, modern forestry clear-cutting practices have provided Fennoscandian moose with prime habitats in the form of early succession stages. Accordingly, the current carrying capacity is likely to be relatively high compared to the situation 50-100 years ago. The current trend, however, is towards less activity in the forest and a decreasing proportion of forests found at an early successional stage. This may increase the food limitation already seen in several populations; i.e., in all three countries, body mass and recruitment rates have been found to decrease with increasing density. Second, the introduc- tion of sex and age-specific harvesting in the early 1970s has increased the general productivity of the populations. By focusing the harvest on calves, yearlings, and adult males, the proportion of productive females, the mean age of females, and the annual recruitment rate have increased. Simultaneously, the proportion and mean age of males have decreased, and in some populations, this has been associated with delayed parturition dates and lower fecundity; i.e., due to inadequate number of males for timely reproduction. Third, mortality other than hunting is low, and only near the eastern border of Finland with Russia has predation by wolves and bears had a notable effect on productivity figures. This situation is about to change with increasing populations of large carnivores in all of Fennoscandia during the 1990s. The management principles have been quite similar within Fennoscandia, although differences in legislation have resulted in national and regional differences in management performance. In general, moose managers take advantage of data collected by hunters during the hunting season (e.g., hunting statistics, number, sex, and age of moose observed) to monitor population development and determine hunting quotas. Moreover, in all three countries, the issues of traffic accidents and damage to forestry and agriculture play a central role in moose management and discussions concerning optimum population sizes.",18/07/2017 11:12,,,,
Journal of Wildlife Management,Turnover rates of fall-migrating pectoral sandpipers in the lower Mississippi Alluvial Valley,"Knowledge of the length of time spent at migratory stopover sites, or stopover duration, can help biologists estimate the total number of birds passing through a site, which in turn can be used to estimate population size. We estimated the stopover duration for 106 radiomarked pectoral sandpipers (Calidris melanotos) in the Lower Mississippi River Alluvial Valley (MAV) during fall migrations in 2001 and 2002. We estimated time-at-site-after-capture by tracking radiomarked birds daily to determine their time of departure from stopover sites. We used length-biased sampling and program DISTANCE to estimate stopover duration from time-at-site-after-capture. Our estimate of stopover duration for pectoral sandpipers in the MAV over all sites and both years was 10.0 days (95\\\\% Cl = 8.2-11.7). Aerial telemetry relocations from 2002 indicated that many pectoral sandpipers used multiple stopover sites during their migration through the MAV, which suggested that the total time spent by pectoral sandpipers in the MAV during fall migration, or turnover rate, was,longer than the stopover duration. Future research should focus on estimating the number of stopover sites used by pectoral sandpipers and determine whether other shore-bird species use multiple sites as well. If shorebirds migrating through the MAV stay in the region for a period longer than the 10 days suggested by the Lower Mississippi Valley joint Venture (LMVJV) Migratory Bird Science Team in their modeling of shorebird energetic requirements then more habitat may be required by shorebirds during fall migration than the 2,000 ha the group calculated for the MAV.",18/07/2017 11:12,,,,
Biological Conservation,Destruction of antarctic terrestrial ecosystems by a rapidly increasing fur seal population,"The terrestrial environment of Signy Island, South Orkney Islands, maritime Antarctic, is undergoing rapid and possibly irreversible change caused by a natural biological agent. During the past decade there has been a dramatic increase in the number of Antarctic fur seals Arctocephalus gazella coming ashore on the island during the short summers. It is not known whether significant numbers of seals were present on the island prior to the initiation of commercial hunting in the early 1820s. The impact that the continuing increase of these seals had made on the island's terrestrial and freshwater environments has been sudden and locally devastating. The fragile cryptogam-dominated vegetation has suffered physical damage from which it may be impossible to recover. These seals are also frequenting several of the island's freshwater lakes which are becoming increasingly eutrophic. The long-term implications of this impact are causing serious concern for the future of the lowland terrestrial and freshwater ecosystems on Signy Island if the fur seal population continues to increase.",18/07/2017 11:12,,,,
Journal of Animal Ecology,Numerical fluctuations in the northern short-tailed shrew: Evidence of non-linear feedback signatures on population dynamics and demography,"1. We studied a fluctuating population of the northern short-tailed shrew (Blarina brevicauda) in the Appalachian Plateau Province of Pennsylvania, USA, spanning 21 years of monitoring. We analysed the pattern of annual temporal variation fitting both time-series models and capture\\u2013mark\\u2013recapture (CMR) statistical models for survival and recruitment rates. 2. Wedeterminedthatnon-linearfirst-ordermodelsexplainalmost80\\\\%ofthevariation in annual per capita population growth rates. In particular, a non-linear self-excited threshold autoregressive (SETAR) model describes the time-series data well. Average snowfall showed positive and non-linear effects on population dynamics. 3. The CMR statistical models showed that a non-linear threshold model with strong effects of population density was the best one to describe temporal variation in survival rates. On the other hand, population density or climatic variables did not explain temporal variation in recruitment rates. Survival rates were high during the study period. Weekly changes in population size attributable to new recruits entering in the population fluctuate between 21\\\\% and 0\\\\%, while the changes in population size related to survival fluctuate between 79\\\\% and 100\\\\%. 4. Two important results arise from this study. First, non-linear models with first-order feedback appear to capture the essential features of northern short-tailed shrew dynamics and demography. Secondly, climate effects represented by snowfall appear to be small and non-linear on this insectivore. The population dynamics of this shrew in the Appalachian Plateau are determined apparently by a strong non-linear first-order feedback process, which is related to survival rates. 5. This study links population dynamics and demography by detecting the underlying demographic mechanisms driving population dynamics. The feedback structure of this shrew suggests the existence of population dynamics dominated by intraspecific com- petitive interactions, such as aggression, solitary nesting, non-overlapping home ranges and territoriality.",18/07/2017 11:12,,,,
Biological Conservation,"Conservation implications of long-term population trends, environmental correlates and predictive models for Namaqua sandgrouse Pterocles namaqua","Hunting bag data for Namaqua sandgrouse Pterocles namaqua from an estate near Kimberley, South Africa, for the period 1907-1992 were analysed to investigate population trends, environmental correlates and to develop predictive models for population fluctuations An apparent population decline between 1950 and 1992 may be an artifact of increased sandgrouse dispersion in response to an increased number of artificial watering points on the estate, and in the surrounding area, during this latter period. Peaks in sandgrouse abundance are significantly negatively correlated with December rainfall and significantly positively correlated with March rainfall. Furthermore, annual sandgrouse abundance and March rainfall showed similar peaks at four-year cycles during 1909-1939. Therefore, a rainfall 'score' which takes cognizance of both December and March rainfall is useful for predicting annual sandgrouse abundance before the forthcoming hunting season. However, correct predictions of low sandgrouse abundance were more common than correct predictions of high sandgrouse abundance. These environmental correlates and predictive models are useful for forecasting the annual viability of commercial hunting of these populations.",18/07/2017 11:12,,,,
Southeastern Naturalist,Demography of a Southern Population of the Spotted Turtle (Clemmys guttata),"The Spotted Turtle (Clemmys guttata) is declining throughout its range in eastern North America as a result of habitat loss and collection for the pet trade. Although the species has been relatively well-studied in the northern part of its range, little is known about southern populations. We conducted a four-year study on a population of Spotted Turtles in South Carolina. A total of 44 turtles were captured: 21 females, 17 males, 5 juveniles, and 1 hatchling. There was no size dimorphism with respect to carapace length. However, females had longer plastrons, greater shell heights, and heavier body masses than males, likely as a result of the concavity of the male plastron. The adult sex ratio did not differ from 1:1. Estimated adult population size varied annually from 31 to 36 turtles, and density was estimated at 0.36 turtles/ha. This information is important for the creation of management plans to conserve populations across the Spotted Turtle\\u2019s range.",18/07/2017 11:12,,,,
