"","Search","Title","Abstract","DOI","EID","SE_index","p","Relevance"
"712","bird_palearctic","Goose and swan numbers in the Netherlands, 1990-95 [Ganzen en zwanen in Nederland in 1990-95]","This paper summarises results of goose and swan counts in The Netherlands from 1990/91 through 1994/95 presenting information on numbers and percentage of first-year birds (Tabs 2-13), trends (Fig 2). seasonal patterns (Fig. 3) and spatial distribution (Fig 4). A mid-monthly counting scheme runs from October to March (all species, both geese and swans), additional counts being organised for Greylag Geese in Semptember and Brent Geese in May (Tab. 1). Prior to 1993, only geese were taken into account whereas census work was mainly undertaken during periods of peak-occurrence of the various species. Seven goose and three swan species occur as regular visitors to The Netherlands. Most abundant species are White-fronted, Greylag, Barnacle and Brent Geese. In all species numbers recorded are of international importance (Tab. 13). Occurrence of Bewick's Swan and Pink-footed, White-fronted, Greylag, Barnacle and Brent Geese highlight the important position of the Netherlands in the West-Palearctic network of flyways. The entire Svalbard population of Pinkfooted Goose stages in the Netherlands in autumn (November). Since the 1960s most species have shown a marked increase (Fig. 2). This trend conforms with overal West-Palearctic trends, often attributed to better protection measures (lower hunting pressure), improvement of feeding habitats in winter and/or changes in flyways. Results of Dutch counts suggest that in most species population growth has levelled off during the 1990s. Fluctuations in numbers over the past decades may be due to severe winter conditions, resulting in an influx of species which regularly winter in the Baltic or eastern Europe (e.g. Whooper Swan, Tundra and Taiga Bean Goose), or in an efflux of birds wintering in The Netherlands to the British Isles and Belgium and northern France (e.g. Bewick's Swan, White-fronted Goose). Since there were no severe winters during 1990/91-1994/95 (Fig. 1), goose and swan numbers as well as seasonal patterns and distribution throughout the country refect the situation in mild winters. The series of mild winters from 1986/87 onwards, eventually may have contributed to increasing numbers of wintering Bewick's Swans and Greylag Geese, whereas numbers of Whooper Swan and Taiga and Tundra Bean Geese have dropped to a lower level as compared to the 1980s.",NA,"2-s2.0-0031669248",51,0.740698458554578,1
"87","bird_palearctic","A tropical volcano, high predation pressure, and the breeding biology of Arctic waterbirds: A circumpolar review of breeding failure in the summer of 1992","Although periodic breeding failures of Arctic-nesting birds on a regional scale are common, a breeding failure encompassing almost the entire Arctic in the same year is exceptional. In the spring and summer of 1992, however, the aerosol cloud resulting from the 1991 eruption of Mount Pinatubo (Philippines) had reached the high northern latitudes and caused significant cooling in most of the Arctic, with widespread negative consequences for Arctic-breeding birds. At the same time, low abundance of small rodents and high abundance of predators presented additional problems for breeding birds in parts of the Palearctic. We compiled data on breeding biology of Arctic waterfowl and waders from more than 30 field studies to illuminate in what ways the circumpolar bad weather and predation influenced the breeding season of Arctic birds in 1992. Most projects reported a higher proportion of nonbreeders and a delayed onset of nest initiation compared to other years. Hatching and fledging success of the low number of late breeders was reduced. In addition, some projects reported lower clutch sizes and increased adult mortality. Detailed data from field studies are complemented by data on overall reproductive success of waterfowl and wader populations collected from staging and wintering grounds. In total, there was an almost complete reproductive failure for waders and waterfowl throughout the Arctic in 1992, suggesting a short-term effect on global waterbird populations. This is an example of climatic fluctuations influencing reproductive biology of a group of species on a circumpolar scale.","10.14430/arctic859","2-s2.0-0033675997",39,0.803868275833811,0
"107","bird_palearctic","Studies of West Palearctic birds: Turtle dove","The Turtle Dove Streptopelia turtur has declined, in terms of both range and abundance, throughout much of northern Europe over the last 30 years. Until recently, the species was relatively poorly studied in the modern agricultural landscape in Britain. Concerns over its conservation status prompted an intensive research programme to gather information on its breeding ecology, identify the causes of the recent decline and make recommendations to aid its recovery and conservation. Turtle Doves require tall, overgrown bushes for nesting and short weed-rich areas for feeding, but agricultural intensification has markedly reduced the availability and suitability of these habitats. Over the last 40 years, Turtle Doves have switched from foraging in 'natural habitats' to those created by humans, and their diet is now primarily seeds from cultivated plants. The number of chicks fledged per pair per year is today almost half that in the 1960s, while autumn migration has become significantly earlier. Many management options to help to conserve the species can be achieved within the current UK agri-environment policy framework. © British Birds 98.",NA,"2-s2.0-14244269812",19,0.748725055125462,1
"1110","bird_palearctic","The decline of raptors in West Africa: Long-term assessment and the role of protected areas","Comparative large-scale roadside counts (8353 km), through Burkina Faso, Mali and Niger, conducted in 1969-73, were repeated 30-35 years later with the same observer and methodology and at the same season. The transect was divided into three geographical zones and between protected and unprotected areas. All diurnal raptors were recorded (22 801 individuals), as well as large game birds. Large vultures suffered a dramatic decline (98%) outside protected areas. The Hooded Vulture Necrosyrtes monachus population also collapsed in some regions, but survived in central Burkina Faso. Conversely, their abundance index did not decrease significantly in national parks. Four eagle species decreased by 86-93% and seven were not even recorded in the later study outside protected areas; by contrast, in national parks, only three species had declined marginally. Smaller Accipitridae (kites, goshawks, buzzards) also exhibited significant declines outside but not within national parks where woodland species reached their highest densities. The Common Kestrel Falco tinnunculus, mostly European migrants, declined sharply everywhere. African falcons decreased only outside protected areas. Among Palearctic migrants, Montagu's Circus pygargus and Pallid Harriers C. macrourus decreased significantly, Short-toed Eagle Circaetus gallicus less markedly, and Marsh Harrier Circus aeruginosus and Booted Eagle Hieraaetus pennatus not at all. Similar trends had previously been documented in Cameroon. They are associated with human population growth and development, global habitat degradation and ecosystem impoverishment (woodcutting, agricultural intensification, overgrazing, desertification). Heavy use of pesticides, control of locust outbreaks and overhunting have suppressed major food sources. Vultures may suffer from a shortage of carcasses, poisoning for predator control or persecution for trade of meat and body parts. Protected areas play a prominent role in the maintenance of vulture and eagle populations, even though they currently cover less than 2% of the Sudan zone and are virtually absent in the Sahel. © 2006 British Ornithologists' Union.","10.1111/j.1474-919X.2006.00531.x","2-s2.0-33645851938",32,0.805740248803276,1
"126","bird_palearctic","Post-breeding dispersal, breeding site fidelity and migration/wintering areas of migratory populations of Song Thrush Turdus philomelos in the Western Palearctic","Song Thrush Turdus philomelos ring recovery data gathered over 90 years in central, north and east Europe were analysed in their breeding zones and in 14 migration/wintering areas in Europe, North Africa and the Near East. Few post-breeding movements were over 20 km before the end of September. Subsequent- year breeding site fidelity was high in May to August. Migratory T p philomelos moved southwest in autumn on a broad front. Scandinavian and northwest Russian birds moved down the northwest coast of continental Europe arriving in large numbers in southwest France in October; many adults then moved on to winter in west Iberia. Those ringed in central Europe, from Switzerland to Belarus, tended to follow the Rhine–Rhône route to the French Mediterranean before dispersing to winter in east Iberia, the Balearics and Algeria. Southeast European birds moved to north and west Italy in the autumn/early winter, many adults moving on to Corsica or Sardinia. Birds breeding in the Netherlands and northwest Germany appear to have two migration patterns. A short-distance group dispersed through Belgium to northwest France in autumn/early winter, moving on to England and Wales in late winter. A long-distance group migrated to southeast Biscay in October, many then moving on in midwinter to west Iberia. Recoveries of birds ringed in the Netherlands and northwest Germany showed a change to a more sedentary population after 1989, raising the possibility that the less migratory T p clarkei has increased in abundance relative to T p philomelos in this area. Subspecific identification would be useful to assess future changes in range boundaries of philomelos and clarkei within northern Europe. © 2006 British Trust for Ornithology.","10.1080/03078698.2006.9674340","2-s2.0-33745113749",24,0.78888457536,0
"136","bird_palearctic","Occurrence of Long-tailed Skuas Stercorarius longicaudus at Hardangervidda [Forekomsten av fjelljo Stercorarius Longicaudus på Hardangervidda]","In the Western Palearctic, the southernmost regular breeding area of Long-tailed Skuas is found at Hardangervidda mountain plateau, south Norway. Up to now, available information has indicated that the species only occurs in small numbers in this area (maximum four nests found in 1966). In 2001 and 2002 high abundances of small rodents were observed at Hardangervidda. We then found 12 and 9 nesting pairs of Long-tailed Skuas, respectively. In addition, one nest was found by other observers in both years, and several birds were observed in areas that we did not manage to cover, suggesting that at least 15 pairs may have bred in 2001. The whole area was not covered in 2002, but observations of clutch size and nest density indicated similar numbers of breeding pairs. Most breeding pairs were in both years concentrated within an area of about 20 km2. The density here was similar to what is reported from more central parts of the species range in Fennoscandia (mean neighbouring distance = 815 m, 0.83 pairs/km2; Fig. 2). No birds were observed at all in 2003, probably due to very low small rodent abundance, although the area was only visited once this summer. Compared with previous reports, our observations suggest that the Long-tailed Skua population has increased at Hardangervidda during the last few decades.",NA,"2-s2.0-33750839359",11,0.828587897929829,1
"145","bird_palearctic","Golden Eagle Aquila chrysaetos in south Sahara [L'Aigle royal Aquila chrysaetos au Sud du Sahara]","Isolated breeding populations of Golden Eagle were studied in south Saharan mountains of Mali and Niger (from 2000 to 2006). Laying started during the dry season (mean laying date: 11 November; n = 11). The mean nearest neighbour distance was 14.8 km (n = 5). Out of 22 territory-years, 11 successfull breeding attempts gave 1 fledgling in 6 cases and 2 in the other 5 cases. Such a high breeding success was related to the abundance of hares (Lepus sp.) in the diet (79% of prey items; n = 52). Status of the Golden Eagle, a rare palearctic species in a sahelian and afrotropical fauna, contrasts with the decline of other raptor species in the Sahel, but the future of the species remains uncertain because of its isolation and human persecution.",NA,"2-s2.0-33845983660",36,0.74475840700669,1
"157","bird_palearctic","Influence of climate change on the abundance, distribution and phenology of woodland bird species in temperate regions","There is now overwhelming evidence that an increase in the concentration of greenhouse gases in the Earth's atmosphere has caused global temperatures to increase by 0.6°C since 1900 and further increases of between 1.4 and 5.8°C are predicted over the next century. Changes in climatic conditions have already influenced the demography, phenology and distribution of a wide range of plant and animal taxa. This review focuses on the impacts, both observed and potential, of climate change on birds breeding in temperate woodlands of the Western Palaearctic, a significant proportion of which are currently declining. Changes in ambient temperatures and patterns of precipitation may have direct and indirect effects on the survival rates and productivity of bird species, thus influencing population sizes. For some species or populations, the timing of events such as egg-laying and return from the wintering grounds is also changing in relation to shifts in the peak of food availability during the breeding season. The degree to which different individuals are able to track these temporal changes will have a significant bearing on population sizes and distributions in the future. Unless active management steps are taken, the relatively low dispersal rates of tree species may lead to a decrease in the total area of some woodland habitat types as losses at the southern edge of the range are likely to occur much more quickly than expansion at the northern edge. In addition, the dispersal rates of many woodland birds are themselves low, which could affect their ability to move to new habitat patches if currently occupied areas become unsuitable. Thus, woodland birds may be particularly susceptible to the impacts of climate change. © 2007 The Authors.","10.1111/j.1474-919X.2007.00729.x","2-s2.0-36448972743",10,0.712234162784413,1
"167","bird_palearctic","Patterns of density, diversity, and the distribution of migratory strategies in the Russian boreal forest avifauna","Aim: Comparisons of the biotas in the Palaearctic and Nearctic have focused on limited portions of the two regions. The purpose of this study was to assess the geographic pattern in the abundance, species richness, and importance of different migration patterns of the boreal forest avifauna of Eurasia from Europe to East Asia as well as their relationship to climate and forest productivity. We further examine data from two widely separated sites in the New World to see how these conform to the patterns found in the Eurasian system. Location: Boreal forest sites in Russia and Canada. Methods: Point counts were conducted in two to four boreal forest habitats at each of 14 sites in the Russian boreal forest from near to the Finnish border to the Far East, as well as at two sites in boreal Canada. We examined the abundance and species richness of all birds, and specific migratory classes, against four gradients (climate, primary productivity, latitude, and longitude). We tested for spatial autocorrelation in both dependent and independent variables using Moran's I to develop spatial correlograms. For each migratory class we used maximum likelihood to fit models, first assuming uncorrelated residuals and then assuming spatially autocorrelated residuals. For models assuming unstructured residuals we again generated correlograms on model residuals to determine whether model fitting removed spatial autocorrelation. Models were compared using Akaike's information criterion, adjusted for small sample size. Results: Overall abundance was highest at the eastern and western extremes of the survey region and lowest at the continent centre, whereas the abundance of tropical and short-distance migrants displayed an east-west gradient, with tropical migrants increasing in abundance in the east (and south), and short-distance migrants in the west. Although overall species richness showed no geographic pattern, richness within migratory classes showed patterns weaker than, but similar to, their abundance patterns described above. Overall abundance was correlated with climate variables that relate to continentality. The abundances of birds within different migration strategies were correlated with a second climatic gradient - increasing precipitation from west to east. Models using descriptors of location generally had greater explanatory value for the abundance and species-richness response variables than did those based on climate data and the normalized difference vegetation index (NDVI). Main conclusions: The distribution patterns for migrant types were related to both climatic and locational variables, and thus the patterns could be explained by either climatic regime or the accessibility of winter habitats, both historically and currently. Non-boreal wintering habitat is more accessible from both the western and eastern ends than from the centre of the boreal forest belt, but the tropics are most accessible from the eastern end of the Palaearctic boreal zone, in terms of distance and the absence of geographical barriers. Based on comparisons with Canadian sites, we recommend that future comparative studies between Palaearctic and Nearctic faunas be focused more on Siberia and the Russian Far East, as well as on central and western Canada.","10.1111/j.1365-2699.2008.01954.x","2-s2.0-53949112445",15,0.598347449209879,0
"176","bird_palearctic","Elevational range and timing of breeding in the birds of Ladakh: The effects of body mass, status and diet","We studied the effects of body mass, status (resident or migratory) and diet on the breeding elevation range and timing of reproduction of the birds in the Trans-Himalayan region of Ladakh, northwestern India. Most of breeding birds of Ladakh are Palearctic or breed at high elevations in the mountains. There is a small proportion of Oriental species, and no bird is endemic to this region. We found that heavier birds tended to start their egg-laying earlier than lighter ones. Since body mass is related to the length of incubation and nesting periods, it would appear that one result of this phenomenon is that the time of peak demand for food for most birds coincides with peak food abundance in summer. Status affected the elevation of the breeding range, with resident birds tending to breed at higher elevations than summer visitors. Residents and summer breeders also differed significantly in their diet composition, with the former feeding mainly on plants and seeds, and the latter feeding on molluscs, insects and worms. © Dt. Ornithologen-Gesellschaft e.V. 2009.","10.1007/s10336-008-0369-8","2-s2.0-62549120737",18,0.636197078399859,0
"186","bird_palearctic","Independent colonization of multiple urban centres by a formerly forest specialist bird species","Urban areas are expanding rapidly, but a few native species have successfully colonized them. The processes underlying such colonization events are poorly understood. Using the blackbird Turdus merula, a former forest specialist that is now one of the most common urban birds in its range, we provide the first assessment of two contrasting urban colonization models. First, that urbanization occurred independently. Second, that following initial urbanization, urban-adapted individuals colonized other urban areas in a leapfrog manner. Previous analyses of spatial patterns in the timing of blackbird urbanization, and experimental introductions of urban and rural blackbirds to uncolonized cities, suggest that the leapfrog model is likely to apply. We found that, across the western Palaearctic, urban blackbird populations contain less genetic diversity than rural ones, urban populations are more strongly differentiated from each other than from rural populations and assignment tests support a rural source population for most urban individuals. In combination, these results provide much stronger support for the independent urbanization model than the leapfrog one. If the former model predominates, colonization of multiple urban centres will be particularly difficult when urbanization requires genetic adaptations, having implications for urban species diversity. © 2009 The Royal Society.","10.1098/rspb.2008.1712","2-s2.0-66749116754",12,0.390099992033152,0
"196","bird_palearctic","Marsh management, reserve creation, hunting periods and carrying capacity for wintering ducks and coots","Many wild species, like waterbirds, are exploited for their economic interests. At present, the annual western Palearctic duck bag is at least 17 million birds. From a sustainable management perspective, wetland users and managers request predictions of spatial distribution and abundance variations of these bird populations. The objective of this study was to analyze local factors potentially influencing the diurnal distribution and population size of wintering ducks and coots, the main game species, in Camargue (southern France). First, we showed that marshland surface area, salinity and hunting disturbance were the principal variables explaining the duck and coot distribution. Secondly, we tested the hypothesis that hunting disturbance would reduce the carrying capacity of the Camargue with two analyses: the effect of creating a protected area and the change of the hunting closing date. This hypothesis was not validated. Our study therefore led us to reconsider the research orientations on the carrying capacity in this wetland. The surface of protected day roosts seems presently sufficient in the Rhone delta. Consequently, to increase the population size with the same level of hunting disturbance at the scale of the Camargue, alternative strategies should be envisaged, such as the creation of nature reserves on nocturnal feeding ground or the creation of large management units with limited disturbance. © 2009 Springer Science+Business Media B.V.","10.1007/s10531-008-9562-6","2-s2.0-67649333129",21,0.668614755809502,0
"206","bird_palearctic","The status of the Fuerteventura Stonechat Saxicola dacotiae: A new evaluation using distance sampling and GIS","The status of the 'Endangered' Fuerteventura Stonechat Saxicola dacotiae, a western Palearctic single island endemic, was assessed 22 years after the first population estimate of 1, 300-1, 700 individuals was made by Bibby and Hill (1987). Using GIS and Distance Sampling methodologies, the population on Fuerteventura in 2008 was estimated at 1, 035 birds (832-1, 287) with the species more abundant on hillsides than in gullies. Within the island's three main massifs (i.e. north, west and south) the highest encounter rate was recorded in the northern massif. This study supports the category of 'Endangered' for this species, which does face the obvious threat from development, particularly in the south of the island. The species is also on the endangered list nationally (Spain) and in Europe but has not as yet been evaluated by the Canarian Government. I suggest, based on results of this study, that serious effort should be put in to improving knowledge of the distribution range of this endemic (either by modelling or by systematic visits to sites). An official monitoring programme should be developed and implemented with special attention paid to the three main mountain ranges of this island and particularly to the southern massif which is suffering the highest rate of habitat loss. © 2009 BirdLife International.","10.1017/S0959270908008289","2-s2.0-67749094912",16,0.783206151784332,0
"2110","bird_palearctic","Temporal changes to spatially stratified waterbird communities of the Coorong, South Australia: Implications for the management of heterogenous wetlands","The Coorong, South Australia, is a globally significant wetland system, listed in the Ramsar Convention under a number of different criteria, including its importance to waterbird populations. Based on annual waterbird censuses conducted between 2000 and 2007, spatiotemporal analyses revealed that significant differences in waterbird community structure exist along the length of the Coorong. This spatial diversity in community structure was also found to be temporally consistent over this 8-year period. The abundance of the most numerically dominant bird species, such as red-necked stint Calidris ruficollis and grey teal Anas gracilis, explained much of this spatial variation. However, comparisons between data collected for the Coorong south lagoon in 1985 and 2000-2007 show that dramatic changes in these waterbird communities have occurred over longer periods of time, with 23 of the 27 most common species having declined in this period by at least 30%. The Coorong still regularly supports globally important populations (>1% of global population) of nine waterbird taxa, including three Palearctic shorebirds, confirming its Ramsar status. The functional links between the overutilized Murray-Darling basin river system and the Coorong are discussed. © 2009 The Authors. Journal compilation © 2009 The Zoological Society of London.","10.1111/j.1469-1795.2009.00264.x","2-s2.0-70349585431",9,0.654296173509704,1
"236","bird_palearctic","Changes in Sahelian bird biodiversity and tree density over a five-year period in northern Nigeria","Capsule Two widespread censuses of already degraded woodland in the Sahel in Northern Nigeria separated by five years (2002 and 2007) showed relatively small further changes in tree and bird density. Aims To determine how change in tree density affects African and Palearctic migrant bird density in already degraded Sahelian woodland. Methods We compared differences in the number of bird species and their abundance with differences in the size and number of woody plants between two seasons separated by five years at 16 degraded woodland sites across 250 km east-west in northern Nigeria. Results Densities of large trees (>5 m) decreased, but densities of smaller trees and shrubs increased, partly as a consequence of growth and because larger trees have been preferentially removed or partly cut down; tree densities were, however, initially low. Of 37 common bird species, 16% had higher densities and 22% had lower densities, in the second study period. The density of Common Whitethroats, Northern Wheatears and Yellow Wagtails was correlated with the number and size of trees, but not that of Lesser Whitethroat and Subalpine Warbler. Overall there was relatively little turnover in species between the two surveys and if (the initially low) tree density was halved, only approximately 2.1% of the average total for number of bird species per 0.2 ha point would be lost. Conclusion Few large changes in bird species' density were found, possibly because: (1) all habitats sampled were already at relatively low tree density - initial reductions from high tree density or near removal of all trees may cause larger changes in local bird densities; (2) reduction in the number of large trees was partially compensated by a more lush development of the vegetation as a whole in the second study period; and (3) the bird species remaining in degraded Sahelian woodland in northern Nigeria are already well adapted to habitat change and low tree density. © 2010 British Trust for Ornithology.","10.1080/00063650903469514","2-s2.0-77953986692",30,0.770485977549933,1
"246","bird_palearctic","Spatial heterogeneity in distribution and ecology of Western Palearctic birds","Species vary in abundance and heterogeneity of spatial distribution, and the ecological and evolutionary consequences of such variability are poorly known. Evolutionary adaptation to heterogeneously distributed resources may arise from local adaptation with individuals of such locally adapted populations rarely dispersing long distances and hence having small populations and small overall ranges. We quantified mean population density and spatial heterogeneity in population density of 197 bird species across 12 similarly sized regions in the Western Palearctic. Variance in population density among regions differed significantly from a Poisson distribution, suggesting that random processes cannot explain the observed patterns. National estimates of means and variances in population density were positively correlated with continental estimates, suggesting that means and variances were maintained across spatial scales. We used Morisita's index of population abundance as an estimate of heterogeneity in distribution among regions to test a number of predictions. Heterogeneously distributed passerine bird species as reflected, by Morisita's index had small populations, low population densities, and small breeding ranges. Their breeding populations had been consistently maintained at low levels for considerable periods of time, because the degree of genetic variation in a subsample of non-passerines and passerines was significantly negatively related to heterogeneity in distribution. Heterogeneously distributed passerine species were not more often habitat specialists than homogeneously distributed species. Furthermore, heterogeneously distributed passerine species had high annual adult survival rates but did not differ in annual fecundity from homogeneously distributed species. Heterogeneously distributed passerine species rarely colonized urban habitats. Finally, homogeneously distributed bird species were hosts to a greater diversity of blood parasite species than heterogeneously distributed species. In conclusion, small breeding ranges, population sizes, and population densities of heterogeneously distributed passerine bird species, combined with their low degree of genetic variability, and their inability to colonize urban areas may render such species particularly susceptible to human-influenced global climatic changes. © 2010 by the Ecological Society of America.","10.1890/09-1300.1","2-s2.0-77956587575",6,0.700926082866016,0
"265","bird_palearctic","Rapid recovery of a depleted population of Little Bustards Tetrax tetrax following provision of alfalfa through an agri-environment scheme","The Little Bustard has undergone a steep reduction of its Western Palaearctic range over the last century. In the west of France, breeding populations declined by 96% from 1978 to 2008 in cultivated areas where grasslands have been converted into intensively managed annual crops. Little Bustard abundance and nest productivity have been monitored since 1995 in a 450-km2 site in western France. We assessed the proximate causes of the decline of Little Bustards in French farming landscapes and quantified the effectiveness of conservation measures that aimed to reverse the decline. The decline of Little Bustard, from about 65 males in 1995 to just six males in 2003, could be related to a near absence of recruitment over this period. Since 2004, the establishment of more than 1300 ha of specifically targeted agri-environment schemes (AES) in the study site has led to a sharp increase in female productivity, mainly associated with nesting in AES fields. By imposing constraints on mowing dates, AES have prevented nest destruction and female mortality during mowing and, by increasing plant species diversity, provided chicks with a higher abundance of grasshoppers. This has contributed to reversing the trend, and increasing the population to around 30 males in 2009. Conservation strategies involving specifically targeted AES based on the identification of limiting factors can help to reverse the decline of threatened species. © 2010 The Authors. Journal compilation © 2010 British Ornithologists' Union.","10.1111/j.1474-919X.2010.01092.x","2-s2.0-78650145799",5,0.796343892037643,1
"275","bird_palearctic","Comparing spatial rarity between long distance migrant and sedentary bird species using atlas data and diversity/dominance diagrams","Analyses using the spatial frequency of species occurrences, as obtained by faunal atlases, allows us to obtain information on assembly rules of local bird assemblages. Here, diversity/dominance diagrams have been used to relate the structural differences in two phenology-based assemblages (i.e. sedentary species and long distance migrants) obtained by an occurrence data set throughout a local breeding bird atlas in an Apennine nature reserve of Central Italy. Among the 58 breeding bird species sampled, 28 % were long distance migrants. On the average, long distance migrants were spatially rarer when compared to sedentary species. In diversity/dominance diagrams, sedentary species show a trend similar to that obtained by the entire community (broken-stick pattern), while long distance migrants have a curve with slope tending to fit geometrically. Geometric species models show steep plots and are typical of assemblages with high relative dominance, low evenness and few species (in our case, the long distance migrants). Moving from geometric series towards a broken-stick model, the assemblages tend to be even more species rich (in our case, the sedentary species). In a Palearctic bird community, long distance migrants are generally rarer in abundance and spatial distribution when compared to sedentary species. A different phenology may imply differences in species evolution, history and ecology with consequences for abundance, distribution and rarity patterns. In our study area, patterns of spatial occurrences evidenced by diversity/dominance curves may be due to the influence of long-term history, short-term competition and local disturbances that differentiated the two phenologic sub-assemblages.",NA,"2-s2.0-79958122750",13,0.491379688363043,0
"296","bird_palearctic","Shorebirds in the Gediz Delta (İzmir, Turkey): Breeding and wintering abundances, distributions, and seasonal occurrences [Gediz Deltasi{dotless}'nda (İzmir-Türkiye) üreyen ve ki{dotless}şlayan Ki{dotless}yi{dotless} Kuşlari{dotless}ni{dotless}n (Yaǧmurcunlar) populasyon büyüklükleri, daǧi{dotless}li{dotless}mlari{dotless} ve mevsimsel deǧişimleri]","The present study describes breeding and wintering abundances, distributions, and seasonal occurrences of shorebirds (waders) in the Gediz Delta (İzmir-Turkey). Breeding abundance and distribution, and wintering abundance data were collected by carrying out breeding bird surveys in 2002 and 2006, and waterbird censuses between 1990 and 2007, respectively. Seasonal occurrences were determined using 432 different observations corresponding to 5043 different records between 1990 and 2007. Thirty-eight wader species were observed with a weekly average of 22.5 ± 4.0. Breeding evidence was obtained for 9 species in 2002 and 8 species in 2006. Average number of waders identified during yearly mid-winter waterbird census was 8731 ± 2530, corresponding to 42.2 ± 25.9% of the whole wintering wader population in Turkey. During the present study 11 species were encountered in internationally significant numbers. The Gediz Delta is one of the key sites in the Western Palearctic region for breeding, wintering, and migrating waders. © TÜBİTAK.","10.3906/zoo-1002-14","2-s2.0-80051769468",1,0.805797588861938,1
"306","bird_palearctic","Density and behaviour of Whinchats Saxicola rubetra on African farmland suggest that winter habitat conditions do not limit European breeding populations","The Whinchat Saxicola rubetra is an Afro-Palaearctic migrant undergoing widespread population decline. Whinchats winter in West Africa but there are almost no data on their habitat use and behaviour there that may help to explain the cause of this decline. We measured the density of Whinchats, the habitat characteristics associated with their occurrence on farmland, and the relationships between behavioural and habitat variation on farmland around Jos, central Nigeria, over three winters. Whinchats occurred in many fields harvested in the dry season, the density at three sites varying from 0.03 to 0.43 birds/ha, but they were absent at a fourth site. Whinchats were less likely to be found in farmland without particular crops (e.g. structural stem crops such as maize and millet), with more trees, lower amounts of short vegetation (grass, weeds, crops and crop stubble less than 10 cm in height), and higher amounts of medium vegetation (coverage of vegetation 10-100 cm in height) and litter (dead, unburned, vegetation on the ground). Whinchat abundance in areas of farmland where they were present was independent of most variables considered, but density was higher where there was more short vegetation cover. Foraging behaviour did not vary significantly between farmland habitats. All predictors were consistent between season, years and across sites. The presence/absence model was very poor at predicting presence and there were no strong predictors of abundance or foraging variation. This is consistent with a species well below carrying capacity within its environment so that many suitable areas do not have birds present and there is little aggregation at better sites. Overall, Whinchats were abundant and appeared to have plentiful habitat; densities have probably increased alongside the intensification of agriculture (presence of fallow farmland, short vegetation and structural crops). The results suggest that West African farmland in the dry season can support large numbers of Whinchats and that recent population declines in Europe are unlikely to be caused primarily by lack of suitable wintering habitat. © 2012 The Authors Ibis © 2012 British Ornithologists' Union.","10.1111/j.1474-919X.2012.01258.x","2-s2.0-84866437055",14,0.774588737819955,1
"3110","bird_palearctic","Breeding waders on Kolguev Island, Barents Sea, N Russia, 2006-2008","Kolguev Island in the Barents Sea, N Russia, has no rodents; as a consequence it has a relatively small predator population, which is most beneficial to the breeding success of birds. As a consequence it is an area of outstanding importance for waders, not only in the Western Palearctic but also across the entire Arctic region. Until recently, knowledge of the breeding birds of Kolguev was limited to the results of a small number of ornithological expeditions that took place mostly in the early 1900s. During the three summers 2006-2008, a Russian-German team undertook a series of expeditions to investigate the bird populations of the entire island. Here we present the results of these expeditions in respect the breeding status, abundance, distribution and population trends of waders, and report on some aspects of their breeding biology. We found 15 breeding wader species of which Dunlin Calidris alpina, Common Snipe Gallinago gallinago and Ruddy Turnstone Arenaria interpres showed a decline between 1994-1995 and 2006-2008 while numbers of Grey Plovers Pluvialis squatarola appeared to be stable. In contrast Eurasian Golden Plovers P. apricaria which were rare in 1994 are now breeding regularly. Eurasian Oystercatcher Haematopus ostralegus, Jack Snipe Lymnocryptes minimus and Eurasian Dotterel Eudromias morinellus were confirmed as breeding species, but these might have been overlooked in earlier years. For several species we discuss trends on Kolguev in the context of trends in the Wadden Sea and elsewhere.",NA,"2-s2.0-84867730412",43,0.813514688121218,1
"353","bird_palearctic","Recent population declines in Afro-Palaearctic migratory birds: The influence of breeding and non-breeding seasons","Aim: Recent, rapid population declines in many Afro-Palaearctic migratory bird species have focussed attention on changing conditions within Africa. However, processes influencing population change can operate throughout the annual cycle and throughout migratory ranges. Here, we explore the evidence for impacts of breeding and non-breeding conditions on population trends of British breeding birds of varying migratory status and wintering ecology. Location: Great Britain (England & Scotland). Methods: Within- and between-species variation in population trends is quantified for 46 bird species with differing migration strategies. Results: Between 1994 and 2007, rates of population change in Scotland and England differed significantly for 19 resident and 15 long-distance migrant species, but were similar for 12 short-distance migrant species. Of the six long-distance migrant species that winter in the arid zone of Africa, five are increasing in abundance throughout Britain. In contrast, the seven species wintering in the humid zone of Africa are all declining in England, but five of these are increasing in Scotland. Consequently, populations of both arid and humid zone species are increasing significantly faster in Scotland than England, and only the English breeding populations of species wintering in the humid zone are declining. Main conclusions: Population declines in long-distance migrants, especially those wintering in the humid zone, but not residents or short-distance migrants suggest an influence of non-breeding season conditions on population trends. However, the consistently less favourable population trends in England than Scotland of long-distance migrant and resident species strongly suggest that variation in the quality of breeding grounds is influencing recent population changes. The declines in humid zone species in England, but not Scotland, may result from poorer breeding conditions in England exacerbating the impacts of non-breeding conditions or the costs associated with a longer migration, while better conditions in Scotland may be buffering these impacts. © 2013 John Wiley & Sons Ltd.","10.1111/ddi.12084","2-s2.0-84880132206",17,0.81808939910071,1
